record_id,title,final_decision,final_exclusion_code,decision_reason,scope_all_fields_exact,causal_evaluated,causal_all_fields_exact,all_evaluated_fields_exact,five_request_route_sequence,five_request_route_exact,disagreement_fields
doi:10.1111/jcmm.71017,dock11 Knockdown in Zebrafish Disrupts Embryogenesis: Insights Into the Genetic Causes of Early Pregnancy Loss,exclude,EC3,five_of_five_same_full_text_scope_exclusion,True,False,False,True,"[""exclude:EC3"", ""exclude:EC3"", ""exclude:EC3"", ""exclude:EC3"", ""exclude:EC3""]",True,
doi:10.1111/jdi.12150,Epigenetics: Reprogrammable interface of the genome and environments,manual_review,none,full_text_scope_route_disagreement_or_unresolved,False,False,False,False,"[""exclude:EC1"", ""exclude:EC1"", ""manual_review:scope_unresolved"", ""exclude:EC4"", ""exclude:EC1""]",False,scope_reviewer.multiomics_evidence;scope_reviewer.report_type
doi:10.1113/jp283190,Maternal obesity: influencing the heart right from the start,exclude,EC1,five_of_five_same_full_text_scope_exclusion,True,False,False,True,"[""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1""]",True,
doi:10.1126/science.aau4732,Effects of microbiota-directed foods in gnotobiotic animals and undernourished children,exclude,EC3,five_of_five_same_full_text_scope_exclusion,False,False,False,False,"[""exclude:EC3"", ""exclude:EC3"", ""exclude:EC3"", ""exclude:EC3"", ""exclude:EC3""]",True,scope_reviewer.layer_candidates
doi:10.1155/s1110724302207032,All We Are Saying Is Give Plants a Chance!,manual_review,none,full_text_scope_route_disagreement_or_unresolved,False,False,False,False,"[""exclude:EC3"", ""exclude:EC3"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1""]",False,scope_reviewer.current_report_layer_use;scope_reviewer.multiomics_evidence;scope_reviewer.report_type
doi:10.1165/rcmb.2019-0156ed,RNA Sequencing: A Potentiator of Discovery-based Research,exclude,EC1,five_of_five_same_full_text_scope_exclusion,True,False,False,True,"[""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1""]",True,
doi:10.1165/rcmb.2021-0238ed,Integrated 'Omics in Idiopathic Pulmonary Fibrosis: Where Do We Go from Here?,exclude,EC1,five_of_five_same_full_text_scope_exclusion,True,False,False,True,"[""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1""]",True,
doi:10.1186/gm394,Pharmacogenomics: a key component of personalized therapy,exclude,EC1,five_of_five_same_full_text_scope_exclusion,True,False,False,True,"[""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1""]",True,
doi:10.1186/s13027-022-00435-1,"Abstracts from “Chronic viral infection and cancer, openings for vaccines” virtual symposium of the TechVac network",exclude,EC3,five_of_five_same_full_text_scope_exclusion,False,False,False,False,"[""exclude:EC3"", ""exclude:EC3"", ""exclude:EC3"", ""exclude:EC3"", ""exclude:EC3""]",True,scope_reviewer.layer_candidates
doi:10.1212/nxg.0000000000000100,"19th Workshop of the International Stroke Genetics Consortium, April 28–29, 2016, Boston, Massachusetts, USA",manual_review,none,full_text_causal_route_disagreement_or_unresolved,False,True,False,False,"[""exclude:EC5"", ""exclude:EC5"", ""exclude:EC5"", ""assessed"", ""assessed""]",False,causal_method_reviewer.causal_basis;causal_method_reviewer.current_report_application;causal_method_reviewer.design_families;scope_reviewer.layer_candidates
doi:10.2215/cjn.14931218,Assessing Clinical Relevance of Uremic Toxins,exclude,EC1,five_of_five_same_full_text_scope_exclusion,True,False,False,True,"[""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1""]",True,
doi:10.3389/fimmu.2026.1718849,UNC93B1 promotes pancreatic cancer progression through modulation of cGAS–STING signaling,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,True,False,False,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,causal_method_reviewer.design_families
doi:10.3389/fpls.2025.1550190,A micropeptide regulates seed desiccation,exclude,EC1,five_of_five_same_full_text_scope_exclusion,True,False,False,True,"[""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1""]",True,
doi:10.34067/kid.0000000000000347,Prognostic Value of Oxylipins for the Development of ESKD,exclude,EC1,five_of_five_same_full_text_scope_exclusion,True,False,False,True,"[""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1""]",True,
doi:10.4103/1673-5374.217328,Can we treat neurodegenerative diseases by preventing an age-related decline in microRNA expression?,exclude,EC4,five_of_five_same_full_text_scope_exclusion,True,False,False,True,"[""exclude:EC4"", ""exclude:EC4"", ""exclude:EC4"", ""exclude:EC4"", ""exclude:EC4""]",True,
doi:10.4103/1673-5374.228719,"Metabolism, neurodegeneration and epigenetics: Emerging role of Sirtuins",manual_review,none,full_text_scope_route_disagreement_or_unresolved,False,False,False,False,"[""exclude:EC3"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC3"", ""exclude:EC3""]",False,scope_reviewer.current_report_layer_use;scope_reviewer.multiomics_evidence;scope_reviewer.report_type
doi:10.4103/1673-5374.230283,Epigenetic interventions for brain rejuvenation: anchoring age-related transposons,manual_review,none,full_text_scope_route_disagreement_or_unresolved,False,False,False,False,"[""manual_review:scope_unresolved"", ""manual_review:scope_unresolved"", ""exclude:EC1"", ""exclude:EC1"", ""manual_review:scope_unresolved""]",False,scope_reviewer.current_report_layer_use;scope_reviewer.multiomics_evidence;scope_reviewer.report_type
doi:10.4103/1673-5374.249223,Induced pluripotent stem cells from Huntington’s disease patients: a promising approach to define and correct disease-related alterations,exclude,EC3,five_of_five_same_full_text_scope_exclusion,False,False,False,False,"[""exclude:EC3"", ""exclude:EC3"", ""exclude:EC3"", ""exclude:EC3"", ""exclude:EC3""]",True,scope_reviewer.layer_candidates;scope_reviewer.multiomics_evidence
doi:10.4103/1673-5374.335807,Non-canonical role of the ATR pathway in axon regeneration as a mechanosensitive brake,manual_review,none,full_text_scope_route_disagreement_or_unresolved,False,False,False,False,"[""exclude:EC1"", ""exclude:EC3"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1""]",False,scope_reviewer.current_report_layer_use;scope_reviewer.multiomics_evidence;scope_reviewer.report_type
doi:10.4103/nrr.nrr-d-24-00646,Complementary roles of glial cells in generating region-specific neuroinflammatory responses and phagocytosis in Parkinson’s disease,exclude,EC3,five_of_five_same_full_text_scope_exclusion,False,False,False,False,"[""exclude:EC3"", ""exclude:EC3"", ""exclude:EC3"", ""exclude:EC3"", ""exclude:EC3""]",True,scope_reviewer.current_report_layer_use;scope_reviewer.layer_candidates
doi:10.5281/zenodo.18644752,Proactive Healthcare - Fighting the affects of aging (Closed-Loop Biological Restoration & Multi-Omics Optimization Platform),exclude,EC1,five_of_five_same_full_text_scope_exclusion,True,False,False,True,"[""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1""]",True,
doi:10.6092/unina/fedoa/10084,A proteomic approach for the identification of novel direct targets of microRNA-494 and of novel mediators of cellular senescence,manual_review,none,full_text_scope_route_disagreement_or_unresolved,False,False,False,False,"[""exclude:EC4"", ""exclude:EC4"", ""exclude:EC4"", ""manual_review:causal_not_run"", ""exclude:EC4""]",False,scope_reviewer.layer_candidates;scope_reviewer.multiomics_evidence
doi:10.69750/dmls.02.010.0160,Harnessing CRISPR Technology for Next-Generation Therapeutics in Genetic Disorders,manual_review,none,full_text_scope_route_disagreement_or_unresolved,False,False,False,False,"[""exclude:EC3"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1""]",False,scope_reviewer.report_type
doi:10.69750/dmls.03.04.0200,The Failure of Translational Neuroscience: Why Promising Mechanisms Rarely Become Therapies,exclude,EC1,five_of_five_same_full_text_scope_exclusion,True,False,False,True,"[""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1""]",True,
doi:10.7326/m16-0271,Effect of Fecal Microbiota Transplantation on Recurrence in Multiply Recurrent Clostridium difficile Infection,exclude,EC3,five_of_five_same_full_text_scope_exclusion,True,False,False,True,"[""exclude:EC3"", ""exclude:EC3"", ""exclude:EC3"", ""exclude:EC3"", ""exclude:EC3""]",True,
no-doi:40bd6d05bb59fa3d752ad2f2,Mechanisms of Heart Failure in Type 2 Diabetes Mellitus,manual_review,none,full_text_scope_route_disagreement_or_unresolved,False,False,False,False,"[""exclude:EC3"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1""]",False,scope_reviewer.current_report_layer_use;scope_reviewer.layer_candidates;scope_reviewer.multiomics_evidence;scope_reviewer.report_type
