record_id,doi,title,full_text_retrieval_status,original_model_decision,original_model_exclusion_code,amended_decision,amended_exclusion_code,amended_reason,route_changed_by_python_amendment,human_adjudication_applied,human_reviewer_id,human_decision,human_exclusion_code,human_rationale,supporting_section_ids,final_decision,final_exclusion_code,final_decision_source,final_decision_reason,prisma_disposition,protocol_disposition_code
doi:10.1002/fsn3.71826,10.1002/fsn3.71826,Protocatechuic Acid Alleviates D‐Gal‐Induced Renal Senescence and Injury in Mice by Regulating Taurine Metabolism,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1002/hon.2950,10.1002/hon.2950,Differential transcriptomic profiling in ibrutinib‐naïve versus ibrutinib‐resistant Richter syndrome,not_retrieved,,,,,,false,false,,,,,,not_assessed,none,retrieval_audit,No legal full target content found by any strategy,report_not_retrieved,EC7
doi:10.1002/imo2.70128,10.1002/imo2.70128,A uterine‐centric view of reproductive senescence: Genetic insights into late‐life performance in laying hens,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1002/imt2.70150,10.1002/imt2.70150,Hyperoside alleviates endometrial stromal cell senescence in unexplained recurrent spontaneous abortion via DHX9‐mediated R‐loop resolution,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1002/wps.20675,10.1002/wps.20675,The crossroads of psychiatric epigenomics,retrieved,manual_review,none,exclude,EC4,five_of_five_unanimous_decisive_criterion_failure,true,false,,,,,,exclude,EC4,deterministic_python_amendment,five_of_five_unanimous_decisive_criterion_failure,excluded_after_full_text_assessment,EC4
doi:10.1007/s00112-022-01643-0,10.1007/s00112-022-01643-0,Abstracts der 96. Wissenschaftlichen Tagung der Gesellschaft für Pädiatrische Onkologie und Hämatologie (GPOH),retrieved,manual_review,none,manual_review,none,,false,true,user_adjudicator,exclude,EC1,Conference proceedings containing multiple independent abstracts rather than one primary empirical report.,chunk:0001;chunk:0005;chunk:0009,exclude,EC1,human_adjudication,Conference proceedings containing multiple independent abstracts rather than one primary empirical report.,excluded_after_full_text_assessment,EC1
doi:10.1007/s10753-026-02526-2,10.1007/s10753-026-02526-2,Inhibition of MyD88 in Tubular Epithelial Cells Alleviates the Cellular Senescence in Sepsis-Associated Acute Kidney Injury,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1007/s11306-023-02022-w,10.1007/s11306-023-02022-w,The metabolic contribution of SKN-1/Nrf2 to the lifespan of Caenorhabditis elegans.,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1007/s13238-021-00894-z,10.1007/s13238-021-00894-z,"Unveiling E2F4, TEAD1 and AP-1 as regulatory transcription factors of the replicative senescence program by multi-omics analysis.",retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1016/j.ccell.2024.09.002,10.1016/j.ccell.2024.09.002,Midkine as a driver of age-related changes and increase in mammary tumorigenesis,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1016/j.celrep.2024.115099,10.1016/j.celrep.2024.115099,The glial UDP-glycosyltransferase Ugt35b regulates longevity by maintaining lipid homeostasis in Drosophila.,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1016/j.celrep.2025.116795,10.1016/j.celrep.2025.116795,Age-independent and targetable transcription factor networks regulating CD8+ T cell senescence in aging humans,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1016/j.cels.2021.09.005,10.1016/j.cels.2021.09.005,Multiomic profiling of the liver across diets and age in a diverse mouse population.,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1016/j.devcel.2023.05.015,10.1016/j.devcel.2023.05.015,Genetic perturbation of AMP biosynthesis extends lifespan and restores metabolic health in a naturally short-lived vertebrate.,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1016/j.exger.2025.112815,10.1016/j.exger.2025.112815,Acupuncture modulates ovarian senescence through metabolic reprogramming: A multi-omics investigation in chemotherapy - induced POF model.,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1016/j.jare.2026.07.047,10.1016/j.jare.2026.07.047,Bioorthogonal epigenetic anchoring of heterochromatin to the nuclear lamina reverses senescence and osteoarthritis.,retrieved,manual_review,none,manual_review,none,,false,true,user_adjudicator,assessed,,Primary aging and senescence intervention study integrating RNA-seq and ATAC-seq; the BR-CARS perturbation is evaluated in cells and an in-vivo osteoarthritis model.,chunk:0004;chunk:0048;chunk:0051,assessed,none,human_adjudication,Primary aging and senescence intervention study integrating RNA-seq and ATAC-seq; the BR-CARS perturbation is evaluated in cells and an in-vivo osteoarthritis model.,meets_full_text_eligibility,none
doi:10.1016/j.jhazmat.2026.142949,10.1016/j.jhazmat.2026.142949,Gestational exposure to PP-NPs promotes premature placental ageing through global reprogramming of the trophoblast phosphoproteome,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1016/j.jid.2019.07.004,10.1016/j.jid.2019.07.004,Genome-wide association study of acne inversa in a multi-ethnic cohort,retrieved,exclude,EC3,exclude,EC3,five_of_five_unanimous_decisive_criterion_failure,false,false,,,,,,exclude,EC3,ai_five_run_route,five_of_five_unanimous_decisive_criterion_failure,excluded_after_full_text_assessment,EC3
doi:10.1016/j.jnutbio.2023.109498,10.1016/j.jnutbio.2023.109498,L-Isoleucine reverses hyperammonemia-induced myotube mitochondrial dysfunction and post-mitotic senescence,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1016/j.jot.2025.05.010,10.1016/j.jot.2025.05.010,Activation of LAMP1-mediated lipophagy by sulforaphane inhibits cellular senescence and intervertebral disc degeneration,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1016/j.mcpro.2024.100882,10.1016/j.mcpro.2024.100882,Single-Cell Multi-Omics Analysis of In Vitro Post-Ovulatory–Aged Oocytes Revealed Aging-Dependent Protein Degradation,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1016/j.phymed.2025.156697,10.1016/j.phymed.2025.156697,Vaccarin ameliorates osteoarthritis by suppressing the c-Jun N-terminal kinase (JNK)-serum amyloid A2 (SAA2) pathway mediating chondrocyte senescence.,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1016/j.psj.2026.107043,10.1016/j.psj.2026.107043,Dietary supplementation with Cuscuta chinensis improves ovarian function and production performance in aged laying hens via modulation of steroid hormone biosynthesis and gut microbiota,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1016/j.ymthe.2025.12.035,10.1016/j.ymthe.2025.12.035,Targeting KAT8 Alleviates Vascular Senescence by Modulating the INHBA/TGF-β Pathway.,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1038/s41392-026-02799-x,10.1038/s41392-026-02799-x,Multiomic profiling of responses to clinical and novel bisphosphonates reveals extraskeletal effects on ageing related signatures,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1038/s41413-025-00422-3,10.1038/s41413-025-00422-3,Sirt6 deficiency promotes senescence and age-associated intervertebral disc degeneration in mice,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1038/s41421-025-00860-7,10.1038/s41421-025-00860-7,IGF2BP3-dependent glutamine/BCAA metabolic rewiring rejuvenates aged human adipose-derived stem cells for enhanced tissue regeneration,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1038/s41438-020-00420-y,10.1038/s41438-020-00420-y,Multiomics analyses unveil the involvement of microRNAs in pear fruit senescence under high- or low-temperature conditions,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1038/s41467-021-23545-7,10.1038/s41467-021-23545-7,Restoration of energy homeostasis by SIRT6 extends healthy lifespan,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1038/s41467-023-37729-w,10.1038/s41467-023-37729-w,Multi-omic underpinnings of epigenetic aging and human longevity,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1038/s41467-024-46037-w,10.1038/s41467-024-46037-w,Reducing the metabolic burden of rRNA synthesis promotes healthy longevity in Caenorhabditis elegans,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1038/s41467-024-52967-2,10.1038/s41467-024-52967-2,Depletion of loss-of-function germline mutations in centenarians reveals longevity genes,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1038/s41467-025-59964-z,10.1038/s41467-025-59964-z,Multi-organ metabolome biological age implicates cardiometabolic conditions and mortality risk,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1038/s41467-025-61433-6,10.1038/s41467-025-61433-6,Immuno-metabolic stress responses control longevity from mitochondrial translation inhibition in C. elegans,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1038/s41467-026-69424-x,10.1038/s41467-026-69424-x,Lack of MDA5 delays hematopoietic aging by modulating inflammaging and proteostasis in mice,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1038/s41536-026-00490-x,10.1038/s41536-026-00490-x,Multi-omics profiling reveals systemic rejuvenation of the aged kidney through senolytic therapy.,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1038/s41586-025-09873-4,10.1038/s41586-025-09873-4,Transient hepatic reconstitution of trophic factors enhances aged immunity,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1038/s41586-026-10524-5,10.1038/s41586-026-10524-5,Sleep chart of biological ageing clocks in middle and late life,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1038/s41598-025-17390-7,10.1038/s41598-025-17390-7,Aqueous extract of Acer truncatum leaves retards Drosophila melanogaster senescence by regulating amino acid metabolism and gut microbiota,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1038/s42003-025-08296-1,10.1038/s42003-025-08296-1,NHE7 drives endometrial cancer progression by delaying senescence through cAMP/CREB/GRIN2B axis-mediated Ca²⁺ influx,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1038/s42255-020-0200-2,10.1038/s42255-020-0200-2,NFYB-1 regulates mitochondrial function and longevity via lysosomal prosaposin.,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1038/s42255-026-01515-x,10.1038/s42255-026-01515-x,Redox rhythms promote fitness by modulating ageing-dependent reprogramming.,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1038/s43587-023-00451-9,10.1038/s43587-023-00451-9,Multi-omic rejuvenation and lifespan extension upon exposure to youthful circulation,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1038/s43587-023-00460-8,10.1038/s43587-023-00460-8,Impaired BCAA catabolism in adipose tissues promotes age-associated metabolic derangement.,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1038/s43587-026-01100-7,10.1038/s43587-026-01100-7,Multiomic single-cell perturbation screens reveal critical lncRNA regulators of senescence.,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1080/15548627.2025.2561073,10.1080/15548627.2025.2561073,Urolithin Α modulates inter-organellar communication via calcium-dependent mitophagy to promote healthy ageing,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1093/bib/bbag271,10.1093/bib/bbag271,StackAge: an ensemble-based clock for precise quantification of biological age using multi-omics data,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1093/brain/awaf282,10.1093/brain/awaf282,Compensatory roles of STT3A and ALG5 in glucose metabolism of aged macaque hippocampus.,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1093/eurheartj/ehad361,10.1093/eurheartj/ehad361,Subclinical atherosclerosis and accelerated epigenetic age mediated by inflammation: a multi-omics study,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1093/geroni/igaa057.414,10.1093/geroni/igaa057.414,Metabolic Regulation of Longevity by One-Carbon Metabolism and Flavin-Containing Monooxygenase,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1093/geroni/igac059.2661,10.1093/geroni/igac059.2661,OXR1 STABILIZES THE RETROMER TO EXTEND LIFESPAN AND NEURONAL HEALTH BY DIETARY RESTRICTION,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1093/geroni/igad104.1942,10.1093/geroni/igad104.1942,BIOLOGICAL AGE REDUCTION AND LIFESPAN EXTENSION UPON YOUTHFUL CIRCULATION EXPOSURE,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1093/geroni/igae098.2630,10.1093/geroni/igae098.2630,MULTIMODEL APPROACHES IDENTIFY CONSERVED ROLE OF TRP CATABOLIC PATHWAY IN THE REGULATION OF LIFE- AND HEALTHSPAN,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1093/geroni/igaf122.3850,10.1093/geroni/igaf122.3850,Targeting Vascular Aging in Progeria by mTOR Inhibitors from Multi-Omics Screening,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1093/ije/dyaa075,10.1093/ije/dyaa075,Cohort Profile: The Leipzig Research Center for Civilization Diseases–Heart Study (LIFE-Heart),retrieved,exclude,EC3,exclude,EC3,five_of_five_unanimous_decisive_criterion_failure,false,false,,,,,,exclude,EC3,ai_five_run_route,five_of_five_unanimous_decisive_criterion_failure,excluded_after_full_text_assessment,EC3
doi:10.1093/lifemedi/lnac018,10.1093/lifemedi/lnac018,The secret of youth: how is systemic rejuvenation achieved at the single cell level?,retrieved,manual_review,none,exclude,EC4,five_of_five_unanimous_decisive_criterion_failure,true,false,,,,,,exclude,EC4,deterministic_python_amendment,five_of_five_unanimous_decisive_criterion_failure,excluded_after_full_text_assessment,EC4
doi:10.1093/lifemedi/lnac022,10.1093/lifemedi/lnac022,When spermatogenesis meets human aging and elevated body mass,retrieved,exclude,EC1,exclude,EC1,five_of_five_unanimous_decisive_criterion_failure,false,false,,,,,,exclude,EC1,ai_five_run_route,five_of_five_unanimous_decisive_criterion_failure,excluded_after_full_text_assessment,EC1
doi:10.1093/lifemedi/lnae020,10.1093/lifemedi/lnae020,Unlocking heart anti-aging potential: the SIRT2-STAT3-CDKN2B pathway as a bridge between fiction and reality,retrieved,exclude,EC1,exclude,EC1,five_of_five_unanimous_decisive_criterion_failure,false,false,,,,,,exclude,EC1,ai_five_run_route,five_of_five_unanimous_decisive_criterion_failure,excluded_after_full_text_assessment,EC1
doi:10.1093/neuonc/noab260,10.1093/neuonc/noab260,Long telomeres in need of a SNP: Germline contributions of telomere maintenance to glioma,retrieved,exclude,EC1,exclude,EC1,five_of_five_unanimous_decisive_criterion_failure,false,false,,,,,,exclude,EC1,ai_five_run_route,five_of_five_unanimous_decisive_criterion_failure,excluded_after_full_text_assessment,EC1
doi:10.1093/neuonc/noy148.258,10.1093/neuonc/noy148.258,COMP-03. TUMOR CONNECTOME: INSIGHT INTO THE IMPACT OF CNS NEOPLASIA AND THERAPY ON THE BRAIN NETWORK,retrieved,manual_review,none,exclude,EC3,five_of_five_unanimous_decisive_criterion_failure,true,false,,,,,,exclude,EC3,deterministic_python_amendment,five_of_five_unanimous_decisive_criterion_failure,excluded_after_full_text_assessment,EC3
doi:10.1093/nsr/nwx146,10.1093/nsr/nwx146,cGAS-STING pathway in senescence-related inflammation,retrieved,exclude,EC1,exclude,EC1,five_of_five_unanimous_decisive_criterion_failure,false,false,,,,,,exclude,EC1,ai_five_run_route,five_of_five_unanimous_decisive_criterion_failure,excluded_after_full_text_assessment,EC1
doi:10.1093/nsr/nwy136,10.1093/nsr/nwy136,Genome tagging project: tag every protein in mice through ‘artificial spermatids’,retrieved,manual_review,none,exclude,EC3,five_of_five_unanimous_decisive_criterion_failure,true,false,,,,,,exclude,EC3,deterministic_python_amendment,five_of_five_unanimous_decisive_criterion_failure,excluded_after_full_text_assessment,EC3
doi:10.1093/plphys/kiaa034,10.1093/plphys/kiaa034,Multi-omics approach reveals the contribution of KLU to leaf longevity and drought tolerance.,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1093/plphys/kiaa059,10.1093/plphys/kiaa059,On the Inside,retrieved,exclude,EC1,exclude,EC1,five_of_five_unanimous_decisive_criterion_failure,false,false,,,,,,exclude,EC1,ai_five_run_route,five_of_five_unanimous_decisive_criterion_failure,excluded_after_full_text_assessment,EC1
doi:10.1095/biolreprod.113.108985,10.1095/biolreprod.113.108985,WORLD OF REPRODUCTIVE BIOLOGY: Epigenetics: Get Them While They're Young,not_retrieved,,,,,,false,false,,,,,,not_assessed,none,retrieval_audit,No legal full target content found by any strategy,report_not_retrieved,EC7
