record_id,source,title,abstract,year,document_type,doi,source_record_id,retrieval_stratum
doi:10.1007/s11033-026-12250-7,springernature,Integrating single-cell RNA sequencing with multi-omics to decode disease microenvironments,"Cellular heterogeneity underpins the complexity of human development and disease, as cells with the same genome exhibit distinct transcriptomic profiles that define their identity, state, and function. Traditional bulk RNA sequencing obscures this heterogeneity by averaging gene expression across mixed cell populations, limiting its ability to resolve rare or disease-associated cell types. Single-cell RNA sequencing (scRNA-seq) has emerged as a powerful technology enabling high-resolution transcriptomic profiling of thousands of individual cells in a single run. Widely adopted platforms, such as the 10x Genomics Chromium system, have accelerated large-scale single-cell studies through their scalability and robust barcoding strategies. Recent advances integrating scRNA-seq with multi-omics approaches, including epigenomics, spatial transcriptomics, and temporal profiling, have further enhanced our understanding of cellular interactions and disease mechanisms. In parallel, artificial intelligence-driven methods, including deep learning and graph-based models, have improved data denoising, clustering, and cell-type annotation. Despite these advances, technical noise, dropout events, and computational challenges remain. This review highlights the integration of single-cell RNA sequencing with multi-omics to decode disease microenvironments. Graphical abstract",2026,ReviewPaper; Review,10.1007/s11033-026-12250-7,doi:10.1007/s11033-026-12250-7,both|other_causal_or_boundary|medium|aging_boundary|causal_boundary
doi:10.1080/19490976.2023.2282790,semantic_scholar,Multi-omics data reveals aberrant gut microbiota-host glycerophospholipid metabolism in association with neuroinflammation in APP/PS1 mice,"ABSTRACT Numerous studies have described the notable impact of gut microbiota on the brain in Alzheimer’s disease (AD) via the gut – brain axis. However, the molecular mechanisms underlying the involvement of gut microbiota in the development of AD are limited. This study aimed to explore the potential mechanisms of gut microbiota in AD by integrating multi-omics data. In this study, APP/PS1 and WT mice at nine months of age were used as study mouse model. Cognitive function was assessed using the Morris water maze test. The levels of Aβ plaque and neuroinflammation in the brain were detected using immunofluorescence and PET/CT. In addition, we not only used 16S rRNA gene sequencing and metabolomics to explore the variation characteristics of gut microbiota and serum metabolism abundance, but also combined spatial metabolomics and transcriptomics to explore the change in the brain and identify their potential correlation. APP/PS1 mice showed significant cognitive impairment and amyloid-β deposits in the brain. The abundance of gut microbiota was significantly changed in APP/PS1 mice, including decreased Desulfoviobrio, Enterococcus, Turicibacter, and Ruminococcus and increased Pseudomonas. The integration of serum untargeted metabolomics and brain spatial metabolomics showed that glycerophospholipid metabolism was a common alteration pathway in APP/PS1 mice. Significant proliferation and activation of astrocyte and microglia were observed in APP/PS1 mice, accompanied by alterations in immune pathways. Integration analysis and fecal microbiota transplantation (FMT) intervention revealed potential association of gut microbiota, host glycerophospholipid metabolism, and neuroinflammation levels in APP/PS1 mice.",2023,JournalArticle,10.1080/19490976.2023.2282790,8f72ec587ab239eee3eae714637198d0a032847e,both|other_intervention|long|aging_boundary|causal_anchor
doi:10.1016/j.bbr.2026.116404,europepmc,From gut microbiota to synaptic plasticity: Mechanisms shaping cognitive function and brain disorders.,"The gut microbiota has emerged as a key regulator of central nervous system development and function. Accumulating experimental and clinical evidence demonstrates that microbial signals influence brain activity through integrated neural, immune, neuroendocrine, and metabolic pathways. These pathways converge on core mechanisms of synaptic plasticity, including neurotrophic signaling, glutamatergic transmission, dendritic remodeling, and adult neurogenesis, thereby shaping learning, memory, executive function, and emotional regulation. Disruption of microbiota-brain communication is implicated in a range of neurodevelopmental and neurodegenerative disorders, including autism spectrum disorder (ASD), major depressive disorder (MDD), Alzheimer's disease (AD), and Parkinson's disease (PD), suggesting shared systems-level vulnerabilities across conditions and highlighting the translational potential of microbiota-targeted interventions such as probiotics, dietary modulation, postbiotics, and precision microbiome-based strategies. Overall, the gut microbiota functions as a dynamic regulator of brain plasticity and cognitive resilience across the lifespan. Future progress will require identification of causal mechanisms at the level of specific microbial metabolites, neural circuits, and developmental windows using integrated multi-omics and spatially resolved approaches, alongside translation into targeted therapeutic strategies.",2026,Review; Journal Article,10.1016/j.bbr.2026.116404,MED:42508695,both|other_intervention|medium|aging_anchor|causal_anchor
doi:10.1007/s11033-026-12107-z,springernature,Multi-omics insights into immunometabolic dysregulation in neonatal sepsis for precision medicine,"Neonatal sepsis remains a major global health challenge, contributing substantially to morbidity and mortality despite many advances. Conventional diagnostics often fail to capture the disease complexity and immune dysregulation, leading to delayed diagnosis and sub-optimal treatment. Recent advances in multiomics, including genomics, transcriptomics, proteomics, metabolomics and metagenomics are transforming molecular understanding by enabling a precise view of host-pathogen interactions. These approaches also provide critical insights into metainflammation, a state of chronic, low-grade immune and metabolic dysregulation, playing a pivotal role in neonatal immune vulnerability. Integrating multi-omics with meta-inflammatory profiling may support future risk stratification, biomarker discovery, and precision-oriented neonatal sepsis care. However, clinical translation requires further validation, platform standardization, and feasibility assessment in NICU settings. Such insights may establish the foundation of P4 medicine by emphasizing prediction, prevention, personalisation, and participation in neonatal care. Multi-omics integration may support endotype identification, and data-driven clinical communication after adequate validation. Overall, this review highlights how multiomics and metainflammation driven frameworks may improve mechanistic understanding of neonatal sepsis and guide future development of clinically feasible precision-medicine approaches. Graphical abstract",2026,ReviewPaper; Review,10.1007/s11033-026-12107-z,doi:10.1007/s11033-026-12107-z,both|other_intervention|medium|aging_boundary|causal_boundary
doi:10.1111/acel.70103,semantic_scholar,Multi‐Omics Analysis Reveals Biomarkers That Contribute to Biological Age Rejuvenation in Response to Single‐Blinded Randomized Placebo‐Controlled Therapeutic Plasma Exchange,"We conducted a randomized, placebo‐controlled trial to assess the safety and biological age (BA) effects of various therapeutic plasma exchange (TPE) regimens in healthy adults over 50. Participants received bi‐weekly TPE with or without intravenous immunoglobulin (IVIG), monthly TPE, or placebo. Randomization was based on entry date, and treatments were blinded to maintain objectivity. Primary objectives were to assess long‐term TPE safety and changes in biological clocks. Secondary goals included identifying optimal regimens. Exploratory analyses profiled baseline clinical features and longitudinal changes across the epigenome, proteome, metabolome, glycome, immune cytokines, iAge, and immune cell composition. We demonstrate in 42 individuals randomized to various treatment arms or placebo that long‐term TPE was found to be safe, with only two adverse events requiring discontinuation and one related to IVIG. TPE significantly improved biological age markers, with 15 epigenetic clocks showing rejuvenation compared to placebo (FDR < 0.05). Biweekly TPE combined with intravenous immunoglobulin (TPE‐IVIG) proved most effective, inducing coordinated cellular and molecular responses, reversing age‐related immune decline, and modulating proteins linked to chronic inflammation. Integrative analysis identified baseline biomarkers predictive of positive outcomes, suggesting TPE‐IVIG is particularly beneficial for individuals with poorer initial health status. This is the first multi‐omics study to examine various TPE modalities to slow epigenetic biologic clocks, which demonstrate biological age rejuvenation and the molecular features associated with this rejuvenation.",2025,JournalArticle,10.1111/acel.70103,8ff80e6f49d1639a6b6b1a07f70d59bb55d60a85,both|randomized_or_quasi_intervention|long|aging_anchor|causal_boundary
doi:10.1039/d5fo05425g,europepmc,Genetic risk modifies the effect of exogenous nucleotides on insulin resistance in older adults: insights from multi-omics analyses.,"Nucleotides-fundamental cellular building blocks-are an underappreciated dietary component, especially in aging when metabolic resilience wanes. Whether genetic background determines who benefits from NTs has been unknown. Insulin resistance (IR) underlies age-related metabolic disorders, yet responses to nutritional interventions are heterogeneous. In this secondary analysis of the TALENTs randomized controlled trial (121 adults aged 60-70 years; 19-week intervention; NCT05243108), we tested whether genetic background-quantified by a fasting-glucose polygenic risk score (FBG-PRS)-modifies the effect of exogenous nucleotides (NTs) on IR. A significant PRS × intervention interaction was observed with changes in HOMA-IR ( p = 0.0115). Participants with high FBG-PRS exhibited improvements with NTs, including reduced HOMA-IR and visceral adiposity and increased limb muscle mass, whereas low FBG-PRS participants showed minimal benefit. Multi-omics supported a coherent mechanism: transcriptomics identified 39 differentially expressed genes with PPP4R2 most strongly downregulated (log 2FC = -2.00; p adj = 2.81 × 10 -13 ), and metabolomics revealed decreased cyclic AMP with enrichment of energy-metabolism pathways. These findings indicate that NTs improve insulin sensitivity primarily in genetically susceptible older adults and suggest NTs as a candidate precision-nutrition strategy for improving insulin sensitivity in aging.",2026,Randomized Controlled Trial; Journal Article,10.1039/d5fo05425g,MED:41954460,both|randomized_or_quasi_intervention|medium|aging_anchor|causal_anchor
doi:10.52340/gs.2025.07.01.26,semantic_scholar,Stem Cell Systems and Regeneration,"Stem cell systems are pivotal in biological development, tissue maintenance, and regenerative medicine due to their dual capacity for self-renewal and differentiation. This review explores the heterogeneity and regulatory mechanisms governing stem cells across potency states—pluripotent, multipotent, and unipotent—emphasizing dynamic transcriptional circuits involving core factors (OCT4, SOX2, NANOG) and signaling pathways (Wnt/β-catenin, Notch, Hedgehog). Stem cell homeostasis, critical for tissue integrity, is maintained through intrinsic (epigenetic, metabolic) and extrinsic (niche-derived) cues, with disruptions linked to aging, degenerative diseases, and cancer. Advances in induced pluripotent stem cells (iPSCs) and genome editing (CRISPR-Cas9) offer transformative potential for personalized therapies, yet challenges such as tumorigenicity, immune rejection, and ethical concerns persist. The role of stem cell niches in modulating quiescence, proliferation, and differentiation is highlighted, alongside applications in tissue engineering, organoid development, and disease modeling. Aging-associated decline in stem cell function, driven by oxidative stress, DNA damage, and epigenetic alterations, underscores the need for rejuvenation strategies. Furthermore, dysregulated transcriptional networks in cancer stem cells (CSCs) present therapeutic targets for precision oncology. Future directions emphasize single-cell multiomics, synthetic biology, and bioengineered niches to refine differentiation protocols and enhance clinical translation. By integrating molecular insights with technological innovations, stem cell research promises to bridge gaps in regenerative medicine, offering novel solutions for degenerative disorders, injury repair, and personalized healthcare.",2025,JournalArticle; Review,10.52340/gs.2025.07.01.26,2024386439a37a9a8d9d1a3949289e6f103afe30,explicit_only|direct_perturbation|long|aging_anchor|causal_boundary
doi:10.1007/s13205-026-04966-x,springernature,MicroRNA-based diagnosis and therapy in prostate cancer,"This review summarizes current evidence on the biological, diagnostic, prognostic, and therapeutic significance of microRNAs (miRNAs/miRs) in prostate cancer (PCa). Dysregulated miRNA networks contribute to PCa initiation, progression, metastasis, and therapy resistance by regulating androgen receptor signaling, proliferation, apoptosis, epithelial-mesenchymal transition, angiogenesis, hypoxia signaling, bone tropism, and castration-resistant evolution. Oncogenic miRNAs, including miR-21, miR-93, miR-9, miR-181a, and miR-182, promote malignant phenotypes through survival, TGF-β, PI3K/AKT, MAPK, HIF-1α, and EMT-associated pathways, whereas tumor-suppressor miRNAs, including the miR-34 family, miR-145, miR-122, and miR-382, restrict proliferation, stem-like traits, invasion, metastasis, and treatment resistance. Circulating, urinary, and exosomal miRNAs have potential as minimally invasive biomarkers for PCa detection, risk stratification, recurrence monitoring, metastatic risk prediction, and assessment of castration-resistant disease. Multi-miRNA panels, such as miR-375-3p/miR-182-5p, miR-34b-3p/miR-361-5p/miR-200c-3p, and miR-200c/miR-605/miR-135a/miR-433/miR-106a, may outperform individual markers by capturing multiple biological pathways and reducing single-marker variability; however, most remain at the discovery or validation stage rather than routine clinical implementation. Translation requires standardized sample handling, hemolysis control, reproducible RNA extraction, validated normalization strategies, assay harmonization, locked thresholds, and multicentre prospective validation against PSA, imaging, histopathology, and established risk models. High-throughput platforms, including qRT-PCR, microarray, next-generation sequencing, and nCounter digital counting, support miRNA discovery and validation but differ in sensitivity, specificity, cost, throughput, bioinformatic complexity, and clinical deployability. Therapeutically, anti-miRs, miRNA mimics, sponges, masks, CRISPR-based approaches, and nanocarrier-assisted delivery systems provide experimental strategies for inhibiting oncogenic miRNAs or restoring tumor-suppressor miRNAs. Preclinical evidence supports miR-21 inhibition and replacement of miR-34a, miR-145, miR-15a/miR-16-1, miR-124, and miR-205. Still, clinical translation is limited by off-target effects, immune activation, delivery efficiency, endosomal escape, tumor heterogeneity, pharmacokinetics, toxicity, scalability, and manufacturing reproducibility. Overall, miRNAs provide mechanistic insight into PCa heterogeneity and offer promising opportunities for precision diagnosis, prognosis, and therapy, with the most realistic near-term application being integration of validated miRNA panels with PSA, multiparametric MRI, pathology, and multi-omic or AI-assisted risk models.",2026,ReviewPaper; Review Article,10.1007/s13205-026-04966-x,doi:10.1007/s13205-026-04966-x,explicit_only|direct_perturbation|long|aging_boundary|causal_boundary
doi:10.3390/ijms262411941,pubmed,Nanomedicine for Cancer and Autoimmune Immunotherapy.,"Nanomedicine has now become a transformative platform that enhances the precision and efficacy of immunotherapy approaches and allows customizations like never before when it comes to cancer, as well as autoimmune conditions. Using platforms based on nanoscale, researchers have been able to manipulate immune responses operating across spatial and temporal scales to address key limitations of conventional immunotherapy associated with working with immune response such as immune evasion, systemic toxicity, and poor pharmacokinetics. Sophisticated nanoparticles (such as stimuli-sensitive ones, exosome-mimetic vesicle nanoparticles, and nanoparticles with CRISPR) allow directed immunomodulators, antigens, and gene-editing systems to reach one or more particular immune compartments. The innovations allow reprogramming of immune cells, immune tolerance rejuvenation, and expansion of antitumor immunity without significant off-target effects. Finding applications in integrating the artificial intelligence as well as multi-omics techniques, the process leads to personalization of the nano-immunotherapies based on patient-specific immuno-signatures. The chapter discusses the mechanistic rationale, therapeutic advancement, and the translational opportunities of nanotechnology-based immunotherapies that define them as part of a foundation of future generations of clinical approaches to precision immune modulation in oncology and autoimmune diseases.",2025,Journal Article; Review,10.3390/ijms262411941,41465368,explicit_only|direct_perturbation|medium|aging_anchor|causal_boundary
doi:10.1186/s44365-026-00039-5,springernature,"Advances in marine invertebrate cell culture: historical progress, persistent challenges, and emerging biotechnological prospects","Marine invertebrates represent one of the most diverse and underexploited reservoirs of novel bioactive compounds and models for regenerative biology, yet their full potential remains limited by the absence of established cell lines. Despite over six decades of research, no continuous, immortalized cell lines were available from any marine invertebrate species until recent breakthroughs in embryonic cultures. This comprehensive review synthesizes historical and contemporary advancements in primary cell culture across major phyla, including Porifera, Cnidaria, Mollusca, Crustacea, Echinodermata, and others, with a focused examination of methodological innovations since 2015. Key discussions encompass refined isolation techniques, tailored media compositions, the incorporation of omics-driven insights, ongoing hurdles such as rapid cellular quiescence and contamination issues, and promising applications in pharmaceutical discovery, aquaculture disease management, and ecotoxicology. By identifying four pivotal knowledge gaps—ranging from media optimization to stemness maintenance—we propose multifaceted strategies that integrate multi-omics analyses, CRISPR-based genetic manipulations, and global collaborative frameworks to facilitate the development of stable, long-term marine invertebrate cell lines, thereby unlocking sustainable biotechnological opportunities.",2026,ReviewPaper; Review,10.1186/s44365-026-00039-5,doi:10.1186/s44365-026-00039-5,explicit_only|direct_perturbation|medium|aging_boundary|causal_boundary
doi:10.1038/s41574-026-01265-6,springernature,Adipose tissue as a humoral–neuronal hub in metabolic regulation,"Adipose tissue has emerged as a dynamic endocrine organ that coordinates systemic energy balance and cardiometabolic health. This Review highlights the dual humoral and neuronal pathways through which adipose tissue regulates systemic metabolism. Humoral signals include peptide hormones, lipid mediators, metabolites, chemokines and exosomal microRNAs secreted by adipose depots. Neuronal circuits control adipose function rapidly and precisely: sympathetic efferents trigger lipolysis in white adipose tissue and thermogenesis in brown adipose tissue, whereas sensory afferents detect chemical, thermal and mechanical signals to adjust sympathetic activity. Nutritional and environmental stimuli (for example, diet, cold exposure and exercise), along with pathological states (for example, obesity, type 2 diabetes mellitus, lipodystrophy and ageing-associated disorders), dynamically modulate these endocrine and neural outputs. Methodological innovations, such as omics based on mass spectrometry or liquid chromatography–mass spectrometry, secretome labelling, adipose tissue organoid models and click chemistry, enable high-resolution characterization of adipose-derived signals and their targets. Finally, we discuss translational opportunities, including synthetic analogues of lipophilic hormones, and future therapeutic strategies that harness adipose communication networks. Beyond its roles in energy storage and thermogenesis, adipose tissue is now recognized as a dynamic regulatory organ that orchestrates whole-body physiology via integrated humoral and neuronal pathways. Humoral communication involves adipokines, lipid mediators, metabolites, cytokines and extracellular vesicles, which exert context-dependent effects on insulin sensitivity, substrate utilization, inflammation and cardiovascular health. Neuronal communication through sympathetic and sensory innervation provides rapid, spatially precise regulation of adipose lipolysis, thermogenesis and browning, with sensory feedback circuits fine-tuning sympathetic drive and integrating depot-specific metabolic responses. Cold-induced adipokines and lipid mediators act as key endocrine signals that link thermogenic activation of adipose tissue to systemic improvements in glucose and lipid metabolism. Cardiometabolic disease, lipodystrophy and ageing impair adipose humoral and neuronal communication, leading to dysregulated adipokine secretion and adipose neuropathy, which drive metabolic dysfunction and increased cardiometabolic risk. Emerging technologies, including single-cell and multi-omics approaches, proximity labelling, optogenetics and organoid models, now enable detailed dissection of adipose humoral and neuronal circuits, advancing both mechanistic insights and translational opportunities for precision medicine. This Review highlights adipose humoral and neuronal pathways that operate through inter-organ communication to regulate systemic metabolism, examines how physiological and pathological contexts shape these signals, and explores emerging technologies and translational opportunities for targeting adipose networks in metabolic disease.",2026,ReviewPaper; Review Article,10.1038/s41574-026-01265-6,doi:10.1038/s41574-026-01265-6,explicit_only|formal_mediation|long|aging_anchor|causal_boundary
doi:10.1007/s00592-026-02754-w,springernature,Molecular biomarkers in diabetes-related neurological complications: current evidence and translational challenges,"Diabetes mellitus is increasingly recognized as a systemic disorder associated with a broad spectrum of neurological complications, including diabetic peripheral neuropathy, autonomic neuropathy, cerebrovascular disease, cognitive impairment, and neurodegenerative disorders. Because neurological injury may develop before the onset of overt clinical manifestations, the identification of reliable biomarkers for early risk assessment remains an important challenge in diabetes care. This narrative review summarizes current evidence regarding molecular biomarkers implicated in diabetes-related neurological complications. A literature search was conducted using major biomedical databases, with emphasis on human studies, systematic reviews, prospective cohorts, and clinically relevant translational research. Biomarker categories reviewed include inflammatory mediators, oxidative stress markers, advanced glycation end-products, neuronal injury proteins, metabolomic signatures, circulating microRNAs, extracellular vesicles, and multi-omics approaches. Current evidence suggests that several biomarkers are associated with neurological injury and adverse neurological outcomes in patients with diabetes. However, the strength of evidence varies substantially across biomarker classes. While some biomarkers demonstrate biological plausibility and consistent associations with disease burden, most remain at an exploratory stage and lack sufficient prospective validation for routine clinical implementation. Major barriers include study heterogeneity, assay variability, limited reproducibility, uncertainty regarding incremental predictive value, and insufficient evaluation in diabetes-specific populations. Future research should focus on rigorous validation of candidate biomarkers, standardization of analytical methods, and assessment of their added value beyond established clinical risk factors. The integration of molecular biomarkers with clinical variables, neuroimaging findings, and advanced analytical approaches may contribute to future risk stratification strategies; however, substantial validation is required before clinical implementation can be considered.",2026,ReviewPaper; Review Article,10.1007/s00592-026-02754-w,doi:10.1007/s00592-026-02754-w,explicit_only|formal_mediation|long|aging_boundary|causal_boundary
doi:10.1016/j.ccell.2024.09.002,semantic_scholar,Midkine as a driver of age-related changes and increase in mammary tumorigenesis,"SUMMARY Aging is a pivotal risk factor for cancer, yet the underlying mechanisms remain poorly defined. Here, we explore age-related changes in the rat mammary gland by single cell multiomics. Our findings include increased epithelial proliferation, loss of luminal identity, and decreased naïve B and T cells with age. We discover a luminal progenitor population unique to old rats with profiles reflecting precancerous changes and identify midkine (Mdk) as a gene upregulated with age and a regulator of age-related luminal progenitors. Midkine treatment of young rats mimics age-related changes via activating PI3K-AKT-SREBF1 pathway and promotes Nitroso-N-methylurea-induced mammary tumorigenesis. Midkine levels increase with age in human blood and mammary epithelium, and higher MDK in normal breast tissue is associated with higher breast cancer risk in younger women. Our findings reveal a link between aging and susceptibility to tumor initiation and identify midkine as a mediator of age-dependent increase in breast tumorigenesis.",2024,JournalArticle,10.1016/j.ccell.2024.09.002,880fd8f2e611c2476fab49ff1fc1d046e39bd51d,explicit_only|formal_mediation|medium|aging_anchor|causal_boundary
doi:10.1093/qjmed/hcaf108,europepmc,Identification of novel biomarkers and drug targets for frailty-related skeletal muscle aging: a multi-omics study.,"Background Skeletal muscle aging is the major cause and hallmark of frailty, which poses a significant challenge to the healthcare system. Aim This study aimed to identify the potential biomarkers for the early detection and therapeutic intervention of this age-related condition. Methods A transcriptomics-based methodology using machine learning algorithms was performed to select the biomarker genes. A predictive machine learning model for (pre-)frailty based on the transcriptomic profile of the biomarker genes was constructed and validated. The cell-type specific changes of the biomarkers during muscle aging were investigated in a single-cell RNA sequencing dataset of human skeletal muscle. Summary data-based Mendelian randomization (SMR) and Bayesian colocalization analyses were performed to identify biomarker genes with therapeutic effects on frailty-related skeletal muscle aging, and drug candidates were explored in the DSigDB database. Results We identified 24 biomarker genes, most of which were discovered for the first time. The optimal predictive model showed excellent performance in the external test set. Differential expression of the biomarkers in the single-cell dataset indicated a critical role of endothelial cells modulated by the marker genes MGP and ID1 in muscle degeneration. The SMR and colocalization analyses showed causal relationships between 2 marker genes (MGP and WAC) and frailty-related muscle aging. Potential therapeutics for MGP modulation were identified in the DSigDB database. Conclusions This multi-omics study identified biomarkers associated with frailty-related muscle aging and provided new insights into the etiology and therapeutic targets for this age-related condition.",2025,research-article; Journal Article,10.1093/qjmed/hcaf108,MED:40343466,explicit_only|genetic_instrument|long|aging_anchor|causal_anchor
doi:10.1007/s12033-025-01416-6,europepmc,Comprehensive Multi-omics and Mendelian Randomization Reveal the Key Role of Monocytes in Aging and Osteoarthritis.,"There is a close connection between aging and osteoarthritis (OA), but the specific mechanisms are still unclear. This study aims to explore the potential connections and molecular mechanisms between OA and aging through multi-omics and genetics methods. Integrating single-cell RNA sequencing (scRNA-seq), bulk RNA-seq data, Mendelian randomization (MR), colocalization analysis, and cell function analysis, this study explores the correlation between OA and aging. Furthermore, it investigates the potential causal relationship between key marker genes and OA. Integrating and analyzing scRNA-seq data from OA, aging, and control groups revealed a significant increase in the proportion of the classical monocyte core subgroup. Differential expression analysis yielded 77 marker genes, and further MR analysis identified four key marker genes (DUSP6, CSTA, CD300E, and GPX1) as causally related to OA, which was confirmed in an independent validation cohort. Reverse MR and Steiger filtering indicated no evidence of reverse causality. DUSP6- and CSTA-classical monocytes may interact with other cell subgroups through the MIF-(CD74 + CD44) signaling pathway. This study revealed the heterogeneity of monocyte subgroups in OA and aging patients, identifying key marker genes with a causal relationship to OA through an integrated multi-omics approach, providing potential molecular targets for the diagnosis and treatment of OA from an aging perspective.",2026,Journal Article,10.1007/s12033-025-01416-6,MED:40172742,explicit_only|genetic_instrument|medium|aging_anchor|causal_anchor
doi:10.1007/s00251-026-01409-y,springernature,Genetic association of immunosenescence to immune decline,"Immunosenescence is a complex biological process characterized by progressive remodeling of immune function during aging, leading to increased susceptibility to infections, chronic inflammatory diseases, cancer, and reduced vaccine efficacy. While cumulative antigen exposure, infections, lifestyle factors, environmental exposures, and epigenetic influences contribute to immune decline, a growing body of evidence suggests that genetic predisposition also plays an important modulatory role in shaping the molecular trajectory of immune aging. This review discusses how inherited variation in cytokine-regulatory pathways may influence IL-6, TNF-α, interferon, and TGF-β signaling, thereby contributing to inflammatory set points that favor chronic immune activation and inflammaging. Inherited differences in innate and adaptive immune signaling, including KIR-HLA interactions, DNA-sensing pathways, and downstream JAK-STAT and NF-κB cascades, may alter activation thresholds and immune-cell differentiation. Variants affecting mitochondrial redox balance and autophagy may enhance reactive oxygen species accumulation and metabolic exhaustion, thereby potentially contributing to immune-cell senescence. Genetic factors affecting folate metabolism, epigenetics, telomeres, and DNA repair drive epigenetic drift, cellular aging, and clonal instability in immune cells. These mechanisms appear as measurable molecular and cellular biomarkers, including inflammatory signals, immune cell activation, oxidative stress, telomere shortening, and multi-omic indicators. Understanding this molecular architecture provides a foundation for identifying predictive biomarkers and developing precision strategies to preserve immune competence and promote healthy aging. Graphical Abstract",2026,ReviewPaper; Review,10.1007/s00251-026-01409-y,doi:10.1007/s00251-026-01409-y,explicit_only|other_causal_or_boundary|long|aging_anchor|causal_boundary
doi:10.1007/s00335-026-10256-x,springernature,Semi-supervised ensemble learning with interval type-2 fuzzy-rough sets for Parkinson’s disease prediction from multi-omics,"Parkinson’s disease (PD) is a disorder involving progressive degeneration of the nervous system. Its clinical signs typically become noticeable only after substantial impairment has occurred in the substantia nigra, a brain region involved in motor control. Therefore, early and accurate prediction of PD based on molecular alterations is essential for proper diagnosis and improved patient outcomes. In this context, feature-level multi-omics integration has become a useful strategy because it combines molecular information from multiple biological levels and may support a broader understanding of disease progression. This study proposes a novel technique called Semi-supervised Ensemble Learning with Interval Type-2 Fuzzy-Rough Sets (SSEnIT2FRS) for PD prediction from multi-omics data, which leverages interval type-2 fuzzy-rough sets to achieve early and accurate prediction. The type-2 fuzzy-rough set enhances the handling of uncertainty and vagueness present in real-world biological datasets, while the ensemble approach improves predictive robustness by combining the decisions of multiple base classifiers. Furthermore, the inclusion of semi-supervised learning addresses the scarcity of labeled samples. The experimental findings indicate that the proposed method outperforms nine existing methods across all evaluation metrics, achieving the highest accuracy of 98.49%, with precision 0.9820, recall 0.9865, macro $$F_{1}$$ -score 0.9836, micro $$F_{1}$$ -score 0.9842, kappa 0.9672, specificity 0.9953, and AUC of 0.9969 on the multi-omics dataset. Boxplots, paired t -test results, confidence interval analysis, and SHAP-based explanations further justify the superior performance, robustness, statistical significance, and interpretability of the proposed method. Therefore, the proposed method could be an effective computational technique for identifying PD at an early stage from multi-omics data.",2026,OriginalPaper,10.1007/s00335-026-10256-x,doi:10.1007/s00335-026-10256-x,explicit_only|other_causal_or_boundary|long|aging_boundary|causal_boundary
doi:10.1038/s41467-026-75605-5,springernature,Immunological maladaptation preceding spontaneous preterm birth in human pregnancies,"Spontaneous preterm birth often occurs without any clinical warning sign and in the absence of identifiable risk factors. Here, the authors perform a multi-omics analysis of longitudinally collected peripheral blood samples from low-risk pregnancies and identify distinct immune parameters, such as increased adrenergic responsiveness and Th17-skewed CD4^+ T cells, that precede idiopathic preterm birth. The majority of spontaneous preterm births (sPTB) occurs without identifiable clinical indications or apparent risk factors. A dysregulated maternal immune adaptation at delivery has been associated with sPTB. Yet, a precise understanding of maternal immune dynamics preceding sPTB remains lacking. Here we show, in a nested case-control study within a low-risk, population-based pregnancy cohort, that an abnormal immune adaptation in mothers’ blood precedes sPTB by weeks to months and discriminates sPTB cases from term controls (AUROC: 0.7). Prominent features include enhanced immune cell responses to an adrenergic stimulus during the first and second trimesters, followed by increased production of pro-inflammatory cytokines in the third trimester in sPTB vs. term pregnancies. Transcriptome analysis of second trimester single-cell CD4^+ T cells reveals a Th17-skewed, neuroactive-protein responsive phenotype in sPTB pregnancies. Our study provides a multi-omics resource and a conceptual framework for early identification of individuals at increased risk for sPTB with broad translational implications for advancing targeted preventive measures.",2026,OriginalPaper; Article,10.1038/s41467-026-75605-5,doi:10.1038/s41467-026-75605-5,explicit_only|other_causal_or_boundary|medium|aging_boundary|causal_boundary
