record_id,doi,title,article_only_audit_decision,europe_pmc_publication_types,europe_pmc_issues,crossref_type,crossref_issue,markdown_content_signals,decision_evidence,evidence_url
doi:10.1007/s10753-024-02032-3,10.1007/s10753-024-02032-3,Investigation of Metabolic and Inflammatory Disorder in the Aging FGF21 Knockout Mouse.,retain_full_article_or_preprint,Journal Article|research-article,6,journal-article,6,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1007/s11357-012-9485-8,10.1007/s11357-012-9485-8,Effects of Sirt1 on DNA methylation and expression of genes affected by dietary restriction.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",5,journal-article,5,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1007/s11357-014-9648-x,10.1007/s11357-014-9648-x,Genome-wide age-related changes in DNA methylation and gene expression in human PBMCs.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",3,journal-article,3,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1007/s11357-024-01126-y,10.1007/s11357-024-01126-y,Repetitive element transcript accumulation is associated with inflammaging in humans.,retain_full_article_or_preprint,"Journal Article|Research Support, N.I.H., Extramural|research-article",6,journal-article,6,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1007/s11357-025-01794-4,10.1007/s11357-025-01794-4,Identification of gut microbiota causally associated with aging and longevity and mediation roles of the cerebrospinal fluid proteins: proteomic genetic evidence from Mendelian randomization.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",2,journal-article,2,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1007/s11357-025-02044-3,10.1007/s11357-025-02044-3,Genetic links between multimorbidity and human aging.,retain_full_article_or_preprint,Journal Article,,journal-article,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1016/j.apsb.2026.02.006,10.1016/j.apsb.2026.02.006,Oridonin as a novel KDM5C inhibitor alleviates clonal hematopoiesis-induced cardiac aging via H3K4me3-dependent SASP suppression,retain_full_article_or_preprint,Journal Article|research-article,5,journal-article,5,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1016/j.celrep.2017.06.048,10.1016/j.celrep.2017.06.048,Reduced Circulating Insulin Enhances Insulin Sensitivity in Old Mice and Extends Lifespan.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't",2,journal-article,2,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1016/j.celrep.2020.108203,10.1016/j.celrep.2020.108203,The Gene-Regulatory Footprint of Aging Highlights Conserved Central Regulators.,retain_full_article_or_preprint,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|research-article",13,journal-article,13,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1016/j.celrep.2025.116182,10.1016/j.celrep.2025.116182,Age-dependent effect of environmental enrichment on the neural 3D chromatin interactome.,retain_full_article_or_preprint,Journal Article,9,journal-article,9,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1016/j.cmet.2011.05.010,10.1016/j.cmet.2011.05.010,Life span extension via eIF4G inhibition is mediated by posttranscriptional remodeling of stress response gene expression in C. elegans.,retain_full_article_or_preprint,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|research-article",1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1016/j.cmet.2023.03.015,10.1016/j.cmet.2023.03.015,Biological age is increased by stress and restored upon recovery.,retain_full_article_or_preprint,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|research-article",5,journal-article,5,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1016/j.cmet.2025.04.002,10.1016/j.cmet.2025.04.002,NAD depletion in skeletal muscle does not compromise muscle function or accelerate aging.,retain_full_article_or_preprint,Journal Article,7,journal-article,7,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1016/j.devcel.2018.09.001,10.1016/j.devcel.2018.09.001,Drug Synergy Slows Aging and Improves Healthspan through IGF and SREBP Lipid Signaling.,retain_full_article_or_preprint,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1016/j.ebiom.2024.105476,10.1016/j.ebiom.2024.105476,Homozygous variant in translocase of outer mitochondrial membrane 7 leads to metabolic reprogramming and microcephalic osteodysplastic dwarfism with moyamoya disease,retain_full_article_or_preprint,Journal Article|research-article,,journal-article,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1016/j.envint.2025.109686,10.1016/j.envint.2025.109686,Mitochondrial metabolism reprogramming-mediated cardiomyocyte senescence involved in arsenic stress-evoked heart failure.,retain_full_article_or_preprint,Journal Article,,journal-article,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1016/j.exer.2022.109219,10.1016/j.exer.2022.109219,Ocular proteomic and transcriptomic changes with aging in a rabbit model of lensectomy with intraocular lens insertion.,retain_full_article_or_preprint,"Journal Article|Research Support, N.I.H., Extramural|research-article",,journal-article,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1016/j.freeradbiomed.2026.01.050,10.1016/j.freeradbiomed.2026.01.050,Glycine ameliorates aging-related dysfunctions associated with Nmdmc-mediated mitochondrial one-carbon metabolism,retain_full_article_or_preprint,Journal Article,,journal-article,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1016/j.immuni.2021.03.003,10.1016/j.immuni.2021.03.003,The complement system drives local inflammatory tissue priming by metabolic reprogramming of synovial fibroblasts.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't",5,journal-article,5,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1016/j.jacbts.2025.01.004,10.1016/j.jacbts.2025.01.004,FNDC4 Prevents Aging-Related Cardiac Dysfunction: By Restoring AMPKα/PPARα-Dependent Mitochondrial Function.,retain_full_article_or_preprint,Journal Article|research-article,7,journal-article,7,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1016/j.jare.2024.04.027,10.1016/j.jare.2024.04.027,Tetrahydroxy stilbene glucoside rejuvenates aging hematopoietic stem cells with predilection for lymphoid differentiation via AMPK and Tet2,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",,journal-article,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1016/j.jare.2026.01.063,10.1016/j.jare.2026.01.063,High-protein diet promotes aging by activating the CG6415/AMT gene and disrupting mitochondrial homeostasis,retain_full_article_or_preprint,Journal Article,,journal-article,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1016/j.jare.2026.01.073,10.1016/j.jare.2026.01.073,Asprosin-driven metabolic-epigenetic rewiring attenuates mesenchymal stem cell senescence with therapeutic benefits for infarcted hearts.,retain_full_article_or_preprint,Journal Article,,journal-article,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1016/j.jare.2026.05.022,10.1016/j.jare.2026.05.022,ProtPhenoAge: Integrating plasma proteomics to predict Aging-Related disease Risks,retain_full_article_or_preprint,Journal Article,,journal-article,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1016/j.jbc.2025.108400,10.1016/j.jbc.2025.108400,Declining activity of serum response factor in aging aorta in relation to aneurysm progression.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",4,journal-article,4,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1016/j.jbc.2025.111058,10.1016/j.jbc.2025.111058,MRPL47 deficiency drives mitochondrial dysfunction via ROS-p38-p21 signaling in non-small cell lung cancer.,retain_full_article_or_preprint,Journal Article|research-article,2,journal-article,2,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1016/j.jgr.2026.101026,10.1016/j.jgr.2026.101026,Ginsenoside Rb1 mitigates senescence-associated hepatic steatosis in mice through enhanced lysine degradation.,retain_full_article_or_preprint,Journal Article|research-article,4,journal-article,4,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1016/j.jhep.2024.03.043,10.1016/j.jhep.2024.03.043,Polyploidisation pleiotropically buffers ageing in hepatocytes.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't",2,journal-article,2,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1016/j.lfs.2025.123887,10.1016/j.lfs.2025.123887,Fecal microbiota transplantation promotes hair growth through gut microbiome and metabolic regulation.,retain_full_article_or_preprint,Journal Article,,journal-article,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1016/j.mad.2012.05.003,10.1016/j.mad.2012.05.003,Genome-wide expression and methylation profiling in the aged rodent brain due to early-life Pb exposure and its relevance to aging.,retain_full_article_or_preprint,"Journal Article|Research Support, N.I.H., Extramural|Research Support, N.I.H., Intramural|research-article",6,journal-article,6,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1016/j.mad.2026.112162,10.1016/j.mad.2026.112162,Metformin-induced longevity is associated with retrotransposon dynamics in yeast chronological aging.,retain_full_article_or_preprint,Journal Article,,journal-article,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1016/j.redox.2025.103695,10.1016/j.redox.2025.103695,IDO1 improves postischemic neovascularization in aged mice by boosting endothelial NAD+ de novo synthesis and curbing endothelial senescence,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",,journal-article,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1016/j.redox.2026.104065,10.1016/j.redox.2026.104065,ERRα-NOS2-mediated citrulline metabolism attenuates tubular epithelial cell senescence in diabetic kidney disease.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",,journal-article,,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1016/j.tjnut.2025.05.044,10.1016/j.tjnut.2025.05.044,Late-Life Short-Term Dietary Restriction Improves Intestinal Stem Cell Function and Alters Intestinal Stem Cell Deoxyribonucleic Acid Methylation in Mice.,retain_full_article_or_preprint,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|Research Support, U.S. Gov't, Non-P.H.S.|research-article",8,journal-article,8,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1016/j.xgen.2024.100541,10.1016/j.xgen.2024.100541,Characterization of the genetic determinants of context-specific DNA methylation in primary monocytes.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",5,journal-article,5,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1016/j.xgen.2026.101218,10.1016/j.xgen.2026.101218,Interferon-related inflammaging links epigenetic age acceleration to multimorbidity.,retain_full_article_or_preprint,Journal Article|research-article,6,journal-article,6,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1016/j.ymthe.2026.02.015,10.1016/j.ymthe.2026.02.015,T cell senescence induced by DNMT1 deletion mediates cardiac transplant tolerance via altered CDKN1A methylation.,retain_full_article_or_preprint,Journal Article,6,journal-article,6,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/cddis.2017.48,10.1038/cddis.2017.48,Inactivation of Lsd1 triggers senescence in trophoblast stem cells by induction of Sirt4.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",2,journal-article,2,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/mp.2016.65,10.1038/mp.2016.65,"Mood, stress and longevity: convergence on ANK3.",retain_full_article_or_preprint,"Journal Article|Research Support, N.I.H., Extramural|research-article",8,journal-article,8,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s41368-025-00362-y,10.1038/s41368-025-00362-y,NUP62 alleviates senescence and promotes the stemness of human dental pulp stem cells via NSD2-dependent epigenetic reprogramming.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s41386-020-00884-5,10.1038/s41386-020-00884-5,"Klotho, PTSD, and advanced epigenetic age in cortical tissue.",retain_full_article_or_preprint,"Journal Article|Research Support, N.I.H., Extramural|Research Support, U.S. Gov't, Non-P.H.S.|research-article",4,journal-article,4,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s41418-019-0384-8,10.1038/s41418-019-0384-8,A functional genetic screen defines the AKT-induced senescence signaling network.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",2,journal-article,2,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s41418-025-01456-0,10.1038/s41418-025-01456-0,Inhibition of ferroptosis counteracts the advanced maternal age-induced oocyte deterioration.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",6,journal-article,6,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s41419-022-04601-6,10.1038/s41419-022-04601-6,Induction of senescence-associated secretory phenotype underlies the therapeutic efficacy of PRC2 inhibition in cancer.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",2,journal-article,2,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s41467-024-52310-9,10.1038/s41467-024-52310-9,"A metabolomic profile of biological aging in 250,341 individuals from the UK Biobank",retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s41467-024-52909-y,10.1038/s41467-024-52909-y,Systems biology approaches identify metabolic signatures of dietary lifespan and healthspan across species.,retain_full_article_or_preprint,"Journal Article|Research Support, N.I.H., Extramural|research-article",1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s41467-024-54130-3,10.1038/s41467-024-54130-3,The de novo design and synthesis of yeast chromosome XIII facilitates investigations on aging.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s41467-025-56191-4,10.1038/s41467-025-56191-4,Cross-trait multivariate GWAS confirms health implications of pubertal timing.,retain_full_article_or_preprint,Journal Article|research-article,1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s41467-025-59441-7,10.1038/s41467-025-59441-7,Synaptic vesicle-omics in mice captures signatures of aging and synucleinopathy,retain_full_article_or_preprint,Journal Article|research-article,1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s41467-025-59682-6,10.1038/s41467-025-59682-6,Chromogranin A deficiency attenuates tauopathy by altering epinephrine–alpha-adrenergic receptor signaling in PS19 mice,retain_full_article_or_preprint,Journal Article|research-article,1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s41467-025-67223-4,10.1038/s41467-025-67223-4,Revealing the genetic architectures underlying organ-specific aging based on proteomic data,retain_full_article_or_preprint,Journal Article|research-article,1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s41467-026-71508-7,10.1038/s41467-026-71508-7,Aging-associated decline of phosphatidylcholine synthesis is a malleable trigger of natural mitochondrial aging.,retain_full_article_or_preprint,Journal Article|research-article,1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s41467-026-73222-w,10.1038/s41467-026-73222-w,Epigenetic landscapes in human pancreatic islets reveal distinct drivers for adaptation to age and type 2 diabetes,retain_full_article_or_preprint,Journal Article|research-article,1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s41514-025-00205-4,10.1038/s41514-025-00205-4,Genetic determinants of proteomic aging,retain_full_article_or_preprint,Journal Article|research-article,1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s41514-025-00318-w,10.1038/s41514-025-00318-w,Reversal of proteomic aging with exercise-results from the UK biobank and a 12-week intervention study.,retain_full_article_or_preprint,Journal Article|research-article,1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s41514-026-00361-1,10.1038/s41514-026-00361-1,Stroke in persistent chronic kidney disease condition alters innate-immunity to escalate mitochondrial dysfunction and aging,retain_full_article_or_preprint,Journal Article|research-article,1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s41556-023-01325-3,10.1038/s41556-023-01325-3,FOXO1-mediated lipid metabolism maintains mammalian embryos in dormancy,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",2,journal-article,2,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s41556-025-01804-9,10.1038/s41556-025-01804-9,Polyamines sustain epithelial regeneration in aged intestines by modulating protein homeostasis,retain_full_article_or_preprint,Journal Article|research-article,12,journal-article,12,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s41591-019-0504-5,10.1038/s41591-019-0504-5,Healthspan and lifespan extension by fecal microbiota transplantation into progeroid mice.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't",8,journal-article,8,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s41593-025-01889-3,10.1038/s41593-025-01889-3,Neuronal polyunsaturated fatty acids are protective in ALS/FTD,retain_full_article_or_preprint,Journal Article|research-article,4,journal-article,4,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s41598-018-28606-4,10.1038/s41598-018-28606-4,Ectopic expression of a Brassica rapa AINTEGUMENTA gene (BrANT-1) increases organ size and stomatal density in Arabidopsis.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s41598-022-07397-9,10.1038/s41598-022-07397-9,Reduced ech-6 expression attenuates fat-induced lifespan shortening in C. elegans.,retain_full_article_or_preprint,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|research-article",1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s41598-023-42231-w,10.1038/s41598-023-42231-w,Yoga maintains Th17/Treg cell homeostasis and reduces the rate of T cell aging in rheumatoid arthritis: a randomized controlled trial.,retain_full_article_or_preprint,"Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't|research-article",1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s41598-024-72281-7,10.1038/s41598-024-72281-7,Proteomic Mendelian randomization to identify protein biomarkers of telomere length.,retain_full_article_or_preprint,Journal Article|research-article,1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s41598-025-11459-z,10.1038/s41598-025-11459-z,Poneratoxin as a key tool for investigating the relationship between sodium channel hypersensitivity and impaired nerve cell function,retain_full_article_or_preprint,Journal Article|research-article,1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s41598-025-96038-y,10.1038/s41598-025-96038-y,Cathepsin D inhibits AGEs-induced phenotypic transformation in vascular smooth muscle cells.,retain_full_article_or_preprint,Journal Article|research-article,1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s41598-026-51208-4,10.1038/s41598-026-51208-4,DNA hypermethylation of FGFR2 drives fibrosis in the aging kidney.,retain_full_article_or_preprint,Journal Article|research-article,1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s42003-020-01227-2,10.1038/s42003-020-01227-2,Nrf2 contributes to the weight gain of mice during space travel.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s42003-024-06248-9,10.1038/s42003-024-06248-9,Palmitic acid induces lipid droplet accumulation and senescence in nucleus pulposus cells via ER-stress pathway.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s43587-021-00159-8,10.1038/s43587-021-00159-8,Mendelian randomization of genetically independent aging phenotypes identifies LPA and VCAM1 as biological targets for human aging,retain_full_article_or_preprint,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't",1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s43587-023-00455-5,10.1038/s43587-023-00455-5,Multivariate genome-wide analysis of aging-related traits identifies novel loci and new drug targets for healthy aging,retain_full_article_or_preprint,"Journal Article|Research Support, N.I.H., Intramural|Research Support, Non-U.S. Gov't|research-article",8,journal-article,8,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s43587-023-00538-3,10.1038/s43587-023-00538-3,Longitudinal modeling of human neuronal aging reveals the contribution of the RCAN1-TFEB pathway to Huntington's disease neurodegeneration.,retain_full_article_or_preprint,Journal Article|research-article,1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s43587-026-01069-3,10.1038/s43587-026-01069-3,Estropausal gut microbiota transplant improves measures of ovarian function in adult mice,retain_full_article_or_preprint,Journal Article|research-article,3,journal-article,3,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s43856-025-00942-3,10.1038/s43856-025-00942-3,Protection against APOE4-associated phenotypes with the longevity-promoting intervention 17α-estradiol in middle-aged male mice,retain_full_article_or_preprint,Journal Article|research-article,1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1038/s44319-025-00416-6,10.1038/s44319-025-00416-6,Developmental mitochondrial complex I activity determines lifespan.,retain_full_article_or_preprint,Journal Article|research-article,8,journal-article,8,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1073/pnas.1818348116,10.1073/pnas.1818348116,Cellular senescence in progenitor cells contributes to diminished remyelination potential in progressive multiple sclerosis,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",18,journal-article,18,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1073/pnas.2102895118,10.1073/pnas.2102895118,Identification of a KLF5-dependent program and drug development for skeletal muscle atrophy.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",35,journal-article,35,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1089/ten.tea.2010.0085,10.1089/ten.tea.2010.0085,Sox11 is expressed in early progenitor human multipotent stromal cells and decreases with extensive expansion of the cells.,retain_full_article_or_preprint,"Journal Article|Research Support, N.I.H., Extramural|research-article",11,journal-article,11,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1093/ehjcvp/pvae038,10.1093/ehjcvp/pvae038,Utilizing genetics and proteomics to assess the role of antihypertensive drugs in human longevity and the underlying pathways: a Mendelian randomization study,retain_full_article_or_preprint,Comparative Study|Journal Article,6,journal-article,6,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1093/eurheartj/ehaf1063,10.1093/eurheartj/ehaf1063,Endothelial ZBTB16: a molecular shield against cardiac aging,retain_full_article_or_preprint,Journal Article|research-article,10,journal-article,10,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1093/eurheartj/ehag191,10.1093/eurheartj/ehag191,Senescence-associated metabolic alterations aggravate calcific aortic valve disease,retain_full_article_or_preprint,Journal Article,30,journal-article,30,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1093/genetics/iyad073,10.1093/genetics/iyad073,Expression of retrotransposons contributes to aging in Drosophila.,retain_full_article_or_preprint,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|research-article",2,journal-article,2,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1093/gerona/glaf072,10.1093/gerona/glaf072,The Age-dependent Influence of the Infrapatellar Fat Pad on Chondrocyte Extracellular Matrix Production.,retain_full_article_or_preprint,"Journal Article|Research Support, N.I.H., Extramural|Research Support, Non-U.S. Gov't|research-article",7,journal-article,7,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1093/geroni/igaf122.2542,10.1093/geroni/igaf122.2542,Exploring Acetyl-CoA-Mediated Beta-Hydroxybutyrate Enrichment in Yeast: A Mechanistic Link to Longevity,exclude_conference_abstract,Abstract,Suppl 2,journal-article,Supplement_2,,Europe PMC publication type Abstract; Innovation in Aging Supplement_2.,https://pmc.ncbi.nlm.nih.gov/articles/PMC12761179/
