record_id,doi,title,baseline_decision,final_decision,final_exclusion_code,decision_reason,pending_reason,prisma_disposition,decision_source,scope_valid_repeats,causal_valid_repeats,human_adjudication_applied,record_audit
doi:10.1016/j.celrep.2017.06.048,10.1016/j.celrep.2017.06.048,Reduced Circulating Insulin Enhances Insulin Sensitivity in Old Mice and Extends Lifespan.,manual_review,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,v1.6.2_targeted_automatic_five_run_route,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.2_medium_auto/records/record_824a11cc7180383d.json
doi:10.1016/j.celrep.2020.108203,10.1016/j.celrep.2020.108203,The Gene-Regulatory Footprint of Aging Highlights Conserved Central Regulators.,manual_review,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,targeted_recovery_with_cached_runs,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_2459e01b8dd7bd1e.json
doi:10.1016/j.celrep.2025.116182,10.1016/j.celrep.2025.116182,Age-dependent effect of environmental enrichment on the neural 3D chromatin interactome.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_dd2fec581160f2f7.json
doi:10.1016/j.cmet.2011.05.010,10.1016/j.cmet.2011.05.010,Life span extension via eIF4G inhibition is mediated by posttranscriptional remodeling of stress response gene expression in C. elegans.,manual_review,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,targeted_recovery_with_cached_runs,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_f9e4cdf684e2af0f.json
doi:10.1016/j.cmet.2023.03.015,10.1016/j.cmet.2023.03.015,Biological age is increased by stress and restored upon recovery.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_96bcc88a51cc537c.json
doi:10.1016/j.cmet.2025.04.002,10.1016/j.cmet.2025.04.002,NAD depletion in skeletal muscle does not compromise muscle function or accelerate aging.,manual_review,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,targeted_recovery_with_cached_runs,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_0321fcc23db3b4d0.json
doi:10.1016/j.devcel.2018.09.001,10.1016/j.devcel.2018.09.001,Drug Synergy Slows Aging and Improves Healthspan through IGF and SREBP Lipid Signaling.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_e5497e506b3fbca3.json
doi:10.1016/j.ebiom.2024.105476,10.1016/j.ebiom.2024.105476,Homozygous variant in translocase of outer mitochondrial membrane 7 leads to metabolic reprogramming and microcephalic osteodysplastic dwarfism with moyamoya disease,manual_review,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,targeted_recovery_with_cached_runs,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_28f3ed087da6281f.json
doi:10.1016/j.envint.2025.109686,10.1016/j.envint.2025.109686,Mitochondrial metabolism reprogramming-mediated cardiomyocyte senescence involved in arsenic stress-evoked heart failure.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_d66acb19491da438.json
doi:10.1016/j.exer.2022.109219,10.1016/j.exer.2022.109219,Ocular proteomic and transcriptomic changes with aging in a rabbit model of lensectomy with intraocular lens insertion.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_afef93f861d4262c.json
doi:10.1016/j.freeradbiomed.2026.01.050,10.1016/j.freeradbiomed.2026.01.050,Glycine ameliorates aging-related dysfunctions associated with Nmdmc-mediated mitochondrial one-carbon metabolism,manual_review,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,targeted_recovery_with_cached_runs,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_a825497dda8fa509.json
doi:10.1016/j.immuni.2021.03.003,10.1016/j.immuni.2021.03.003,The complement system drives local inflammatory tissue priming by metabolic reprogramming of synovial fibroblasts.,manual_review,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,targeted_recovery_with_cached_runs,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_cf460b6a4763660d.json
doi:10.1016/j.jacbts.2025.01.004,10.1016/j.jacbts.2025.01.004,FNDC4 Prevents Aging-Related Cardiac Dysfunction: By Restoring AMPKα/PPARα-Dependent Mitochondrial Function.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_63ff647afb26cbda.json
doi:10.1016/j.jare.2024.04.027,10.1016/j.jare.2024.04.027,Tetrahydroxy stilbene glucoside rejuvenates aging hematopoietic stem cells with predilection for lymphoid differentiation via AMPK and Tet2,manual_review,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,targeted_recovery_with_cached_runs,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_2db5f9f47af6963b.json
doi:10.1016/j.jare.2026.01.063,10.1016/j.jare.2026.01.063,High-protein diet promotes aging by activating the CG6415/AMT gene and disrupting mitochondrial homeostasis,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_14c3e4880ee06fda.json
doi:10.1016/j.jare.2026.01.073,10.1016/j.jare.2026.01.073,Asprosin-driven metabolic-epigenetic rewiring attenuates mesenchymal stem cell senescence with therapeutic benefits for infarcted hearts.,manual_review,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,targeted_recovery_with_cached_runs,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_f371d35d0c237463.json
doi:10.1016/j.jare.2026.05.022,10.1016/j.jare.2026.05.022,ProtPhenoAge: Integrating plasma proteomics to predict Aging-Related disease Risks,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_35666ee2b2b020c0.json
doi:10.1016/j.jbc.2025.108400,10.1016/j.jbc.2025.108400,Declining activity of serum response factor in aging aorta in relation to aneurysm progression.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_ff76356b962420fb.json
doi:10.1016/j.jbc.2025.111058,10.1016/j.jbc.2025.111058,MRPL47 deficiency drives mitochondrial dysfunction via ROS-p38-p21 signaling in non-small cell lung cancer.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_aa471770a215a259.json
doi:10.1016/j.jgr.2026.101026,10.1016/j.jgr.2026.101026,Ginsenoside Rb1 mitigates senescence-associated hepatic steatosis in mice through enhanced lysine degradation.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_ba32e6d4e69b18b7.json
doi:10.1016/j.jhep.2024.03.043,10.1016/j.jhep.2024.03.043,Polyploidisation pleiotropically buffers ageing in hepatocytes.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_a4231ef2ac16c11c.json
doi:10.1016/j.lfs.2025.123887,10.1016/j.lfs.2025.123887,Fecal microbiota transplantation promotes hair growth through gut microbiome and metabolic regulation.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_b40d0a31996b0bd1.json
doi:10.1016/j.mad.2012.05.003,10.1016/j.mad.2012.05.003,Genome-wide expression and methylation profiling in the aged rodent brain due to early-life Pb exposure and its relevance to aging.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_982f126347b40520.json
doi:10.1016/j.mad.2026.112162,10.1016/j.mad.2026.112162,Metformin-induced longevity is associated with retrotransposon dynamics in yeast chronological aging.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_d030ecd9a875aa6c.json
doi:10.1016/j.redox.2025.103695,10.1016/j.redox.2025.103695,IDO1 improves postischemic neovascularization in aged mice by boosting endothelial NAD+ de novo synthesis and curbing endothelial senescence,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_db6783fd5463e028.json
doi:10.1016/j.redox.2026.104065,10.1016/j.redox.2026.104065,ERRα-NOS2-mediated citrulline metabolism attenuates tubular epithelial cell senescence in diabetic kidney disease.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_8f340a2e4b30d5d4.json
doi:10.1016/j.tjnut.2025.05.044,10.1016/j.tjnut.2025.05.044,Late-Life Short-Term Dietary Restriction Improves Intestinal Stem Cell Function and Alters Intestinal Stem Cell Deoxyribonucleic Acid Methylation in Mice.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_95fa43b17ee788cf.json
doi:10.1016/j.xgen.2024.100541,10.1016/j.xgen.2024.100541,Characterization of the genetic determinants of context-specific DNA methylation in primary monocytes.,manual_review,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,targeted_recovery_with_cached_runs,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_2950ee7c3b3797a5.json
doi:10.1016/j.xgen.2026.101218,10.1016/j.xgen.2026.101218,Interferon-related inflammaging links epigenetic age acceleration to multimorbidity.,manual_review,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,v1.6.3_targeted_automatic_five_run_route,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.3_easy_auto/records/record_167fb64271fc6e83.json
doi:10.1016/j.ymthe.2026.02.015,10.1016/j.ymthe.2026.02.015,T cell senescence induced by DNMT1 deletion mediates cardiac transplant tolerance via altered CDKN1A methylation.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_3461d85a6668132e.json
doi:10.1038/cddis.2017.48,10.1038/cddis.2017.48,Inactivation of Lsd1 triggers senescence in trophoblast stem cells by induction of Sirt4.,manual_review,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,targeted_recovery_with_cached_runs,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_3827a077a352a0bf.json
doi:10.1038/mp.2016.65,10.1038/mp.2016.65,"Mood, stress and longevity: convergence on ANK3.",assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_234e5030b92fd7cd.json
doi:10.1038/s41368-025-00362-y,10.1038/s41368-025-00362-y,NUP62 alleviates senescence and promotes the stemness of human dental pulp stem cells via NSD2-dependent epigenetic reprogramming.,manual_review,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,targeted_recovery_with_cached_runs,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_ea76bb08db137da5.json
doi:10.1038/s41386-020-00884-5,10.1038/s41386-020-00884-5,"Klotho, PTSD, and advanced epigenetic age in cortical tissue.",assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_254b8117d81cd199.json
doi:10.1038/s41418-019-0384-8,10.1038/s41418-019-0384-8,A functional genetic screen defines the AKT-induced senescence signaling network.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_dd01e8843f6d355b.json
doi:10.1038/s41418-025-01456-0,10.1038/s41418-025-01456-0,Inhibition of ferroptosis counteracts the advanced maternal age-induced oocyte deterioration.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_7a2ad00b29abeb7c.json
doi:10.1038/s41419-022-04601-6,10.1038/s41419-022-04601-6,Induction of senescence-associated secretory phenotype underlies the therapeutic efficacy of PRC2 inhibition in cancer.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_5a7ee744f3d0924c.json
doi:10.1038/s41467-021-25728-8,10.1038/s41467-021-25728-8,MAPK-pathway inhibition mediates inflammatory reprogramming and sensitizes tumors to targeted activation of innate immunity sensor RIG-I,manual_review,exclude,EC4,The report applies bulk and single-cell RNA sequencing. The phrase functional genomics describes functional perturbation/validation and does not establish a second measured molecular omics layer under the frozen inventory rules.,,excluded_after_full_text_assessment,assistant_curated_source_evidence_pending_expert_confirmation,5,0,False,analysis/full_text_screening/curated24_2026-09-19/cases/case_03.json
doi:10.1038/s41467-024-52310-9,10.1038/s41467-024-52310-9,"A metabolomic profile of biological aging in 250,341 individuals from the UK Biobank",manual_review,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,targeted_recovery_with_cached_runs,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_15dc9e51a377b2ed.json
doi:10.1038/s41467-024-52909-y,10.1038/s41467-024-52909-y,Systems biology approaches identify metabolic signatures of dietary lifespan and healthspan across species.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_ab159a5676029fa4.json
doi:10.1038/s41467-024-54130-3,10.1038/s41467-024-54130-3,The de novo design and synthesis of yeast chromosome XIII facilitates investigations on aging.,manual_review,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,targeted_recovery_with_cached_runs,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_876d006bf0b13fb7.json
doi:10.1038/s41467-025-56191-4,10.1038/s41467-025-56191-4,Cross-trait multivariate GWAS confirms health implications of pubertal timing.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_9fba6acb1537eb39.json
doi:10.1038/s41467-025-59441-7,10.1038/s41467-025-59441-7,Synaptic vesicle-omics in mice captures signatures of aging and synucleinopathy,manual_review,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,targeted_recovery_with_cached_runs,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_b37664db3b29f765.json
doi:10.1038/s41467-025-59682-6,10.1038/s41467-025-59682-6,Chromogranin A deficiency attenuates tauopathy by altering epinephrine–alpha-adrenergic receptor signaling in PS19 mice,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_88f9b1897753a02e.json
doi:10.1038/s41467-025-67223-4,10.1038/s41467-025-67223-4,Revealing the genetic architectures underlying organ-specific aging based on proteomic data,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_b8c26ab5d582c79e.json
doi:10.1038/s41467-026-71508-7,10.1038/s41467-026-71508-7,Aging-associated decline of phosphatidylcholine synthesis is a malleable trigger of natural mitochondrial aging.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_b8e1b5b2958d3e98.json
doi:10.1038/s41467-026-73222-w,10.1038/s41467-026-73222-w,Epigenetic landscapes in human pancreatic islets reveal distinct drivers for adaptation to age and type 2 diabetes,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_0c98aeab24d6ad9c.json
doi:10.1038/s41514-025-00205-4,10.1038/s41514-025-00205-4,Genetic determinants of proteomic aging,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_56f77f11ae28d2b5.json
doi:10.1038/s41514-025-00318-w,10.1038/s41514-025-00318-w,Reversal of proteomic aging with exercise-results from the UK biobank and a 12-week intervention study.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_542f529d8f51ca80.json
doi:10.1038/s41514-026-00361-1,10.1038/s41514-026-00361-1,Stroke in persistent chronic kidney disease condition alters innate-immunity to escalate mitochondrial dysfunction and aging,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_b4cb5f6a5dec7262.json
doi:10.1038/s41556-023-01325-3,10.1038/s41556-023-01325-3,FOXO1-mediated lipid metabolism maintains mammalian embryos in dormancy,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_0a583292c7b50d31.json
doi:10.1038/s41556-025-01804-9,10.1038/s41556-025-01804-9,Polyamines sustain epithelial regeneration in aged intestines by modulating protein homeostasis,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_44c9c23d7b6f94ea.json
doi:10.1038/s41591-019-0504-5,10.1038/s41591-019-0504-5,Healthspan and lifespan extension by fecal microbiota transplantation into progeroid mice.,manual_review,assessed,none,The report analyzes gut metagenomic profiles and ileal metabolomics and administers fecal microbiota transplantation in progeroid mice with healthspan/lifespan outcomes.,,meets_full_text_eligibility,assistant_curated_source_evidence_pending_expert_confirmation,1,0,False,analysis/full_text_screening/curated24_2026-09-19/cases/case_04.json
doi:10.1038/s41593-025-01889-3,10.1038/s41593-025-01889-3,Neuronal polyunsaturated fatty acids are protective in ALS/FTD,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_da278f39c71a2d17.json
