group_id,representative_index,duplicate_index,match_reason,representative_title,duplicate_title
19,18,1413,doi,The Impact of New Biomarkers and Drug Targets on Age-Related Disorders.,The Impact of New Biomarkers and Drug Targets on Age-Related Disorders.
19,18,2190,doi,The Impact of New Biomarkers and Drug Targets on Age-Related Disorders.,The Impact of New Biomarkers and Drug Targets on Age-Related Disorders.
20,2318,19,title_year,Metabolic Regulation of Longevity by One-Carbon Metabolism and Flavin-Containing Monooxygenase,Metabolic Regulation of Longevity by One-Carbon Metabolism and Flavin-Containing Monooxygenase
21,20,814,doi,Multi-omics Analysis of the Intermittent Fasting Response in Mice Identifies an Unexpected Role for HNF4α.,Multi-omics Analysis of the Intermittent Fasting Response in Mice Identifies an Unexpected Role for HNF4α
21,20,1414,doi,Multi-omics Analysis of the Intermittent Fasting Response in Mice Identifies an Unexpected Role for HNF4α.,Multi-omics Analysis of the Intermittent Fasting Response in Mice Identifies an Unexpected Role for HNF4α.
21,20,1972,doi,Multi-omics Analysis of the Intermittent Fasting Response in Mice Identifies an Unexpected Role for HNF4α.,Multi-omics Analysis of the Intermittent Fasting Response in Mice Identifies an Unexpected Role for HNF4α
22,2276,21,doi,The power of proteomics to monitor senescence-associated secretory phenotypes and beyond: toward clinical applications,The power of proteomics to monitor senescence-associated secretory phenotypes and beyond: toward clinical applications.
22,2276,1417,transitive_exact_match,The power of proteomics to monitor senescence-associated secretory phenotypes and beyond: toward clinical applications,The power of proteomics to monitor senescence-associated secretory phenotypes and beyond: toward clinical applications.
23,3760,22,doi,NFYB-1 regulates mitochondrial function and longevity via lysosomal prosaposin,NFYB-1 regulates mitochondrial function and longevity via lysosomal prosaposin.
23,3760,1416,transitive_exact_match,NFYB-1 regulates mitochondrial function and longevity via lysosomal prosaposin,NFYB-1 regulates mitochondrial function and longevity via lysosomal prosaposin.
24,23,1418,doi,Comparative Blood and Urine Metabolomics Analysis of Healthy Elderly and Young Male Singaporeans.,Comparative Blood and Urine Metabolomics Analysis of Healthy Elderly and Young Male Singaporeans.
24,23,2279,doi,Comparative Blood and Urine Metabolomics Analysis of Healthy Elderly and Young Male Singaporeans.,Comparative blood and urine metabolomics analysis of healthy elderly and young male Singaporeans.
25,2293,24,doi,The Molecular Landscape of the Aging Mouse Liver,Multi-Omic Profiling of the Liver Across Diets and Age in a Diverse Mouse Population
25,2293,823,transitive_exact_match,The Molecular Landscape of the Aging Mouse Liver,Multi-Omic Profiling of the Liver Across Diets and Age in a Diverse Mouse Population
26,2294,25,doi,Dietary Intervention Reverses Fatty Liver and Altered Gut Microbiota during Early-Life Undernutrition,Dietary Intervention Reverses Fatty Liver and Altered Gut Microbiota during Early-Life Undernutrition.
26,2294,1419,transitive_exact_match,Dietary Intervention Reverses Fatty Liver and Altered Gut Microbiota during Early-Life Undernutrition,Dietary Intervention Reverses Fatty Liver and Altered Gut Microbiota during Early-Life Undernutrition.
27,26,826,doi,Promising biomarkers of human aging: In search of a multi-omics panel to understand the aging process from a multidimensional perspective.,Promising biomarkers of human aging: In search of a multi-omics panel to understand the aging process from a multidimensional perspective
27,26,1420,doi,Promising biomarkers of human aging: In search of a multi-omics panel to understand the aging process from a multidimensional perspective.,Promising biomarkers of human aging: In search of a multi-omics panel to understand the aging process from a multidimensional perspective.
27,26,1974,doi,Promising biomarkers of human aging: In search of a multi-omics panel to understand the aging process from a multidimensional perspective.,Promising biomarkers of human aging: In search of a multi-omics panel to understand the aging process from a multidimensional perspective
27,26,2297,doi,Promising biomarkers of human aging: In search of a multi-omics panel to understand the aging process from a multidimensional perspective.,Promising biomarkers of human aging: in search of a multi-omics panel to understand the aging process from a multidimensional perspective.
28,27,1421,doi,"Unravelling the Epigenome of Myelodysplastic Syndrome: Diagnosis, Prognosis, and Response to Therapy.","Unravelling the Epigenome of Myelodysplastic Syndrome: Diagnosis, Prognosis, and Response to Therapy."
29,28,2308,doi,"Integrated Transcriptome, Proteome, Acetylome, and Metabolome Profiling of Mouse Liver During Normal Aging","Integrated Transcriptome, Proteome, Acetylome, and Metabolome Profiling of Mouse Liver During Normal Aging"
30,29,1422,doi,A geroscience approach for Parkinson's disease: Conceptual framework and design of PROPAG-AGEING project.,A geroscience approach for Parkinson's disease: Conceptual framework and design of PROPAG-AGEING project.
30,29,2319,doi,A geroscience approach for Parkinson's disease: Conceptual framework and design of PROPAG-AGEING project.,A Geroscience approach for Parkinson's Disease: conceptual framework and design of PROPAG-AGEING project.
31,2304,30,doi,Aging Atlas: a multi-omics database for aging biology,Aging Atlas: a multi-omics database for aging biology.
31,2304,827,title_year,Aging Atlas: a multi-omics database for aging biology,Aging Atlas: a multi-omics database for aging biology
31,2304,1423,transitive_exact_match,Aging Atlas: a multi-omics database for aging biology,Aging Atlas: a multi-omics database for aging biology.
31,2304,1976,transitive_exact_match,Aging Atlas: a multi-omics database for aging biology,Aging Atlas: A multi-omics database for aging biology
32,836,31,doi,Multi-omic rejuvenation of human cells by maturation phase transient reprogramming,Multi-omic rejuvenation of human cells by maturation phase transient reprogramming
33,32,2323,doi,Training-induced bioenergetic improvement in human skeletal muscle is associated with non-stoichiometric changes in the mitochondrial proteome without reorganization of respiratory chain content,Multi-omics reveal intricate network of mitochondrial adaptations to training in human skeletal muscle
33,32,2324,doi,Training-induced bioenergetic improvement in human skeletal muscle is associated with non-stoichiometric changes in the mitochondrial proteome without reorganization of respiratory chain content,Training-induced bioenergetic improvement in human skeletal muscle is associated with non-stoichiometric changes in the mitochondrial proteome without reorganization of respiratory chain content
34,33,831,doi,Multi-omics approach reveals the contribution of KLU to leaf longevity and drought tolerance.,Multi-omics approach reveals the contribution of KLU to leaf longevity and drought tolerance
34,33,1424,doi,Multi-omics approach reveals the contribution of KLU to leaf longevity and drought tolerance.,Multi-omics approach reveals the contribution of KLU to leaf longevity and drought tolerance.
34,33,1975,doi,Multi-omics approach reveals the contribution of KLU to leaf longevity and drought tolerance.,Multi-omics approach reveals the contribution of KLU to leaf longevity and drought tolerance
36,35,840,doi,Multi-omics analysis identifies CpGs near G6PC2 mediating the effects of genetic variants on fasting glucose.,Multi-omics analysis identifies CpGs near G6PC2 mediating the effects of genetic variants on fasting glucose
36,35,1425,doi,Multi-omics analysis identifies CpGs near G6PC2 mediating the effects of genetic variants on fasting glucose.,Multi-omics analysis identifies CpGs near G6PC2 mediating the effects of genetic variants on fasting glucose.
36,35,1978,doi,Multi-omics analysis identifies CpGs near G6PC2 mediating the effects of genetic variants on fasting glucose.,Multi-omics analysis identifies CpGs near G6PC2 mediating the effects of genetic variants on fasting glucose
36,35,2331,doi,Multi-omics analysis identifies CpGs near G6PC2 mediating the effects of genetic variants on fasting glucose.,Multi-omics analysis identifies CpGs near G6PC2 mediating the effects of genetic variants on fasting glucose
37,3794,36,doi,Restoration of energy homeostasis by SIRT6 extends healthy lifespan,Restoration of energy homeostasis by SIRT6 extends healthy lifespan.
37,3794,1426,transitive_exact_match,Restoration of energy homeostasis by SIRT6 extends healthy lifespan,Restoration of energy homeostasis by SIRT6 extends healthy lifespan.
37,3794,2344,transitive_exact_match,Restoration of energy homeostasis by SIRT6 extends healthy lifespan,Restoration of energy homeostasis by SIRT6 extends healthy lifespan
38,37,1427,doi,Interferon regulatory factor 7 impairs cellular metabolism in aging adipose-derived stromal cells.,Interferon regulatory factor 7 impairs cellular metabolism in aging adipose-derived stromal cells.
38,37,2336,doi,Interferon regulatory factor 7 impairs cellular metabolism in aging adipose-derived stromal cells.,Interferon Regulatory Factor 7 impairs cellular metabolism with age in adipose-derived stromal cells.
39,38,1428,doi,Nutrition to Optimise Human Health-How to Obtain Physiological Substantiation?,Nutrition to Optimise Human Health-How to Obtain Physiological Substantiation?
39,38,2350,doi,Nutrition to Optimise Human Health-How to Obtain Physiological Substantiation?,Nutrition to Optimise Human Health—How to Obtain Physiological Substantiation?
40,39,1429,doi,Combining multiomics and drug perturbation profiles to identify muscle-specific treatments for spinal muscular atrophy.,Combining multiomics and drug perturbation profiles to identify muscle-specific treatments for spinal muscular atrophy.
40,39,1979,doi,Combining multiomics and drug perturbation profiles to identify muscle-specific treatments for spinal muscular atrophy.,Combining multiomics and drug perturbation profiles to identify muscle-specific treatments for spinal muscular atrophy
41,40,849,doi,Multiomic profiling of the liver across diets and age in a diverse mouse population.,Multiomic profiling of the liver across diets and age in a diverse mouse population
41,40,1432,doi,Multiomic profiling of the liver across diets and age in a diverse mouse population.,Multiomic profiling of the liver across diets and age in a diverse mouse population.
41,40,1983,doi,Multiomic profiling of the liver across diets and age in a diverse mouse population.,Multiomic profiling of the liver across diets and age in a diverse mouse population
41,40,2365,doi,Multiomic profiling of the liver across diets and age in a diverse mouse population.,Multiomic Profiling of the Liver Across Diets and Age in a Diverse Mouse Population
42,41,646,title_year,Multi-Omics Interpretation of Anti-Aging Mechanisms for ω-3 Fatty Acids.,Multi-omics interpretation of anti-aging mechanisms for ω-3 fatty acids
42,41,850,doi,Multi-Omics Interpretation of Anti-Aging Mechanisms for ω-3 Fatty Acids.,Multi-Omics Interpretation of Anti-Aging Mechanisms for ω-3 Fatty Acids
42,41,1433,doi,Multi-Omics Interpretation of Anti-Aging Mechanisms for ω-3 Fatty Acids.,Multi-Omics Interpretation of Anti-Aging Mechanisms for ω-3 Fatty Acids.
42,41,1980,doi,Multi-Omics Interpretation of Anti-Aging Mechanisms for ω-3 Fatty Acids.,Multi-omics interpretation of anti-aging mechanisms for ω-3 fatty acids
42,41,2368,doi,Multi-Omics Interpretation of Anti-Aging Mechanisms for ω-3 Fatty Acids.,Multi-Omics Interpretation of Anti-Aging Mechanisms for ω-3 Fatty Acids
43,42,851,doi,Multi-omic rejuvenation and lifespan extension upon exposure to youthful circulation,Multi-omic rejuvenation and lifespan extension upon exposure to youthful circulation
43,42,2375,doi,Multi-omic rejuvenation and lifespan extension upon exposure to youthful circulation,Multi-omic rejuvenation and lifespan extension upon exposure to youthful circulation
44,2376,43,title_year,A multi-omics longitudinal aging dataset in primary human fibroblasts with mitochondrial perturbations,A Multi-Omics Longitudinal Aging Dataset in Primary Human Fibroblasts with Mitochondrial Perturbations
44,2376,68,doi,A multi-omics longitudinal aging dataset in primary human fibroblasts with mitochondrial perturbations,A multi-omics longitudinal aging dataset in primary human fibroblasts with mitochondrial perturbations.
44,2376,656,transitive_exact_match,A multi-omics longitudinal aging dataset in primary human fibroblasts with mitochondrial perturbations,A multi-omics longitudinal aging dataset in primary human fibroblasts with mitochondrial perturbations
44,2376,1454,transitive_exact_match,A multi-omics longitudinal aging dataset in primary human fibroblasts with mitochondrial perturbations,A multi-omics longitudinal aging dataset in primary human fibroblasts with mitochondrial perturbations.
44,2376,1990,transitive_exact_match,A multi-omics longitudinal aging dataset in primary human fibroblasts with mitochondrial perturbations,A multi-omics longitudinal aging dataset in primary human fibroblasts with mitochondrial perturbations
44,2376,3857,transitive_exact_match,A multi-omics longitudinal aging dataset in primary human fibroblasts with mitochondrial perturbations,A multi-omics longitudinal aging dataset in primary human fibroblasts with mitochondrial perturbations
45,44,648,transitive_exact_match,Integrated Multi-Omics for Novel Aging Biomarkers and Antiaging Targets.,Integrated multi-omics for novel aging biomarkers and antiaging targets.
45,44,855,doi,Integrated Multi-Omics for Novel Aging Biomarkers and Antiaging Targets.,Integrated Multi-Omics for Novel Aging Biomarkers and Antiaging Targets
45,44,1435,doi,Integrated Multi-Omics for Novel Aging Biomarkers and Antiaging Targets.,Integrated Multi-Omics for Novel Aging Biomarkers and Antiaging Targets.
45,44,1982,doi,Integrated Multi-Omics for Novel Aging Biomarkers and Antiaging Targets.,Integrated multi-omics for novel aging biomarkers and antiaging targets
45,44,2381,doi,Integrated Multi-Omics for Novel Aging Biomarkers and Antiaging Targets.,Integrated Multi-Omics for Novel Aging Biomarkers and Antiaging Targets
46,3842,45,doi,"Unveiling E2F4, TEAD1 and AP-1 as regulatory transcription factors of the replicative senescence program by multi-omics analysis","Unveiling E2F4, TEAD1 and AP-1 as regulatory transcription factors of the replicative senescence program by multi-omics analysis."
46,3842,861,transitive_exact_match,"Unveiling E2F4, TEAD1 and AP-1 as regulatory transcription factors of the replicative senescence program by multi-omics analysis","Unveiling E2F4, TEAD1 and AP-1 as regulatory transcription factors of the replicative senescence program by multi-omics analysis"
46,3842,1436,transitive_exact_match,"Unveiling E2F4, TEAD1 and AP-1 as regulatory transcription factors of the replicative senescence program by multi-omics analysis","Unveiling E2F4, TEAD1 and AP-1 as regulatory transcription factors of the replicative senescence program by multi-omics analysis."
46,3842,1986,transitive_exact_match,"Unveiling E2F4, TEAD1 and AP-1 as regulatory transcription factors of the replicative senescence program by multi-omics analysis","Unveiling E2F4, TEAD1 and AP-1 as regulatory transcription factors of the replicative senescence program by multi-omics analysis"
47,46,1437,doi,Integrative Lipidomics and Metabolomics for System-Level Understanding of the Metabolic Syndrome in Long-Term Treated HIV-Infected Individuals.,Integrative Lipidomics and Metabolomics for System-Level Understanding of the Metabolic Syndrome in Long-Term Treated HIV-Infected Individuals.
48,47,1439,doi,Integrating Environment and Aging Research: Opportunities for Synergy and Acceleration.,Integrating Environment and Aging Research: Opportunities for Synergy and Acceleration.
48,47,2396,doi,Integrating Environment and Aging Research: Opportunities for Synergy and Acceleration.,Integrating Environment and Aging Research: Opportunities for Synergy and Acceleration
49,48,866,doi,A multiomic study uncovers a bZIP23-PER1A-mediated detoxification pathway to enhance seed vigor in rice.,A multiomic study uncovers a bZIP23-PER1A–mediated detoxification pathway to enhance seed vigor in rice
49,48,1440,doi,A multiomic study uncovers a bZIP23-PER1A-mediated detoxification pathway to enhance seed vigor in rice.,A multiomic study uncovers a bZIP23-PER1A-mediated detoxification pathway to enhance seed vigor in rice.
49,48,1984,doi,A multiomic study uncovers a bZIP23-PER1A-mediated detoxification pathway to enhance seed vigor in rice.,A multiomic study uncovers a bZIP23-PER1A–mediated detoxification pathway to enhance seed vigor in rice
51,50,870,doi,Multi-omic rejuvenation of human cells by maturation phase transient reprogramming.,Multi-omic rejuvenation of human cells by maturation phase transient reprogramming
51,50,1441,doi,Multi-omic rejuvenation of human cells by maturation phase transient reprogramming.,Multi-omic rejuvenation of human cells by maturation phase transient reprogramming.
51,50,1985,doi,Multi-omic rejuvenation of human cells by maturation phase transient reprogramming.,Multi-omic rejuvenation of human cells by maturation phase transient reprogramming
52,51,1442,doi,Biotechnological interventions for improving the seed longevity in cereal crops: progress and prospects.,Biotechnological interventions for improving the seed longevity in cereal crops: progress and prospects.
53,2409,52,pmid,Physiological Systems in Promoting Frailty,Physiological Systems in Promoting Frailty.
53,2409,1443,transitive_exact_match,Physiological Systems in Promoting Frailty,Physiological Systems in Promoting Frailty.
54,875,53,doi,Multi-omics analyses of drug repurposing reveal Acebutolol and Amiloride for osteoporosis treatment,Multi-omics analyses of drug repurposing reveal Acebutolol and Amiloride for osteoporosis treatment
54,875,2415,transitive_exact_match,Multi-omics analyses of drug repurposing reveal Acebutolol and Amiloride for osteoporosis treatment,Multi-omics analyses of drug repurposing reveal Acebutolol and Amiloride for osteoporosis treatment
55,54,1444,doi,Reprogramming neurons for regeneration: The fountain of youth.,Reprogramming neurons for regeneration: The fountain of youth.
56,55,1445,doi,Nutrient-Response Pathways in Healthspan and Lifespan Regulation.,Nutrient-Response Pathways in Healthspan and Lifespan Regulation.
56,55,2413,doi,Nutrient-Response Pathways in Healthspan and Lifespan Regulation.,Nutrient-Response Pathways in Healthspan and Lifespan Regulation
57,56,2563,doi,Accelerating the clock: Interconnected speedup of energetic and molecular dynamics during aging in cultured human cells,Accelerating the clock: Interconnected speedup of energetic and molecular dynamics during aging in cultured human cells
58,2419,57,doi,A multi‐omics analysis for the prediction of neurocognitive disorders risk among the elderly in Macao,A multi-omics analysis for the prediction of neurocognitive disorders risk among the elderly in Macao.
58,2419,876,title_year,A multi‐omics analysis for the prediction of neurocognitive disorders risk among the elderly in Macao,A multi‐omics analysis for the prediction of neurocognitive disorders risk among the elderly in Macao
58,2419,1446,transitive_exact_match,A multi‐omics analysis for the prediction of neurocognitive disorders risk among the elderly in Macao,A multi-omics analysis for the prediction of neurocognitive disorders risk among the elderly in Macao.
59,878,58,doi,Network-based multi-omics integration reveals metabolic at-risk profile within treated HIV-infection,Network-based multi-omics integration reveals metabolic at-risk profile within treated HIV-infection
59,878,75,transitive_exact_match,Network-based multi-omics integration reveals metabolic at-risk profile within treated HIV-infection,Network-based multi-omics integration reveals metabolic at-risk profile within treated HIV-infection.
59,878,903,transitive_exact_match,Network-based multi-omics integration reveals metabolic at-risk profile within treated HIV-infection,Network-based multi-omics integration reveals metabolic at-risk profile within treated HIV-infection
59,878,1457,transitive_exact_match,Network-based multi-omics integration reveals metabolic at-risk profile within treated HIV-infection,Network-based multi-omics integration reveals metabolic at-risk profile within treated HIV-infection.
59,878,1994,transitive_exact_match,Network-based multi-omics integration reveals metabolic at-risk profile within treated HIV-infection,Network-based multi-omics integration reveals metabolic at-risk profile within treated HIV-infection
59,878,2438,transitive_exact_match,Network-based multi-omics integration reveals metabolic at-risk profile within treated HIV-infection,Network-based multi-omics integration reveals metabolic at-risk profile within treated HIV-infection
60,59,1447,doi,Connecting aging biology and inflammation in the omics era.,Connecting aging biology and inflammation in the omics era.
60,59,2427,doi,Connecting aging biology and inflammation in the omics era.,Connecting aging biology and inflammation in the omics era
61,2437,60,doi,Pathways Controlling Formation and Maintenance of the Osteocyte Dendrite Network,Pathways Controlling Formation and Maintenance of the Osteocyte Dendrite Network.
61,2437,1448,transitive_exact_match,Pathways Controlling Formation and Maintenance of the Osteocyte Dendrite Network,Pathways Controlling Formation and Maintenance of the Osteocyte Dendrite Network.
62,61,1449,doi,Reprograming of proteasomal degradation by branched chain amino acid metabolism.,Reprograming of proteasomal degradation by branched chain amino acid metabolism.
62,61,2439,doi,Reprograming of proteasomal degradation by branched chain amino acid metabolism.,Reprograming of proteasomal degradation by branched chain amino acid metabolism
64,63,1452,doi,Optimizing Translational Research for Exceptional Health and Life Span: A Systematic Narrative of Studies to Identify Translatable Therapeutic Target(s) for Exceptional Health Span in Humans.,Optimizing Translational Research for Exceptional Health and Life Span: A Systematic Narrative of Studies to Identify Translatable Therapeutic Target(s) for Exceptional Health Span in Humans.
64,63,2399,doi,Optimizing Translational Research for Exceptional Health and Life Span: A Systematic Narrative of Studies to Identify Translatable Therapeutic Target(s) for Exceptional Health Span in Humans.,Optimizing translational research for exceptional health and life span: A systematic narrative of studies to identify translatable therapeutic target(s) for exceptional health span in humans.
65,64,888,doi,AgingBank: a manually curated knowledgebase and high-throughput analysis platform that provides experimentally supported multi-omics data relevant to aging in multiple species.,AgingBank: a manually curated knowledgebase and high-throughput analysis platform that provides experimentally supported multi-omics data relevant to aging in multiple species
65,64,1451,doi,AgingBank: a manually curated knowledgebase and high-throughput analysis platform that provides experimentally supported multi-omics data relevant to aging in multiple species.,AgingBank: a manually curated knowledgebase and high-throughput analysis platform that provides experimentally supported multi-omics data relevant to aging in multiple species.
65,64,1988,doi,AgingBank: a manually curated knowledgebase and high-throughput analysis platform that provides experimentally supported multi-omics data relevant to aging in multiple species.,AgingBank: a manually curated knowledgebase and high-throughput analysis platform that provides experimentally supported multi-omics data relevant to aging in multiple species
65,64,2447,doi,AgingBank: a manually curated knowledgebase and high-throughput analysis platform that provides experimentally supported multi-omics data relevant to aging in multiple species.,AgingBank: a manually curated knowledgebase and high-throughput analysis platform that provides experimentally supported multi-omics data relevant to aging in multiple species
66,2448,65,title_year,OXR1 STABILIZES THE RETROMER TO EXTEND LIFESPAN AND NEURONAL HEALTH BY DIETARY RESTRICTION,OXR1 STABILIZES THE RETROMER TO EXTEND LIFESPAN AND NEURONAL HEALTH BY DIETARY RESTRICTION
67,66,891,doi,"Multi-omics analysis reveals neuroinflammation, activated glial signaling, and dysregulated synaptic signaling and metabolism in the hippocampus of aged mice.","Multi-omics analysis reveals neuroinflammation, activated glial signaling, and dysregulated synaptic signaling and metabolism in the hippocampus of aged mice"
67,66,1450,doi,"Multi-omics analysis reveals neuroinflammation, activated glial signaling, and dysregulated synaptic signaling and metabolism in the hippocampus of aged mice.","Multi-omics analysis reveals neuroinflammation, activated glial signaling, and dysregulated synaptic signaling and metabolism in the hippocampus of aged mice."
67,66,1989,doi,"Multi-omics analysis reveals neuroinflammation, activated glial signaling, and dysregulated synaptic signaling and metabolism in the hippocampus of aged mice.","Multi-omics analysis reveals neuroinflammation, activated glial signaling, and dysregulated synaptic signaling and metabolism in the hippocampus of aged mice"
67,66,2451,doi,"Multi-omics analysis reveals neuroinflammation, activated glial signaling, and dysregulated synaptic signaling and metabolism in the hippocampus of aged mice.","Multi-omics analysis reveals neuroinflammation, activated glial signaling, and dysregulated synaptic signaling and metabolism in the hippocampus of aged mice"
68,67,1453,doi,An evaluation of aging measures: from biomarkers to clocks.,An evaluation of aging measures: from biomarkers to clocks.
68,67,2454,doi,An evaluation of aging measures: from biomarkers to clocks.,An evaluation of aging measures: from biomarkers to clocks
68,67,3896,doi,An evaluation of aging measures: from biomarkers to clocks.,An evaluation of aging measures: from biomarkers to clocks
69,897,69,doi,The essential roles of FXR in diet and age influenced metabolic changes and liver disease development: a multi-omics study,The essential roles of FXR in diet and age influenced metabolic changes and liver disease development: a multi-omics study
71,899,71,doi,Multiomic Analysis of Adult Diapause in Drosophila melanogaster Identifies Hallmarks of Cellular Quiescence,Multiomic Analysis of Adult Diapause in Drosophila melanogaster Identifies Hallmarks of Cellular Quiescence
71,899,2461,transitive_exact_match,Multiomic Analysis of Adult Diapause in Drosophila melanogaster Identifies Hallmarks of Cellular Quiescence,Multiomic Analysis of Adult Diapause in Drosophila melanogaster Identifies Hallmarks of Cellular Quiescence
72,72,1455,doi,Taurine as a biomarker for aging: A new avenue for translational research.,Taurine as a biomarker for aging: A new avenue for translational research.
72,72,2542,doi,Taurine as a biomarker for aging: A new avenue for translational research.,Taurine as a biomarker for aging: A new avenue for translational research
