record_id,assistant_primary_design_family,assistant_supporting_design_families,evidence_quote,rationale
doi:10.1186/s12964-026-02985-y,direct_perturbation,genetic_instrument,"Functionally, pharmacological inhibition of caspase-8 with Z-IETD-FMK improved metabolic activity, reduced cellular senescence and MMP-13 secretion without inducing apoptosis",Pharmacological inhibition and siRNA knockdown test the mechanism directly; MR and SMR provide supporting genetic evidence.
doi:10.1186/s12967-026-07766-2,direct_perturbation,genetic_instrument,"Functionally, CXCL16 + macrophages promoted LUAD progression via TGF-β signalling, as validated in vitro and in subcutaneous and orthotopic tumour models.",Functional models test the macrophage mechanism directly and SMR supplies supporting genetic evidence.
doi:10.3390/toxics14020170,nonrandomized_intervention,direct_perturbation,"RNA interference confirmed that knockdown of these target genes abolished the size-dependent differences in fat accumulation induced by MPs.",Particle exposure provides the primary intervention contrast and RNA interference tests candidate mediators.
doi:10.64898/2026.02.01.26345311,genetic_instrument,,"Genes causally associated with habitual vigorous physical activity (VPA) were prioritised using Mendelian randomisation (MR) across proteomic, epigenomic, glycomic, and single-cell transcriptomic layers",MR is the formal causal anchor; network diffusion is downstream hypothesis propagation rather than an independent identification design.
title:oxr1 stabilizes the retromer to extend lifespan and neuronal health by dietary restriction,direct_perturbation,nonrandomized_intervention,"Neuronal knockdown of mtd also accelerates sensory decline, arguing for a specific role of mtd/OXR1 in neuroprotection.",Knockdown and rescue experiments directly test OXR1; dietary restriction is the supporting intervention context.
doi:10.1007/s40520-024-02877-6,genetic_instrument,,"we applied four different methods of Mendelian Randomization (MR) analysis: the inverse variance weighted method (IVW), the MR-Egger regression, the weighted median analysis (WMA), and the weighted mode.",MR is the formal design used to estimate microbiota-to-epigenetic-age effects.
doi:10.1101/2020.07.06.20147520,genetic_instrument,,"Mendelian randomization (MR) analyses also identified circulating proteins and metabolites causally associated with parental lifespan",MR across molecular QTL layers is the primary identification design.
doi:10.1101/2025.02.08.25321911,genetic_instrument,,"we devised a meticulous two-sample Mendelian randomization (MR) analysis",The report estimates an MR contrast even though the result is null.
doi:10.1111/jcpe.14040,genetic_instrument,formal_mediation,"Additionally, two-step MR mediation analysis explored the risk factors in biological ageing-mediated periodontitis.",MR is the primary identification design and two-step mediation is supporting analysis.
doi:10.1186/s13073-025-01558-x,genetic_instrument,,"Two-sample Mendelian randomization (MR) analyses were performed to determine the causal effect of plasma proteome on the multidimensional aging phenotypes",MR supplies the primary causal-effect design.
doi:10.1242/dmm.052935,direct_perturbation,,"Here, we examined Drosophila and mice with muscle-targeted UBA1 knockdown and found that this intervention reduces protein ubiquitination, muscle function, and lifespan.",Targeted knockdown is the primary causal perturbation.
doi:10.21203/rs.3.rs-9586760/v1,genetic_instrument,,"we applied summary data–based Mendelian randomization and proteome-wide association analyses to explore pleiotropic effects at the gene and protein levels",SMR is the named formal causal design.
doi:10.64898/2026.02.02.703301,direct_perturbation,,"Knocking down its fly orthologue, Ppat-dpck , resulted in significant lifespan extension in flies.",The fly knockdown directly tests the candidate aging mechanism.
doi:10.7150/ijbs.128631,direct_perturbation,nonrandomized_intervention,"Using GCs-specific Vdr knockout (cVKO) mice and a Vdr -knockout (VKO) human granulosa-like cell line, we demonstrate that loss of Vdr triggers GCs aging and disrupts ovarian function.",Knockout is the primary mechanistic test and supplementation provides supporting intervention evidence.
