scope,information_need,unique_to_method,doi,title
eligible_101,assigned_intervention,deterministic_docling_lexical,10.1186/s12967-026-07766-2,Multiomics analysis reveals that senescent CXCL16<sup>+</sup> macrophages promote lung adenocarcinoma progression through TGF-β signalling.
eligible_101,assigned_intervention,deterministic_docling_lexical,10.1186/s12974-025-03588-z,Profilin 1 controls a microglial cytoskeleton checkpoint to prevent senescence and premature synaptic decline.
eligible_101,assigned_intervention,deterministic_docling_lexical,10.14336/ad.2026.0356,Integrating AI and Causal Genetics to Prioritize Therapeutic Targets for Aging and Age-Related Diseases.
eligible_101,assigned_intervention,deterministic_docling_lexical,10.3389/fimmu.2026.1718849,UNC93B1 promotes pancreatic cancer progression through modulation of cGAS–STING signaling
eligible_101,assigned_intervention,deterministic_docling_lexical,10.3389/fphar.2024.1446300,CDKN1A as a target of senescence in heart failure: insights from a multiomics study
eligible_101,assigned_intervention,deterministic_docling_lexical,10.64898/2026.07.09.736798,"Senescence-associated loss of intestinal α1,2-fucose disrupts a modifiable host-microbiome homeostasis axis in people with HIV"
eligible_101,assigned_intervention,deterministic_docling_lexical,10.7554/elife.71624,Multi-omic rejuvenation of human cells by maturation phase transient reprogramming.
eligible_101,assigned_intervention,deterministic_docling_lexical,10.7936/zw5q-8j61,Investigating Biological Mechanisms of Radiation Resistance in Advanced Stage Cervical Cancer
eligible_101,assigned_intervention,neo4j_graph_text,10.1093/brain/awaf282,Compensatory roles of STT3A and ALG5 in glucose metabolism of aged macaque hippocampus.
eligible_101,assigned_intervention,neo4j_structured,10.1093/geroni/igac059.2661,OXR1 STABILIZES THE RETROMER TO EXTEND LIFESPAN AND NEURONAL HEALTH BY DIETARY RESTRICTION
eligible_101,assigned_intervention,neo4j_structured,10.1093/geroni/igae098.2630,MULTIMODEL APPROACHES IDENTIFY CONSERVED ROLE OF TRP CATABOLIC PATHWAY IN THE REGULATION OF LIFE- AND HEALTHSPAN
eligible_101,assigned_intervention,neo4j_structured,10.1186/s40364-023-00458-9,The essential roles of FXR in diet and age influenced metabolic changes and liver disease development: a multi-omics study
eligible_101,directed_or_temporal_model,deterministic_docling_lexical,10.1093/bib/bbag271,StackAge: an ensemble-based clock for precise quantification of biological age using multi-omics data
eligible_101,directed_or_temporal_model,neo4j_structured,10.1038/s43587-026-01100-7,Multiomic single-cell perturbation screens reveal critical lncRNA regulators of senescence.
eligible_101,directed_or_temporal_model,neo4j_structured,10.1172/jci.insight.154089,Metabolic reprogramming during hyperammonemia targets mitochondrial function and postmitotic senescence.
eligible_101,directed_or_temporal_model,neo4j_structured,10.1186/s40364-023-00458-9,The essential roles of FXR in diet and age influenced metabolic changes and liver disease development: a multi-omics study
eligible_101,directed_or_temporal_model,neo4j_structured,10.26599/fshw.2026.9251125,Unraveling the Key Pathways through Cordycepin Prolongs Lifespan in C. elegans by Integrating Multi-omics Approaches
eligible_101,directed_or_temporal_model,neo4j_structured,10.3892/or.2026.9080,NR4A1 mediates chemotherapy‑induced senescence via the PI3K/AKT pathway in gastric cancer cells.
eligible_101,directed_or_temporal_model,neo4j_structured,10.4081/ejtm.2026.14960,"Abstract | 009 | Lecture - FES in mice, rats and men: adaptation and recovery in aging rodent muscle"
eligible_101,formal_mediation,deterministic_docling_lexical,10.1001/jamapsychiatry.2024.1429,"Major Psychiatric Disorders, Substance Use Behaviors, and Longevity"
eligible_101,formal_mediation,deterministic_docling_lexical,10.1002/ctm2.70527,Spatiotemporal mapping reveals Ccl8hi macrophages as key drivers of testicular inflammaging
eligible_101,formal_mediation,deterministic_docling_lexical,10.1002/fsn3.71826,Protocatechuic Acid Alleviates D‐Gal‐Induced Renal Senescence and Injury in Mice by Regulating Taurine Metabolism
eligible_101,formal_mediation,deterministic_docling_lexical,10.1002/imt2.70150,Hyperoside alleviates endometrial stromal cell senescence in unexplained recurrent spontaneous abortion via DHX9‐mediated R‐loop resolution
eligible_101,formal_mediation,deterministic_docling_lexical,10.1007/s10753-026-02526-2,Inhibition of MyD88 in Tubular Epithelial Cells Alleviates the Cellular Senescence in Sepsis-Associated Acute Kidney Injury
eligible_101,formal_mediation,deterministic_docling_lexical,10.1016/j.celrep.2024.115099,The glial UDP-glycosyltransferase Ugt35b regulates longevity by maintaining lipid homeostasis in Drosophila.
eligible_101,formal_mediation,deterministic_docling_lexical,10.1016/j.exger.2025.112815,Acupuncture modulates ovarian senescence through metabolic reprogramming: A multi-omics investigation in chemotherapy - induced POF model.
eligible_101,formal_mediation,deterministic_docling_lexical,10.1016/j.jare.2026.07.047,Bioorthogonal epigenetic anchoring of heterochromatin to the nuclear lamina reverses senescence and osteoarthritis.
eligible_101,formal_mediation,deterministic_docling_lexical,10.1016/j.phymed.2025.156697,Vaccarin ameliorates osteoarthritis by suppressing the c-Jun N-terminal kinase (JNK)-serum amyloid A2 (SAA2) pathway mediating chondrocyte senescence.
eligible_101,formal_mediation,deterministic_docling_lexical,10.1038/s41392-026-02799-x,Multiomic profiling of responses to clinical and novel bisphosphonates reveals extraskeletal effects on ageing related signatures
eligible_101,formal_mediation,deterministic_docling_lexical,10.1038/s41413-025-00422-3,Sirt6 deficiency promotes senescence and age-associated intervertebral disc degeneration in mice
eligible_101,formal_mediation,deterministic_docling_lexical,10.1038/s41438-020-00420-y,Multiomics analyses unveil the involvement of microRNAs in pear fruit senescence under high- or low-temperature conditions
eligible_101,formal_mediation,deterministic_docling_lexical,10.1038/s41467-021-23545-7,Restoration of energy homeostasis by SIRT6 extends healthy lifespan
eligible_101,formal_mediation,deterministic_docling_lexical,10.1038/s41467-023-37729-w,Multi-omic underpinnings of epigenetic aging and human longevity
eligible_101,formal_mediation,deterministic_docling_lexical,10.1038/s41536-026-00490-x,Multi-omics profiling reveals systemic rejuvenation of the aged kidney through senolytic therapy.
eligible_101,formal_mediation,deterministic_docling_lexical,10.1038/s41598-025-17390-7,Aqueous extract of Acer truncatum leaves retards Drosophila melanogaster senescence by regulating amino acid metabolism and gut microbiota
eligible_101,formal_mediation,deterministic_docling_lexical,10.1038/s42003-025-08296-1,NHE7 drives endometrial cancer progression by delaying senescence through cAMP/CREB/GRIN2B axis-mediated Ca²⁺ influx
eligible_101,formal_mediation,deterministic_docling_lexical,10.1038/s43587-023-00460-8,Impaired BCAA catabolism in adipose tissues promotes age-associated metabolic derangement.
eligible_101,formal_mediation,deterministic_docling_lexical,10.1080/15548627.2025.2561073,Urolithin Α modulates inter-organellar communication via calcium-dependent mitophagy to promote healthy ageing
eligible_101,formal_mediation,deterministic_docling_lexical,10.1093/plphys/kiaa034,Multi-omics approach reveals the contribution of KLU to leaf longevity and drought tolerance.
eligible_101,formal_mediation,deterministic_docling_lexical,10.1101/2025.06.19.660635,Downregulation of LATS1/2 Drives Endothelial Senescence-Associated Stemness (SAS) and Atherothrombotic Lesion Formation
eligible_101,formal_mediation,deterministic_docling_lexical,10.1111/acel.13497,A trans-omic Mendelian randomization study of parental lifespan uncovers novel aging biology and therapeutic candidates for chronic diseases.
eligible_101,formal_mediation,deterministic_docling_lexical,10.1111/acel.13852,Dysregulated cellular redox status during hyperammonemia causes mitochondrial dysfunction and senescence by inhibiting sirtuin‐mediated deacetylation
eligible_101,formal_mediation,deterministic_docling_lexical,10.1111/acel.70328,Multi-Omics Analysis Reveals Photodynamic Therapy Ameliorating Skin Photoaging by Improving Cellular Senescence Through Mitohormesis-Mediated Reduction of Citrate Content.
eligible_101,formal_mediation,deterministic_docling_lexical,10.1126/sciadv.adu2294,Multiomic identification of senescent stem cell populations critical for osteoarthritis progression and therapy in subchondral bones.
eligible_101,formal_mediation,deterministic_docling_lexical,10.1128/msystems.01665-24,Microbiota-derived indole acetic acid extends lifespan through the AhR-Sirt2 pathway in Drosophila
eligible_101,formal_mediation,deterministic_docling_lexical,10.1161/circresaha.125.327427,LATS1/2-CD38 Metabolic Rewiring Links Senescence to Intraplaque Thrombosis.
eligible_101,formal_mediation,deterministic_docling_lexical,10.1186/s11658-026-00879-y,HK2-driven histone H3K18 lactylation promotes stromal cell senescence and decidualization deficiency in URSA via CUX1-mediated SASP factor transcription
eligible_101,formal_mediation,deterministic_docling_lexical,10.1186/s12964-026-02985-y,"Multi-omics and experimental evidence in human chondrocytes identify caspase-8 as a non-apoptotic regulator of inflammatory, senescent, and fibrotic signaling in osteoarthritis"
eligible_101,formal_mediation,deterministic_docling_lexical,10.1186/s12974-025-03588-z,Profilin 1 controls a microglial cytoskeleton checkpoint to prevent senescence and premature synaptic decline.
eligible_101,formal_mediation,deterministic_docling_lexical,10.1186/s13020-025-01154-6,Multi-omics reveals mechanism of Qi-Po-Sheng-Mai granule in reducing atrial fibrillation susceptibility in aged rats.
eligible_101,formal_mediation,deterministic_docling_lexical,10.14336/ad.2026.0356,Integrating AI and Causal Genetics to Prioritize Therapeutic Targets for Aging and Age-Related Diseases.
eligible_101,formal_mediation,deterministic_docling_lexical,10.20892/j.issn.2095-3941.2025.0691,Integrative multi-omic analysis identified ERBB2 mutations and senescence-driven immune suppression as dual therapeutic targets in LAR triple-negative breast cancer
eligible_101,formal_mediation,deterministic_docling_lexical,10.21203/rs.3.rs-1264931/v1,Multi-omics analysis reveals a non-canonical regulatory pattern of UPL3 on carbon metabolism related cell senescence
eligible_101,formal_mediation,deterministic_docling_lexical,10.2147/jir.s525168,Multi-Omics Analysis and Validation of Cell Senescence-Related Genes Associated with Non-Alcoholic Fatty Liver Disease
eligible_101,formal_mediation,deterministic_docling_lexical,10.2147/jir.s545622,Retinoic Acid-Loaded Cartilage Organoids Attenuate Chondrocyte Senescence in Osteoarthritis
eligible_101,formal_mediation,deterministic_docling_lexical,10.26508/lsa.202201492,Ubiquitome profiling reveals a regulatory pattern of UPL3 with UBP12 on metabolic-leaf senescence
eligible_101,formal_mediation,deterministic_docling_lexical,10.26599/fshw.2026.9251125,Unraveling the Key Pathways through Cordycepin Prolongs Lifespan in C. elegans by Integrating Multi-omics Approaches
eligible_101,formal_mediation,deterministic_docling_lexical,10.3389/fendo.2025.1661666,Investigating the causal role of cellular senescence-related genes in preeclampsia: a multi-omics Mendelian randomization study with differential expression analysis
eligible_101,formal_mediation,deterministic_docling_lexical,10.3389/fimmu.2026.1762222,Machine learning-driven multi-omics integration uncovers a senescence associated molecular axis in HCC.
eligible_101,formal_mediation,deterministic_docling_lexical,10.3390/microorganisms13061379,Exercise Remodels Akkermansia-Associated Eicosanoid Metabolism to Alleviate Intestinal Senescence: Multi-Omics Insights.
eligible_101,formal_mediation,deterministic_docling_lexical,10.3892/or.2026.9080,NR4A1 mediates chemotherapy‑induced senescence via the PI3K/AKT pathway in gastric cancer cells.
eligible_101,formal_mediation,deterministic_docling_lexical,10.4081/ejtm.2026.14960,"Abstract | 009 | Lecture - FES in mice, rats and men: adaptation and recovery in aging rodent muscle"
eligible_101,formal_mediation,deterministic_docling_lexical,10.7150/ijbs.129636,DHCR24 Deficiency Drives Age-Related Meibomian Gland Dysfunction by Regulating Lipid Metabolic Imbalance and Cytosolic mtDNA-Induced cGAS-STING Activation.
eligible_101,formal_mediation,neo4j_graph_text,10.1038/s41467-024-46037-w,Reducing the metabolic burden of rRNA synthesis promotes healthy longevity in Caenorhabditis elegans
eligible_101,formal_mediation,neo4j_graph_text,10.1093/geroni/igae098.2630,MULTIMODEL APPROACHES IDENTIFY CONSERVED ROLE OF TRP CATABOLIC PATHWAY IN THE REGULATION OF LIFE- AND HEALTHSPAN
eligible_101,genetic_instrument,deterministic_docling_lexical,10.3389/fimmu.2026.1718849,UNC93B1 promotes pancreatic cancer progression through modulation of cGAS–STING signaling
eligible_101,genetic_instrument,deterministic_docling_lexical,10.3390/microorganisms13061379,Exercise Remodels Akkermansia-Associated Eicosanoid Metabolism to Alleviate Intestinal Senescence: Multi-Omics Insights.
eligible_101,genetic_instrument,neo4j_structured,10.1093/geroni/igac059.2661,OXR1 STABILIZES THE RETROMER TO EXTEND LIFESPAN AND NEURONAL HEALTH BY DIETARY RESTRICTION
eligible_101,targeted_perturbation,deterministic_docling_lexical,10.1002/ctm2.70527,Spatiotemporal mapping reveals Ccl8hi macrophages as key drivers of testicular inflammaging
eligible_101,targeted_perturbation,deterministic_docling_lexical,10.1016/j.exger.2025.112815,Acupuncture modulates ovarian senescence through metabolic reprogramming: A multi-omics investigation in chemotherapy - induced POF model.
eligible_101,targeted_perturbation,deterministic_docling_lexical,10.1016/j.jhazmat.2026.142949,Gestational exposure to PP-NPs promotes premature placental ageing through global reprogramming of the trophoblast phosphoproteome
eligible_101,targeted_perturbation,deterministic_docling_lexical,10.1016/j.jot.2025.05.010,Activation of LAMP1-mediated lipophagy by sulforaphane inhibits cellular senescence and intervertebral disc degeneration
eligible_101,targeted_perturbation,deterministic_docling_lexical,10.1016/j.phymed.2025.156697,Vaccarin ameliorates osteoarthritis by suppressing the c-Jun N-terminal kinase (JNK)-serum amyloid A2 (SAA2) pathway mediating chondrocyte senescence.
eligible_101,targeted_perturbation,deterministic_docling_lexical,10.1038/s41467-023-37729-w,Multi-omic underpinnings of epigenetic aging and human longevity
eligible_101,targeted_perturbation,deterministic_docling_lexical,10.1038/s41536-026-00490-x,Multi-omics profiling reveals systemic rejuvenation of the aged kidney through senolytic therapy.
eligible_101,targeted_perturbation,deterministic_docling_lexical,10.1038/s41586-025-09873-4,Transient hepatic reconstitution of trophic factors enhances aged immunity
eligible_101,targeted_perturbation,deterministic_docling_lexical,10.1038/s42003-025-08296-1,NHE7 drives endometrial cancer progression by delaying senescence through cAMP/CREB/GRIN2B axis-mediated Ca²⁺ influx
eligible_101,targeted_perturbation,deterministic_docling_lexical,10.1038/s43587-023-00451-9,Multi-omic rejuvenation and lifespan extension upon exposure to youthful circulation
eligible_101,targeted_perturbation,deterministic_docling_lexical,10.1111/acel.13497,A trans-omic Mendelian randomization study of parental lifespan uncovers novel aging biology and therapeutic candidates for chronic diseases.
eligible_101,targeted_perturbation,deterministic_docling_lexical,10.1126/sciadv.adu2294,Multiomic identification of senescent stem cell populations critical for osteoarthritis progression and therapy in subchondral bones.
eligible_101,targeted_perturbation,deterministic_docling_lexical,10.1186/s13020-025-01154-6,Multi-omics reveals mechanism of Qi-Po-Sheng-Mai granule in reducing atrial fibrillation susceptibility in aged rats.
eligible_101,targeted_perturbation,deterministic_docling_lexical,10.14336/ad.2026.0356,Integrating AI and Causal Genetics to Prioritize Therapeutic Targets for Aging and Age-Related Diseases.
eligible_101,targeted_perturbation,deterministic_docling_lexical,10.2147/jir.s525168,Multi-Omics Analysis and Validation of Cell Senescence-Related Genes Associated with Non-Alcoholic Fatty Liver Disease
eligible_101,targeted_perturbation,deterministic_docling_lexical,10.3389/fendo.2025.1661666,Investigating the causal role of cellular senescence-related genes in preeclampsia: a multi-omics Mendelian randomization study with differential expression analysis
eligible_101,targeted_perturbation,deterministic_docling_lexical,10.3390/plants14152388,Integrated Transcriptomic and Metabolomic Analysis Reveals Nitrogen-Mediated Delay of Premature Leaf Senescence in Red Raspberry Leaves
eligible_101,targeted_perturbation,deterministic_docling_lexical,10.7936/zw5q-8j61,Investigating Biological Mechanisms of Radiation Resistance in Advanced Stage Cervical Cancer
eligible_101,targeted_perturbation,neo4j_structured,10.1002/advs.202514269,Gut-Metabolome-Proteome Interactions in Age-Related Hearing Loss: Insights from Fecal Microbiota Transplantation and Multi-Omics Analyses.
eligible_101,targeted_perturbation,neo4j_structured,10.1038/s42255-026-01515-x,Redox rhythms promote fitness by modulating ageing-dependent reprogramming.
eligible_101,targeted_perturbation,neo4j_structured,10.1093/geroni/igad104.1942,BIOLOGICAL AGE REDUCTION AND LIFESPAN EXTENSION UPON YOUTHFUL CIRCULATION EXPOSURE
eligible_101,targeted_perturbation,neo4j_structured,10.1111/acel.70064,Aged Gut Microbiota Contributes to Cognitive Impairment and Hippocampal Synapse Loss in Mice
eligible_101,targeted_perturbation,neo4j_structured,10.1111/acel.70328,Multi-Omics Analysis Reveals Photodynamic Therapy Ameliorating Skin Photoaging by Improving Cellular Senescence Through Mitohormesis-Mediated Reduction of Citrate Content.
eligible_101,targeted_perturbation,neo4j_structured,10.2147/jir.s545622,Retinoic Acid-Loaded Cartilage Organoids Attenuate Chondrocyte Senescence in Osteoarthritis
historical_30,assigned_intervention,deterministic_docling_lexical,10.1016/j.cels.2021.09.005,Multiomic profiling of the liver across diets and age in a diverse mouse population.
historical_30,assigned_intervention,legacy_llm_candidate_text,10.26508/lsa.202201492,Ubiquitome profiling reveals a regulatory pattern of UPL3 with UBP12 on metabolic-leaf senescence
historical_30,assigned_intervention,neo4j_structured,10.1093/geroni/igae098.2630,MULTIMODEL APPROACHES IDENTIFY CONSERVED ROLE OF TRP CATABOLIC PATHWAY IN THE REGULATION OF LIFE- AND HEALTHSPAN
historical_30,directed_or_temporal_model,deterministic_docling_lexical,10.1093/bib/bbag271,StackAge: an ensemble-based clock for precise quantification of biological age using multi-omics data
historical_30,directed_or_temporal_model,neo4j_structured,10.1038/s43587-026-01100-7,Multiomic single-cell perturbation screens reveal critical lncRNA regulators of senescence.
historical_30,directed_or_temporal_model,neo4j_structured,10.26599/fshw.2026.9251125,Unraveling the Key Pathways through Cordycepin Prolongs Lifespan in C. elegans by Integrating Multi-omics Approaches
historical_30,formal_mediation,deterministic_docling_lexical,10.1001/jamapsychiatry.2024.1429,"Major Psychiatric Disorders, Substance Use Behaviors, and Longevity"
historical_30,formal_mediation,legacy_llm_candidate_text,10.1002/advs.202521633,The Age-Dependent Resident Myonuclear Multi-Omic Response to an Acute Skeletal Muscle Hypertrophic Stimulus in Mice.
historical_30,formal_mediation,legacy_llm_candidate_text,10.1111/acel.70064,Aged Gut Microbiota Contributes to Cognitive Impairment and Hippocampal Synapse Loss in Mice
historical_30,formal_mediation,legacy_llm_candidate_text,10.7936/zw5q-8j61,Investigating Biological Mechanisms of Radiation Resistance in Advanced Stage Cervical Cancer
historical_30,formal_mediation,neo4j_graph_text,10.1038/s41467-024-46037-w,Reducing the metabolic burden of rRNA synthesis promotes healthy longevity in Caenorhabditis elegans
historical_30,formal_mediation,neo4j_graph_text,10.1093/geroni/igae098.2630,MULTIMODEL APPROACHES IDENTIFY CONSERVED ROLE OF TRP CATABOLIC PATHWAY IN THE REGULATION OF LIFE- AND HEALTHSPAN
historical_30,targeted_perturbation,deterministic_docling_lexical,10.1038/s41467-023-37729-w,Multi-omic underpinnings of epigenetic aging and human longevity
historical_30,targeted_perturbation,deterministic_docling_lexical,10.1038/s41536-026-00490-x,Multi-omics profiling reveals systemic rejuvenation of the aged kidney through senolytic therapy.
historical_30,targeted_perturbation,deterministic_docling_lexical,10.1111/acel.13497,A trans-omic Mendelian randomization study of parental lifespan uncovers novel aging biology and therapeutic candidates for chronic diseases.
historical_30,targeted_perturbation,neo4j_structured,10.1111/acel.70064,Aged Gut Microbiota Contributes to Cognitive Impairment and Hippocampal Synapse Loss in Mice
