scope,information_need,method_a,method_b,reports_a,reports_b,intersection,union,jaccard,a_only,b_only
historical_30,directed_or_temporal_model,neo4j_graph_text,legacy_llm_candidate_text,0,1,0,1,0.000000,0,1
historical_30,directed_or_temporal_model,neo4j_structured,deterministic_docling_lexical,4,3,2,5,0.400000,2,1
historical_30,directed_or_temporal_model,neo4j_structured,legacy_llm_candidate_text,4,1,1,4,0.250000,3,0
historical_30,directed_or_temporal_model,neo4j_structured,neo4j_graph_text,4,0,0,4,0.000000,4,0
historical_30,formal_mediation,deterministic_docling_lexical,legacy_llm_candidate_text,18,20,17,21,0.809524,1,3
historical_30,formal_mediation,neo4j_graph_text,deterministic_docling_lexical,7,18,5,20,0.250000,2,13
historical_30,formal_mediation,neo4j_graph_text,legacy_llm_candidate_text,7,20,5,22,0.227273,2,15
historical_30,formal_mediation,neo4j_structured,deterministic_docling_lexical,5,18,5,18,0.277778,0,13
historical_30,formal_mediation,neo4j_structured,legacy_llm_candidate_text,5,20,5,20,0.250000,0,15
historical_30,formal_mediation,neo4j_structured,neo4j_graph_text,5,7,4,8,0.500000,1,3
historical_30,genetic_instrument,deterministic_docling_lexical,legacy_llm_candidate_text,6,6,6,6,1.000000,0,0
historical_30,genetic_instrument,neo4j_graph_text,deterministic_docling_lexical,6,6,6,6,1.000000,0,0
historical_30,genetic_instrument,neo4j_graph_text,legacy_llm_candidate_text,6,6,6,6,1.000000,0,0
historical_30,genetic_instrument,neo4j_structured,deterministic_docling_lexical,5,6,5,6,0.833333,0,1
historical_30,genetic_instrument,neo4j_structured,legacy_llm_candidate_text,5,6,5,6,0.833333,0,1
historical_30,genetic_instrument,neo4j_structured,neo4j_graph_text,5,6,5,6,0.833333,0,1
historical_30,targeted_perturbation,deterministic_docling_lexical,legacy_llm_candidate_text,23,18,18,23,0.782609,5,0
historical_30,targeted_perturbation,neo4j_graph_text,deterministic_docling_lexical,13,23,13,23,0.565217,0,10
historical_30,targeted_perturbation,neo4j_graph_text,legacy_llm_candidate_text,13,18,11,20,0.550000,2,7
historical_30,targeted_perturbation,neo4j_structured,deterministic_docling_lexical,14,23,13,24,0.541667,1,10
historical_30,targeted_perturbation,neo4j_structured,legacy_llm_candidate_text,14,18,12,20,0.600000,2,6
historical_30,targeted_perturbation,neo4j_structured,neo4j_graph_text,14,13,11,16,0.687500,3,2
