checkpoint,doi,title,legacy_frozen_candidates,neo4j_causal_analysis_nodes,legacy_to_graph_count_ratio,legacy_discovery_grounding_failures,legacy_discovery_technical_failures,legacy_inventory_path
A,10.1111/acel.70103,Multi-Omics Analysis Reveals Biomarkers That Contribute to Biological Age Rejuvenation in Response to Single-Blinded Randomized Placebo-Controlled Therapeutic Plasma Exchange.,313,1,313.000,4,0,data/causal_extraction/v0.1.1-rc1/checkpoint_A_15_run1/frozen_candidates/doi_23b791406911bbd7/candidate_inventory.json
A,10.1111/acel.70498,Multi-Omics Reveals Mechanisms of Metabolic Rejuvenation in Aged Mice and Pre-Frail Older Men by Losartan.,21,3,7.000,4,0,data/causal_extraction/v0.1.1-rc1/checkpoint_A_15_run1/frozen_candidates/doi_c94b578c4f19a44d/candidate_inventory.json
A,10.1128/msystems.01665-24,Microbiota-derived indole acetic acid extends lifespan through the AhR-Sirt2 pathway in Drosophila,73,4,18.250,2,0,data/causal_extraction/v0.1.1-rc1/checkpoint_A_15_run1/frozen_candidates/doi_c3e25e42195e076b/candidate_inventory.json
A,10.1186/s12964-026-02985-y,"Multi-omics and experimental evidence in human chondrocytes identify caspase-8 as a non-apoptotic regulator of inflammatory, senescent, and fibrotic signaling in osteoarthritis",168,5,33.600,3,0,data/causal_extraction/v0.1.1-rc1/checkpoint_A_15_run1/frozen_candidates/doi_9eec505bb5091c11/candidate_inventory.json
A,10.26599/fshw.2026.9251125,Unraveling the Key Pathways through Cordycepin Prolongs Lifespan in C. elegans by Integrating Multi-omics Approaches,110,4,27.500,2,0,data/causal_extraction/v0.1.1-rc1/checkpoint_A_15_run1/frozen_candidates/doi_c9d1be7c453392ef/candidate_inventory.json
B,10.1002/advs.202521633,The Age-Dependent Resident Myonuclear Multi-Omic Response to an Acute Skeletal Muscle Hypertrophic Stimulus in Mice.,94,2,47.000,1,0,data/causal_extraction/v0.1.1-rc1/checkpoint_B_15_run1/frozen_candidates/doi_e58973540cb0858a/candidate_inventory.json
B,10.1002/fsn3.71826,Protocatechuic Acid Alleviates D‐Gal‐Induced Renal Senescence and Injury in Mice by Regulating Taurine Metabolism,77,1,77.000,2,0,data/causal_extraction/v0.1.1-rc1/checkpoint_B_15_run1/frozen_candidates/doi_0fdf1fe178e02028/candidate_inventory.json
B,10.1002/imt2.70150,Hyperoside alleviates endometrial stromal cell senescence in unexplained recurrent spontaneous abortion via DHX9‐mediated R‐loop resolution,171,3,57.000,1,0,data/causal_extraction/v0.1.1-rc1/checkpoint_B_15_run1/frozen_candidates/doi_532149ab73857cb9/candidate_inventory.json
B,10.1016/j.jhazmat.2026.142949,Gestational exposure to PP-NPs promotes premature placental ageing through global reprogramming of the trophoblast phosphoproteome,109,3,36.333,9,0,data/causal_extraction/v0.1.1-rc1/checkpoint_B_15_run1/frozen_candidates/doi_882aca60005956c9/candidate_inventory.json
B,10.1016/j.jot.2025.05.010,Activation of LAMP1-mediated lipophagy by sulforaphane inhibits cellular senescence and intervertebral disc degeneration,38,4,9.500,5,0,data/causal_extraction/v0.1.1-rc1/checkpoint_B_15_run1/frozen_candidates/doi_884c15a783634c31/candidate_inventory.json
B,10.1016/j.phymed.2025.156697,Vaccarin ameliorates osteoarthritis by suppressing the c-Jun N-terminal kinase (JNK)-serum amyloid A2 (SAA2) pathway mediating chondrocyte senescence.,89,5,17.800,6,0,data/causal_extraction/v0.1.1-rc1/checkpoint_B_15_run1/frozen_candidates/doi_7624588d3676bfc5/candidate_inventory.json
B,10.1016/j.ymthe.2025.12.035,Targeting KAT8 Alleviates Vascular Senescence by Modulating the INHBA/TGF-β Pathway.,142,5,28.400,0,0,data/causal_extraction/v0.1.1-rc1/checkpoint_B_15_run1/frozen_candidates/doi_a5ca885d7050ff94/candidate_inventory.json
B,10.1038/s41392-026-02799-x,Multiomic profiling of responses to clinical and novel bisphosphonates reveals extraskeletal effects on ageing related signatures,118,4,29.500,0,0,data/causal_extraction/v0.1.1-rc1/checkpoint_B_15_run1/frozen_candidates/doi_a4bbea2e07b0c1db/candidate_inventory.json
B,10.1038/s41467-024-46037-w,Reducing the metabolic burden of rRNA synthesis promotes healthy longevity in Caenorhabditis elegans,148,6,24.667,3,0,data/causal_extraction/v0.1.1-rc1/checkpoint_B_15_run1/frozen_candidates/doi_5b5f58258cf21217/candidate_inventory.json
B,10.1038/s41586-026-10524-5,Sleep chart of biological ageing clocks in middle and late life,48,3,16.000,0,0,data/causal_extraction/v0.1.1-rc1/checkpoint_B_15_run1/frozen_candidates/doi_24417aa331840447/candidate_inventory.json
B,10.1093/geroni/igae098.2630,MULTIMODEL APPROACHES IDENTIFY CONSERVED ROLE OF TRP CATABOLIC PATHWAY IN THE REGULATION OF LIFE- AND HEALTHSPAN,13,2,6.500,2,0,data/causal_extraction/v0.1.1-rc1/checkpoint_B_15_run1/frozen_candidates/doi_5cbb907c49d1a9a4/candidate_inventory.json
B,10.1111/acel.13497,A trans-omic Mendelian randomization study of parental lifespan uncovers novel aging biology and therapeutic candidates for chronic diseases.,69,5,13.800,4,0,data/causal_extraction/v0.1.1-rc1/checkpoint_B_15_run1/frozen_candidates/doi_3235f5ac26693f37/candidate_inventory.json
B,10.1111/acel.70564,Sex-Specific Regulation of the Turandot Gene Family Modulates Temperature-Dependent Lifespan in Drosophila melanogaster.,58,4,14.500,2,0,data/causal_extraction/v0.1.1-rc1/checkpoint_B_15_run1/frozen_candidates/doi_7dcaf0c9d1fcc1f3/candidate_inventory.json
B,10.26508/lsa.202201492,Ubiquitome profiling reveals a regulatory pattern of UPL3 with UBP12 on metabolic-leaf senescence,174,3,58.000,1,0,data/causal_extraction/v0.1.1-rc1/checkpoint_B_15_run1/frozen_candidates/doi_e8e389549079ffc8/candidate_inventory.json
B,10.7936/zw5q-8j61,Investigating Biological Mechanisms of Radiation Resistance in Advanced Stage Cervical Cancer,193,3,64.333,0,0,data/causal_extraction/v0.1.1-rc1/checkpoint_B_15_run1/frozen_candidates/record_e4b0b5520a4d2e2c/candidate_inventory.json
