record_id,arm,valid_five_runs,scope_all_tracked_exact,causal_role_required,causal_all_tracked_exact,causal_routing_fields_exact,all_tracked_fields_exact,decision_driving_fields_exact,single_repeat_route_exact,final_decision,final_exclusion_code,retry_success_count
doi:10.1093/hmg/ddu739,T+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1093/nar/gks1155,T+C,True,True,False,False,False,True,True,True,exclude,EC1,0
doi:10.1093/qjmed/hcaf108,T+C,True,True,True,True,True,True,True,True,seek_full_text,none,1
doi:10.1101/2023.07.04.547622,T+C,True,True,True,True,True,True,True,True,seek_full_text,none,0
doi:10.1101/2025.09.18.677241,T+C,True,True,False,True,True,True,True,True,exclude,EC4,0
doi:10.1101/2025.10.10.25337775,T+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1101/2025.11.25.690439,T+C,True,True,False,False,False,True,True,True,exclude,EC3,0
doi:10.1101/2025.11.26.25341007,T+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1111/acel.70103,T+C,True,True,True,True,True,True,True,True,seek_full_text,none,0
doi:10.1111/acel.70351,T+C,True,True,False,True,True,True,True,True,exclude,EC1,0
doi:10.1161/hypertensionaha.123.19943,T+C,True,True,False,False,False,True,True,True,exclude,EC1,0
doi:10.1172/jci196094,T+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1186/s12967-026-08334-4,T+C,True,True,False,True,True,True,True,True,exclude,EC1,2
doi:10.1186/s13073-026-01608-y,T+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1186/s40001-026-04887-8,T+C,True,True,False,False,False,True,True,True,exclude,EC1,0
doi:10.1186/s43162-026-00676-1,T+C,True,True,False,False,False,True,True,True,exclude,EC1,0
doi:10.1186/s44365-026-00039-5,T+C,True,True,False,True,True,True,True,True,exclude,EC1,0
doi:10.1210/jc.2014-2222,T+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.3233/jad-170020,T+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.3389/fncel.2014.00084,T+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.3389/fpsyt.2023.1182536,T+C,True,True,False,True,True,True,True,True,exclude,EC1,0
doi:10.3390/biology15060504,T+C,True,True,False,True,True,True,True,True,exclude,EC4,1
doi:10.3390/clinpract15120233,T+C,True,True,False,False,False,True,True,True,exclude,EC1,0
doi:10.3390/diseases14030085,T+C,True,True,False,False,False,True,True,True,exclude,EC1,0
doi:10.3390/ijms262411941,T+C,True,True,False,True,True,True,True,True,exclude,EC1,0
doi:10.3390/microorganisms13010161,T+C,True,True,False,True,True,True,True,True,exclude,EC1,0
doi:10.3390/nu18030434,T+C,True,True,False,False,True,True,True,True,exclude,EC3,0
doi:10.52340/gs.2025.07.01.26,T+C,True,True,False,True,True,True,True,True,exclude,EC1,0
doi:10.7150/thno.62302,T+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1002/cncr.29194,R+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1007/s00251-026-01409-y,R+C,True,True,False,True,True,True,True,True,exclude,EC1,0
doi:10.1007/s00335-026-10256-x,R+C,True,True,False,True,True,True,True,True,exclude,EC3,1
doi:10.1007/s00592-026-02754-w,R+C,True,True,False,False,False,True,True,True,exclude,EC1,0
doi:10.1007/s11033-026-12107-z,R+C,True,True,False,True,True,True,True,True,exclude,EC1,0
doi:10.1007/s11033-026-12182-2,R+C,True,True,False,True,True,True,True,True,exclude,EC1,0
doi:10.1007/s11033-026-12250-7,R+C,True,True,False,True,True,True,True,True,exclude,EC1,0
doi:10.1007/s11427-025-3206-7,R+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1007/s12015-026-11119-3,R+C,True,True,False,True,True,True,True,True,exclude,EC1,0
doi:10.1007/s12033-025-01416-6,R+C,True,True,True,True,True,True,True,True,seek_full_text,none,0
doi:10.1007/s13205-026-04966-x,R+C,True,True,False,True,True,True,True,True,exclude,EC1,0
doi:10.1016/j.bbr.2026.116404,R+C,True,True,False,True,True,True,True,True,exclude,EC1,0
doi:10.1016/j.ccell.2024.09.002,R+C,True,True,True,True,True,True,True,True,seek_full_text,none,0
doi:10.1016/j.cels.2022.06.006,R+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1016/j.coi.2019.02.005,R+C,True,True,False,False,False,True,True,True,exclude,EC1,0
doi:10.1016/j.ijbiomac.2025.149976,R+C,True,True,True,True,True,True,True,True,seek_full_text,none,0
doi:10.1016/j.xcrm.2026.102797,R+C,True,True,False,False,False,True,True,True,exclude,EC3,0
doi:10.1017/s1041610210001067,R+C,True,False,False,True,True,False,False,False,seek_full_text,none,2
doi:10.1038/s41467-022-31085-x,R+C,True,True,False,True,True,True,True,True,exclude,EC3,1
doi:10.1038/s41467-026-75605-5,R+C,True,True,False,False,False,True,True,True,exclude,EC3,0
doi:10.1038/s41568-026-00935-x,R+C,True,True,False,True,True,True,True,True,exclude,EC1,0
doi:10.1038/s41574-026-01265-6,R+C,True,True,False,True,True,True,True,True,exclude,EC1,0
doi:10.1038/s41588-026-02639-2,R+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1038/s41593-022-01031-7,R+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1038/s41598-017-15755-1,R+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1039/d5fo05425g,R+C,True,True,False,True,True,True,True,True,exclude,EC3,1
doi:10.1053/j.gastro.2024.12.031,R+C,True,True,False,True,True,True,True,True,exclude,EC3,1
doi:10.1056/nejmoa2106516,R+C,True,True,False,False,False,True,True,True,exclude,EC3,0
doi:10.1080/19490976.2023.2282790,R+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1080/2162402x.2018.1490854,R+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1080/29933935.2025.2605879,R+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1093/hmg/ddu739,R+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1093/nar/gks1155,R+C,True,True,False,False,False,True,True,True,exclude,EC1,0
doi:10.1093/qjmed/hcaf108,R+C,True,True,True,True,True,True,True,True,seek_full_text,none,1
doi:10.1101/2023.07.04.547622,R+C,True,True,True,True,True,True,True,True,seek_full_text,none,0
doi:10.1101/2025.09.18.677241,R+C,True,True,False,True,True,True,True,True,exclude,EC4,0
doi:10.1101/2025.10.10.25337775,R+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1101/2025.11.25.690439,R+C,True,True,False,False,False,True,True,True,exclude,EC3,0
doi:10.1101/2025.11.26.25341007,R+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1111/acel.70103,R+C,True,True,True,True,True,True,True,True,seek_full_text,none,0
doi:10.1111/acel.70351,R+C,True,True,False,True,True,True,True,True,exclude,EC1,0
doi:10.1161/hypertensionaha.123.19943,R+C,True,True,False,False,False,True,True,True,exclude,EC1,0
doi:10.1172/jci196094,R+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1186/s12967-026-08334-4,R+C,True,True,False,True,True,True,True,True,exclude,EC1,2
doi:10.1186/s13073-026-01608-y,R+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1186/s40001-026-04887-8,R+C,True,True,False,False,False,True,True,True,exclude,EC1,1
doi:10.1186/s43162-026-00676-1,R+C,True,True,False,False,False,True,True,True,exclude,EC1,0
doi:10.1186/s44365-026-00039-5,R+C,True,True,False,True,True,True,True,True,exclude,EC1,0
doi:10.1210/jc.2014-2222,R+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.3233/jad-170020,R+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.3389/fncel.2014.00084,R+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.3389/fpsyt.2023.1182536,R+C,True,True,False,True,True,True,True,True,exclude,EC1,0
doi:10.3390/biology15060504,R+C,True,True,False,True,True,True,True,True,exclude,EC4,1
doi:10.3390/clinpract15120233,R+C,True,False,False,False,False,False,False,True,seek_full_text,none,0
doi:10.3390/diseases14030085,R+C,True,True,False,False,False,True,True,True,exclude,EC1,0
doi:10.3390/ijms262411941,R+C,True,True,False,True,True,True,True,True,exclude,EC1,0
doi:10.3390/microorganisms13010161,R+C,True,True,False,True,True,True,True,True,exclude,EC1,0
doi:10.3390/nu18030434,R+C,True,True,False,False,True,True,True,True,exclude,EC3,0
doi:10.52340/gs.2025.07.01.26,R+C,True,False,False,True,True,False,False,True,seek_full_text,none,0
doi:10.7150/thno.62302,R+C,True,True,False,True,True,True,True,True,exclude,EC3,0
