record_id,doi,title,year,source,design_anchor,pmid,pmcid,is_preprint
doi:10.1016/j.jot.2025.05.010,10.1016/j.jot.2025.05.010,Activation of LAMP1-mediated lipophagy by sulforaphane inhibits cellular senescence and intervertebral disc degeneration,2025,openalex,direct_perturbation,,,false
doi:10.1016/j.mcpro.2024.100882,10.1016/j.mcpro.2024.100882,Single-Cell Multi-Omics Analysis of In Vitro Post-Ovulatory–Aged Oocytes Revealed Aging-Dependent Protein Degradation,2024,semantic_scholar,direct_perturbation,39571909,11728983,false
doi:10.1016/j.phymed.2025.156697,10.1016/j.phymed.2025.156697,Vaccarin ameliorates osteoarthritis by suppressing the c-Jun N-terminal kinase (JNK)-serum amyloid A2 (SAA2) pathway mediating chondrocyte senescence.,2025,semantic_scholar,direct_perturbation,40215820,,false
doi:10.1016/j.phymed.2026.158628,10.1016/j.phymed.2026.158628,Poricoic acid a ameliorates ulcerative colitis via AMPK/PPARγ pathway-dependent cellular senescence inhibition and concomitant gut microbiota-metabolome modulation.,2026,semantic_scholar,direct_perturbation,42531833,,false
doi:10.1016/j.psj.2026.107043,10.1016/j.psj.2026.107043,Dietary supplementation with Cuscuta chinensis improves ovarian function and production performance in aged laying hens via modulation of steroid hormone biosynthesis and gut microbiota,2026,openalex,randomized_intervention,,,false
doi:10.1016/j.ymthe.2025.12.035,10.1016/j.ymthe.2025.12.035,Targeting KAT8 Alleviates Vascular Senescence by Modulating the INHBA/TGF-β Pathway.,2025,semantic_scholar,direct_perturbation,41445196,,false
doi:10.1038/s41392-026-02799-x,10.1038/s41392-026-02799-x,Multiomic profiling of responses to clinical and novel bisphosphonates reveals extraskeletal effects on ageing related signatures,2026,semantic_scholar,randomized_intervention,42448670,13370019,false
doi:10.1038/s41413-025-00422-3,10.1038/s41413-025-00422-3,Sirt6 deficiency promotes senescence and age-associated intervertebral disc degeneration in mice,2025,openalex,direct_perturbation,,,false
doi:10.1038/s41421-025-00860-7,10.1038/s41421-025-00860-7,IGF2BP3-dependent glutamine/BCAA metabolic rewiring rejuvenates aged human adipose-derived stem cells for enhanced tissue regeneration,2026,semantic_scholar,direct_perturbation,41559031,12819398,false
doi:10.1038/s41438-020-00420-y,10.1038/s41438-020-00420-y,Multiomics analyses unveil the involvement of microRNAs in pear fruit senescence under high- or low-temperature conditions,2020,semantic_scholar,direct_perturbation,33328454,7705739,false
doi:10.1038/s41467-021-23545-7,10.1038/s41467-021-23545-7,Restoration of energy homeostasis by SIRT6 extends healthy lifespan,2021,semantic_scholar,direct_perturbation,34050173,8163764,false
doi:10.1038/s41467-023-37729-w,10.1038/s41467-023-37729-w,Multi-omic underpinnings of epigenetic aging and human longevity,2023,semantic_scholar,genetic_instrument,37076473,10115892,false
doi:10.1038/s41467-024-46037-w,10.1038/s41467-024-46037-w,Reducing the metabolic burden of rRNA synthesis promotes healthy longevity in Caenorhabditis elegans,2024,semantic_scholar,direct_perturbation,38402241,10894287,false
doi:10.1038/s41467-024-52967-2,10.1038/s41467-024-52967-2,Depletion of loss-of-function germline mutations in centenarians reveals longevity genes,2024,openalex,genetic_instrument,,,false
doi:10.1038/s41467-025-59964-z,10.1038/s41467-025-59964-z,Multi-organ metabolome biological age implicates cardiometabolic conditions and mortality risk,2025,semantic_scholar,genetic_instrument,40419465,12106725,false
doi:10.1038/s41467-025-61433-6,10.1038/s41467-025-61433-6,Immuno-metabolic stress responses control longevity from mitochondrial translation inhibition in C. elegans,2025,semantic_scholar,direct_perturbation,40603308,12222763,false
doi:10.1038/s41467-026-69424-x,10.1038/s41467-026-69424-x,Lack of MDA5 delays hematopoietic aging by modulating inflammaging and proteostasis in mice,2026,semantic_scholar,direct_perturbation,41680183,12905429,false
doi:10.1038/s41536-026-00490-x,10.1038/s41536-026-00490-x,Multi-omics profiling reveals systemic rejuvenation of the aged kidney through senolytic therapy.,2026,europepmc,direct_perturbation,42386771,,false
doi:10.1038/s41586-025-09873-4,10.1038/s41586-025-09873-4,Transient hepatic reconstitution of trophic factors enhances aged immunity,2025,semantic_scholar,direct_perturbation,41407851,12893904,false
doi:10.1038/s41586-026-10524-5,10.1038/s41586-026-10524-5,Sleep chart of biological ageing clocks in middle and late life,2026,openalex,genetic_instrument,,,false
doi:10.1038/s41598-025-17390-7,10.1038/s41598-025-17390-7,Aqueous extract of Acer truncatum leaves retards Drosophila melanogaster senescence by regulating amino acid metabolism and gut microbiota,2025,semantic_scholar,direct_perturbation,41038964,12491420,false
doi:10.1038/s42003-025-08296-1,10.1038/s42003-025-08296-1,NHE7 drives endometrial cancer progression by delaying senescence through cAMP/CREB/GRIN2B axis-mediated Ca²⁺ influx,2025,openalex,direct_perturbation,,,false
doi:10.1038/s42255-020-0200-2,10.1038/s42255-020-0200-2,NFYB-1 regulates mitochondrial function and longevity via lysosomal prosaposin.,2020,europepmc,direct_perturbation,32694663,,false
doi:10.1038/s42255-026-01515-x,10.1038/s42255-026-01515-x,Redox rhythms promote fitness by modulating ageing-dependent reprogramming.,2026,europepmc,direct_perturbation,41998216,,false
doi:10.1038/s43587-023-00451-9,10.1038/s43587-023-00451-9,Multi-omic rejuvenation and lifespan extension upon exposure to youthful circulation,2023,semantic_scholar,direct_perturbation,37500973,11095548,false
doi:10.1038/s43587-023-00460-8,10.1038/s43587-023-00460-8,Impaired BCAA catabolism in adipose tissues promotes age-associated metabolic derangement.,2023,europepmc,direct_perturbation,37488415,,false
doi:10.1038/s43587-026-01100-7,10.1038/s43587-026-01100-7,Multiomic single-cell perturbation screens reveal critical lncRNA regulators of senescence.,2026,europepmc,direct_perturbation,41917188,,false
doi:10.1039/d4fo01156b,10.1039/d4fo01156b,Longevity extension in rats via improved redox homeostasis with high carbohydrate diet intervention from weaning to adulthood: a comprehensive multi-omics study.,2024,europepmc,direct_perturbation,38979640,,false
doi:10.1039/d6fo00039h,10.1039/d6fo00039h,Dietary purple sweet potato anthocyanin extracts attenuate intestinal barrier decline in naturally aged mice <i>via</i> the microbiota-autophagy-stem cell axis.,2026,europepmc,direct_perturbation,42316995,,false
doi:10.1080/15548627.2025.2561073,10.1080/15548627.2025.2561073,Urolithin Α modulates inter-organellar communication via calcium-dependent mitophagy to promote healthy ageing,2025,semantic_scholar,direct_perturbation,40944367,12758194,false
doi:10.1080/15548627.2026.2711595,10.1080/15548627.2026.2711595,Targeting chaperone-mediated autophagy by nutritional interventions mitigates age-related cardiac fibrosis and diastolic dysfunction.,2026,europepmc,direct_perturbation,42529830,,false
doi:10.1093/ajrccm/aamag162.1185,10.1093/ajrccm/aamag162.1185,C29-10 Senotyping Reveals Myc as an Age-Dependent Regulator of Senescence With Differential Response to Senolytics in Developing Lungs,2026,semantic_scholar,direct_perturbation,,,false
doi:10.1093/bib/bbag271,10.1093/bib/bbag271,StackAge: an ensemble-based clock for precise quantification of biological age using multi-omics data,2026,semantic_scholar,formal_mediation,42218715,13222527,false
doi:10.1093/brain/awaf282,10.1093/brain/awaf282,Compensatory roles of STT3A and ALG5 in glucose metabolism of aged macaque hippocampus.,2025,europepmc,direct_perturbation,40908792,,false
doi:10.1093/cvr/cvag165,10.1093/cvr/cvag165,Multi-omic profiling of cardiomyocyte ageing and functional decline,2026,openalex,direct_perturbation,,,false
doi:10.1093/eurheartj/ehad361,10.1093/eurheartj/ehad361,Subclinical atherosclerosis and accelerated epigenetic age mediated by inflammation: a multi-omics study,2023,semantic_scholar,formal_mediation,37339167,10393076,false
doi:10.1093/geroni/igaa057.414,10.1093/geroni/igaa057.414,Metabolic Regulation of Longevity by One-Carbon Metabolism and Flavin-Containing Monooxygenase,2020,semantic_scholar,direct_perturbation,,7741500,false
doi:10.1093/geroni/igac059.2661,10.1093/geroni/igac059.2661,OXR1 STABILIZES THE RETROMER TO EXTEND LIFESPAN AND NEURONAL HEALTH BY DIETARY RESTRICTION,2022,semantic_scholar,direct_perturbation,,9770986,false
doi:10.1093/geroni/igad104.1942,10.1093/geroni/igad104.1942,BIOLOGICAL AGE REDUCTION AND LIFESPAN EXTENSION UPON YOUTHFUL CIRCULATION EXPOSURE,2023,semantic_scholar,direct_perturbation,,10737889,false
doi:10.1093/geroni/igae098.2630,10.1093/geroni/igae098.2630,MULTIMODEL APPROACHES IDENTIFY CONSERVED ROLE OF TRP CATABOLIC PATHWAY IN THE REGULATION OF LIFE- AND HEALTHSPAN,2024,semantic_scholar,direct_perturbation,,11691422,false
doi:10.1093/geroni/igaf122.3850,10.1093/geroni/igaf122.3850,Targeting Vascular Aging in Progeria by mTOR Inhibitors from Multi-Omics Screening,2025,semantic_scholar,direct_perturbation,,12761944,false
doi:10.1093/jimmun/vkag141.260,10.1093/jimmun/vkag141.260,IL-15—Driven NK-like Activation Is Augmented in Senescent CD57+CD8+ Memory T Cells 2255278,2026,semantic_scholar,direct_perturbation,,,false
doi:10.1093/jxb/erag169,10.1093/jxb/erag169,Jujube Development and Ripening Process Provides a Two-Stage Coloration Model: ZjHY5-Mediated Flavonoid Biosynthesis Precedes Senescence-Driven Phenolic Oxidation.,2026,semantic_scholar,direct_perturbation,41982115,,false
doi:10.1093/plcell/koag095,10.1093/plcell/koag095,Spongy mesophyll cell death is induced by jasmonic acid during leaf senescence in chrysanthemum.,2026,semantic_scholar,direct_perturbation,41889343,,false
doi:10.1093/plphys/kiaa034,10.1093/plphys/kiaa034,Multi-omics approach reveals the contribution of KLU to leaf longevity and drought tolerance.,2021,europepmc,direct_perturbation,33721894,PMC8133585,false
doi:10.1093/plphys/kiag184,10.1093/plphys/kiag184,Multi-omics and genetic analysis uncover salicylic acid-mediated core signaling networks for seed longevity in rice.,2026,semantic_scholar,direct_perturbation,42011917,,false
doi:10.1097/md.0000000000047376,10.1097/md.0000000000047376,Multi-omics data reveal causal associations of cellular senescence-related genes in rheumatoid arthritis: A summary-data-based Mendelian randomization and co-localization analysis.,2026,europepmc,genetic_instrument,41630247,PMC12863820,false
doi:10.1101/2025.10.29.685384,10.1101/2025.10.29.685384,The Age-Dependent Resident Myonuclear Multi-Omic Response to a Skeletal Muscle Hypertrophic Stimulus,2025,semantic_scholar,direct_perturbation,41279683,12636604,false
doi:10.1111/acel.13497,10.1111/acel.13497,A trans-omic Mendelian randomization study of parental lifespan uncovers novel aging biology and therapeutic candidates for chronic diseases.,2021,europepmc,genetic_instrument,34704651,PMC8590095,false
doi:10.1111/acel.13852,10.1111/acel.13852,Dysregulated cellular redox status during hyperammonemia causes mitochondrial dysfunction and senescence by inhibiting sirtuin‐mediated deacetylation,2023,openalex,direct_perturbation,,,false
doi:10.1111/acel.70064,10.1111/acel.70064,Aged Gut Microbiota Contributes to Cognitive Impairment and Hippocampal Synapse Loss in Mice,2025,semantic_scholar,direct_perturbation,40219707,12266779,false
doi:10.1111/acel.70103,10.1111/acel.70103,Multi-Omics Analysis Reveals Biomarkers That Contribute to Biological Age Rejuvenation in Response to Single-Blinded Randomized Placebo-Controlled Therapeutic Plasma Exchange.,2025,pubmed,randomized_intervention,40424097,PMC12341816,false
doi:10.1111/acel.70328,10.1111/acel.70328,Multi-Omics Analysis Reveals Photodynamic Therapy Ameliorating Skin Photoaging by Improving Cellular Senescence Through Mitohormesis-Mediated Reduction of Citrate Content.,2026,europepmc,direct_perturbation,41456904,PMC12744960,false
doi:10.1111/acel.70498,10.1111/acel.70498,Multi-Omics Reveals Mechanisms of Metabolic Rejuvenation in Aged Mice and Pre-Frail Older Men by Losartan.,2026,europepmc,randomized_intervention,42017270,PMC13100804,false
doi:10.1111/acel.70564,10.1111/acel.70564,Sex-Specific Regulation of the Turandot Gene Family Modulates Temperature-Dependent Lifespan in Drosophila melanogaster.,2026,europepmc,direct_perturbation,42216237,PMC13239812,false
doi:10.1111/jcpe.14040,10.1111/jcpe.14040,Association between biological ageing and periodontitis: Evidence from a cross‐sectional survey and multi‐omics Mendelian randomization analysis,2024,openalex,genetic_instrument,,,false
doi:10.1126/sciadv.adu2294,10.1126/sciadv.adu2294,Multiomic identification of senescent stem cell populations critical for osteoarthritis progression and therapy in subchondral bones.,2025,pubmed,direct_perturbation,40680126,PMC12273767,false
doi:10.1128/msystems.01665-24,10.1128/msystems.01665-24,Microbiota-derived indole acetic acid extends lifespan through the AhR-Sirt2 pathway in Drosophila,2025,semantic_scholar,direct_perturbation,40197001,12090787,false
doi:10.1158/1538-7445.am2026-2074,10.1158/1538-7445.am2026-2074,Abstract 2074: Adenosine-driven inflammatory reprogramming of aged cancer-associated fibroblasts promotes immune suppression in pancreatic ductal adenocarcinoma.,2026,semantic_scholar,direct_perturbation,,,false
doi:10.1161/circ.148.suppl_1.13364,10.1161/circ.148.suppl_1.13364,Abstract 13364: Transplantation of Mutant Clostridium_ASF356 Rescues Aging Gut-Derived Phenylacetate-Mediated Perivascular Adipose Tissue and Endothelial Senescence,2023,semantic_scholar,direct_perturbation,,,false
doi:10.1161/circ.150.suppl_1.4141726,10.1161/circ.150.suppl_1.4141726,Abstract 4141726: Ceramides produced by gut bacteria Bacteroides thetaiotaomicron causally induce aortic perivascular adipose tissue-endothelial cell senescence in aged host,2024,semantic_scholar,direct_perturbation,,,false
doi:10.1161/circresaha.125.327427,10.1161/circresaha.125.327427,LATS1/2-CD38 Metabolic Rewiring Links Senescence to Intraplaque Thrombosis.,2026,pubmed,direct_perturbation,42200276,PMC13382611,false
doi:10.1172/jci.insight.154089,10.1172/jci.insight.154089,Metabolic reprogramming during hyperammonemia targets mitochondrial function and postmitotic senescence.,2021,pubmed,direct_perturbation,34935641,PMC8783680,false
doi:10.1172/jci.insight.174007,10.1172/jci.insight.174007,Targeted Bmal1 restoration in muscle prolongs lifespan with systemic health effects in aging model.,2024,europepmc,direct_perturbation,39352748,PMC11601919,false
doi:10.1182/blood-2025-3244,10.1182/blood-2025-3244,Therapy-induced senescence reprograms non-M3 AML into a drug-exploitable APL-like state,2025,semantic_scholar,direct_perturbation,,,false
doi:10.1186/s11658-026-00879-y,10.1186/s11658-026-00879-y,HK2-driven histone H3K18 lactylation promotes stromal cell senescence and decidualization deficiency in URSA via CUX1-mediated SASP factor transcription,2026,semantic_scholar,direct_perturbation,41803676,12980966,false
doi:10.1186/s12964-026-02985-y,10.1186/s12964-026-02985-y,"Multi-omics and experimental evidence in human chondrocytes identify caspase-8 as a non-apoptotic regulator of inflammatory, senescent, and fibrotic signaling in osteoarthritis",2026,openalex,genetic_instrument,,,false
doi:10.1186/s12967-026-07766-2,10.1186/s12967-026-07766-2,Multiomics analysis reveals that senescent CXCL16<sup>+</sup> macrophages promote lung adenocarcinoma progression through TGF-β signalling.,2026,europepmc,genetic_instrument,41622242,PMC12954971,false
doi:10.1186/s12974-025-03588-z,10.1186/s12974-025-03588-z,Profilin 1 controls a microglial cytoskeleton checkpoint to prevent senescence and premature synaptic decline.,2025,europepmc,direct_perturbation,41214778,PMC12604266,false
doi:10.1186/s13020-025-01154-6,10.1186/s13020-025-01154-6,Multi-omics reveals mechanism of Qi-Po-Sheng-Mai granule in reducing atrial fibrillation susceptibility in aged rats.,2025,europepmc,direct_perturbation,40898216,PMC12406385,false
doi:10.1186/s13287-023-03415-3,10.1186/s13287-023-03415-3,Anti-aging mechanism of different age donor-matched adipose-derived stem cells,2023,openalex,direct_perturbation,,,false
doi:10.1186/s13578-026-01594-z,10.1186/s13578-026-01594-z,Multi-omic analysis reveals Wharton's jelly mesenchymal stem cells shift the pro-inflammatory phenotype of fibroblast subpopulation to induce skin rejuvenation.,2026,europepmc,direct_perturbation,42271436,,false
doi:10.1186/s40364-023-00458-9,10.1186/s40364-023-00458-9,The essential roles of FXR in diet and age influenced metabolic changes and liver disease development: a multi-omics study,2023,openalex,direct_perturbation,,,false
doi:10.14336/ad.2026.0356,10.14336/ad.2026.0356,Integrating AI and Causal Genetics to Prioritize Therapeutic Targets for Aging and Age-Related Diseases.,2026,europepmc,genetic_instrument,42295090,,false
doi:10.20892/j.issn.2095-3941.2025.0691,10.20892/j.issn.2095-3941.2025.0691,Integrative multi-omic analysis identified ERBB2 mutations and senescence-driven immune suppression as dual therapeutic targets in LAR triple-negative breast cancer,2026,semantic_scholar,direct_perturbation,41968987,13059881,false
doi:10.21037/tcr-2026-1-0264,10.21037/tcr-2026-1-0264,A senescence-based machine learning model prognosticates and personalizes therapy in cervical cancer,2026,semantic_scholar,direct_perturbation,42445431,13357390,false
doi:10.21203/rs.3.rs-1264931/v1,10.21203/rs.3.rs-1264931/v1,Multi-omics analysis reveals a non-canonical regulatory pattern of UPL3 on carbon metabolism related cell senescence,2022,semantic_scholar,direct_perturbation,,,false
doi:10.2147/jir.s525168,10.2147/jir.s525168,Multi-Omics Analysis and Validation of Cell Senescence-Related Genes Associated with Non-Alcoholic Fatty Liver Disease,2025,openalex,genetic_instrument,,,false
doi:10.2147/jir.s545622,10.2147/jir.s545622,Retinoic Acid-Loaded Cartilage Organoids Attenuate Chondrocyte Senescence in Osteoarthritis,2025,semantic_scholar,direct_perturbation,41209382,12595992,false
doi:10.26508/lsa.202201492,10.26508/lsa.202201492,Ubiquitome profiling reveals a regulatory pattern of UPL3 with UBP12 on metabolic-leaf senescence,2022,semantic_scholar,direct_perturbation,35926874,9354775,false
doi:10.26599/fshw.2026.9251125,10.26599/fshw.2026.9251125,Unraveling the Key Pathways through Cordycepin Prolongs Lifespan in C. elegans by Integrating Multi-omics Approaches,2026,semantic_scholar,direct_perturbation,,,false
doi:10.3389/fendo.2025.1661666,10.3389/fendo.2025.1661666,Investigating the causal role of cellular senescence-related genes in preeclampsia: a multi-omics Mendelian randomization study with differential expression analysis,2025,openalex,genetic_instrument,,,false
doi:10.3389/fimmu.2026.1762222,10.3389/fimmu.2026.1762222,Machine learning-driven multi-omics integration uncovers a senescence associated molecular axis in HCC.,2026,europepmc,direct_perturbation,42183188,PMC13195000,false
doi:10.3389/fnmol.2026.1834102,10.3389/fnmol.2026.1834102,The H3K9me2-FOXG1-microRNA axis reduces cochlear hair cells damage by modulating autophagy in age-related hearing loss,2026,semantic_scholar,direct_perturbation,42182986,13194610,false
doi:10.3389/fphar.2024.1446300,10.3389/fphar.2024.1446300,CDKN1A as a target of senescence in heart failure: insights from a multiomics study,2024,semantic_scholar,genetic_instrument,39512814,11541717,false
doi:10.3390/microorganisms13061379,10.3390/microorganisms13061379,Exercise Remodels Akkermansia-Associated Eicosanoid Metabolism to Alleviate Intestinal Senescence: Multi-Omics Insights.,2025,europepmc,direct_perturbation,40572269,PMC12195349,false
doi:10.3390/plants14152388,10.3390/plants14152388,Integrated Transcriptomic and Metabolomic Analysis Reveals Nitrogen-Mediated Delay of Premature Leaf Senescence in Red Raspberry Leaves,2025,semantic_scholar,direct_perturbation,40805737,12349029,false
doi:10.3892/or.2026.9080,10.3892/or.2026.9080,NR4A1 mediates chemotherapy‑induced senescence via the PI3K/AKT pathway in gastric cancer cells.,2026,europepmc,direct_perturbation,41716024,PMC12937905,false
doi:10.64898/2026.07.09.736798,10.64898/2026.07.09.736798,"Senescence-associated loss of intestinal α1,2-fucose disrupts a modifiable host-microbiome homeostasis axis in people with HIV",2026,semantic_scholar,direct_perturbation,42465415,13370467,false
doi:10.7150/ijbs.129636,10.7150/ijbs.129636,DHCR24 Deficiency Drives Age-Related Meibomian Gland Dysfunction by Regulating Lipid Metabolic Imbalance and Cytosolic mtDNA-Induced cGAS-STING Activation.,2026,europepmc,direct_perturbation,42003925,PMC13086210,false
doi:10.7554/elife.71624,10.7554/elife.71624,Multi-omic rejuvenation of human cells by maturation phase transient reprogramming.,2022,europepmc,direct_perturbation,35390271,PMC9023058,false
