arm,report_id,work_unit_id,left_analysis_count,right_analysis_count,both_empty,at_least_one_nonempty,analysis_count_exact,closed_field_multiset_exact,scientific_field_multiset_exact,evidence_atom_union_exact,evidence_atom_jaccard,closed_plus_grounding_exact,all_fields_plus_grounding_exact
evidence_atom_id,doi:10.1126/sciadv.adu2294,analysis-window-006,0,0,True,False,True,True,True,True,1.0,True,True
evidence_atom_id,doi:10.1126/sciadv.adu2294,analysis-window-007,0,0,True,False,True,True,True,True,1.0,True,True
evidence_atom_id,doi:10.1126/sciadv.adu2294,analysis-window-008,0,0,True,False,True,True,True,True,1.0,True,True
evidence_atom_id,doi:10.1126/sciadv.adu2294,analysis-window-009,0,0,True,False,True,True,True,True,1.0,True,True
evidence_atom_id,doi:10.1186/s12967-026-07766-2,analysis-window-001,3,3,False,True,True,False,False,False,0.6666666666666666,False,False
evidence_atom_id,doi:10.1186/s12967-026-07766-2,analysis-window-002,8,5,False,True,False,False,False,False,0.6666666666666666,False,False
evidence_atom_id,doi:10.1186/s12967-026-07766-2,analysis-window-003,4,5,False,True,False,False,False,False,0.9285714285714286,False,False
evidence_atom_id,doi:10.1186/s12967-026-07766-2,analysis-window-004,0,0,True,False,True,True,True,True,1.0,True,True
evidence_atom_id,doi:10.2147/jir.s545622,analysis-window-001,2,2,False,True,True,True,False,False,0.5833333333333334,False,False
evidence_atom_id,doi:10.2147/jir.s545622,analysis-window-002,5,6,False,True,False,False,False,False,0.9411764705882353,False,False
evidence_atom_id,doi:10.2147/jir.s545622,analysis-window-003,3,3,False,True,True,False,False,False,0.6,False,False
evidence_atom_id,doi:10.2147/jir.s545622,analysis-window-004,0,0,True,False,True,True,True,True,1.0,True,True
verbatim_quote,doi:10.1007/s11306-023-02022-w,analysis-window-001,2,3,False,True,False,False,False,False,0.3076923076923077,False,False
verbatim_quote,doi:10.1007/s11306-023-02022-w,analysis-window-002,0,0,True,False,True,True,True,True,1.0,True,True
verbatim_quote,doi:10.1007/s11306-023-02022-w,analysis-window-003,0,0,True,False,True,True,True,True,1.0,True,True
verbatim_quote,doi:10.1007/s11306-023-02022-w,analysis-window-004,0,0,True,False,True,True,True,True,1.0,True,True
verbatim_quote,doi:10.1016/j.ccell.2024.09.002,analysis-window-001,4,5,False,True,False,False,False,False,0.7142857142857143,False,False
verbatim_quote,doi:10.1016/j.ccell.2024.09.002,analysis-window-002,5,6,False,True,False,False,False,False,0.75,False,False
verbatim_quote,doi:10.1016/j.ccell.2024.09.002,analysis-window-003,2,2,False,True,True,True,False,True,1.0,True,False
verbatim_quote,doi:10.1016/j.ccell.2024.09.002,analysis-window-004,0,0,True,False,True,True,True,True,1.0,True,True
verbatim_quote,doi:10.1016/j.ccell.2024.09.002,analysis-window-005,0,0,True,False,True,True,True,True,1.0,True,True
verbatim_quote,doi:10.1016/j.ccell.2024.09.002,analysis-window-006,2,7,False,True,False,False,False,False,0.5,False,False
verbatim_quote,doi:10.1016/j.ccell.2024.09.002,analysis-window-007,5,6,False,True,False,False,False,False,0.6666666666666666,False,False
verbatim_quote,doi:10.1038/s41413-025-00422-3,analysis-window-001,6,8,False,True,False,False,False,False,0.7647058823529411,False,False
verbatim_quote,doi:10.1038/s41413-025-00422-3,analysis-window-002,5,7,False,True,False,False,False,False,0.5555555555555556,False,False
verbatim_quote,doi:10.1038/s41413-025-00422-3,analysis-window-003,3,2,False,True,False,False,False,False,0.5714285714285714,False,False
verbatim_quote,doi:10.1038/s41413-025-00422-3,analysis-window-004,0,0,True,False,True,True,True,True,1.0,True,True
verbatim_quote,doi:10.1038/s41413-025-00422-3,analysis-window-005,0,0,True,False,True,True,True,True,1.0,True,True
verbatim_quote,doi:10.1126/sciadv.adu2294,analysis-window-001,3,2,False,True,False,False,False,True,1.0,False,False
verbatim_quote,doi:10.1126/sciadv.adu2294,analysis-window-002,4,4,False,True,True,True,False,True,1.0,True,False
verbatim_quote,doi:10.1126/sciadv.adu2294,analysis-window-003,3,3,False,True,True,False,False,False,0.45454545454545453,False,False
verbatim_quote,doi:10.1126/sciadv.adu2294,analysis-window-004,0,0,True,False,True,True,True,True,1.0,True,True
verbatim_quote,doi:10.1126/sciadv.adu2294,analysis-window-005,0,0,True,False,True,True,True,True,1.0,True,True
verbatim_quote,doi:10.1126/sciadv.adu2294,analysis-window-006,0,0,True,False,True,True,True,True,1.0,True,True
verbatim_quote,doi:10.1126/sciadv.adu2294,analysis-window-007,0,0,True,False,True,True,True,True,1.0,True,True
verbatim_quote,doi:10.1126/sciadv.adu2294,analysis-window-008,0,0,True,False,True,True,True,True,1.0,True,True
verbatim_quote,doi:10.1126/sciadv.adu2294,analysis-window-009,0,0,True,False,True,True,True,True,1.0,True,True
verbatim_quote,doi:10.1186/s12967-026-07766-2,analysis-window-001,1,5,False,True,False,False,False,False,0.3,False,False
verbatim_quote,doi:10.1186/s12967-026-07766-2,analysis-window-002,4,4,False,True,True,False,False,False,0.75,False,False
verbatim_quote,doi:10.1186/s12967-026-07766-2,analysis-window-003,5,6,False,True,False,False,False,False,0.6923076923076923,False,False
verbatim_quote,doi:10.1186/s12967-026-07766-2,analysis-window-004,0,0,True,False,True,True,True,True,1.0,True,True
verbatim_quote,doi:10.2147/jir.s545622,analysis-window-001,2,2,False,True,True,True,False,False,0.8,False,False
verbatim_quote,doi:10.2147/jir.s545622,analysis-window-002,4,6,False,True,False,False,False,False,0.7058823529411765,False,False
verbatim_quote,doi:10.2147/jir.s545622,analysis-window-003,3,3,False,True,True,False,False,False,0.7142857142857143,False,False
verbatim_quote,doi:10.2147/jir.s545622,analysis-window-004,0,0,True,False,True,True,True,True,1.0,True,True
