record_id,doi,title,draft_reviewer_type,draft_decision,first_failed_criterion,supporting_section_ids,draft_rationale,human_confirmation
doi:10.1104/pp.110.161430,10.1104/pp.110.161430,Flavonoids and Isoflavonoids: From Plant Biology to Agriculture and Neuroscience,AI_assisted_draft,exclude,EC1,chunk:0000;chunk:0005,"Narrative synthesis/perspective on flavonoid biology and applications rather than a current primary empirical analysis.",pending
doi:10.1111/1751-7915.12181,10.1111/1751-7915.12181,Silent clusters – speak up!,AI_assisted_draft,exclude,EC1,chunk:0000;chunk:0001,"Short forward-looking commentary containing an anecdotal screening observation but no self-contained primary empirical study with methods and report-level analysis.",pending
doi:10.1111/exd.12771,10.1111/exd.12771,All is balanced: inter-α-trypsin inhibitors as unseen extracellular matrix proteins in epidermal morphology and differentiation,AI_assisted_draft,exclude,EC1,chunk:0000;chunk:0001,"Commentary discussing external studies and public expression data rather than a current primary empirical analysis.",pending
doi:10.1111/jcmm.71017,10.1111/jcmm.71017,dock11 Knockdown in Zebrafish Disrupts Embryogenesis: Insights Into the Genetic Causes of Early Pregnancy Loss,AI_assisted_draft,exclude,EC3,chunk:0000,"Primary embryogenesis study; cellular senescence appears only as pathway enrichment and is not a substantive aging-process construct.",pending
doi:10.1111/jdi.12150,10.1111/jdi.12150,Epigenetics: Reprogrammable interface of the genome and environments,AI_assisted_draft,exclude,EC1,chunk:0000;chunk:0001,"Narrative synthesis of prior diabetes/epigenetics studies rather than a current primary empirical analysis.",pending
doi:10.1155/s1110724302207032,10.1155/s1110724302207032,All We Are Saying Is Give Plants a Chance!,AI_assisted_draft,exclude,EC1,chunk:0000;chunk:0001,"Narrative commentary advocating plant functional genomics rather than a current primary empirical analysis.",pending
doi:10.1186/gm394,10.1186/gm394,Pharmacogenomics: a key component of personalized therapy,AI_assisted_draft,exclude,EC1,chunk:0000;chunk:0001,"Nonempirical pharmacogenomics overview that attributes multi-omics examples to external studies.",pending
doi:10.1212/nxg.0000000000000100,10.1212/nxg.0000000000000100,"19th Workshop of the International Stroke Genetics Consortium, April 28–29, 2016, Boston, Massachusetts, USA",AI_assisted_draft,exclude,EC1,chunk:0002;chunk:0006;chunk:0008,"Proceedings containing separate GWAS, Mendelian-randomization, and aging-metabolomics abstracts. Their evidence cannot be combined into one eligible study.",confirmed_by_user
doi:10.4103/1673-5374.217328,10.4103/1673-5374.217328,Can we treat neurodegenerative diseases by preventing an age-related decline in microRNA expression?,AI_assisted_draft,exclude,EC1,chunk:0003;chunk:0004,"Hypothesis/commentary summarizing prior work and proposing future multi-omics experiments rather than reporting a current primary multi-omics analysis.",pending
doi:10.4103/1673-5374.228719,10.4103/1673-5374.228719,Metabolism neurodegeneration and epigenetics: Emerging role of Sirtuins,AI_assisted_draft,exclude,EC1,chunk:0000;chunk:0001,"Narrative discussion of prior work and future omics studies rather than a current primary empirical analysis.",pending
doi:10.4103/1673-5374.230283,10.4103/1673-5374.230283,Epigenetic interventions for brain rejuvenation: anchoring age-related transposons,AI_assisted_draft,exclude,EC1,chunk:0000;chunk:0001,"Narrative therapeutic commentary on aging-related methylation mechanisms rather than a current primary empirical analysis.",pending
doi:10.4103/1673-5374.335807,10.4103/1673-5374.335807,Non-canonical role of the ATR pathway in axon regeneration as a mechanosensitive brake,AI_assisted_draft,exclude,EC1,chunk:0000;chunk:0001,"Commentary on a previously published axon-regeneration study rather than a current primary empirical analysis.",pending
doi:10.4103/nrr.nrr-d-25-00422,10.4103/nrr.nrr-d-25-00422,Shuttle and stabilize: H1.2-FUS complex in amyotrophic lateral sclerosis pathogenesis,AI_assisted_draft,exclude,EC1,chunk:0000;chunk:0001,"Commentary on Alirzayeva et al.; proteomic analysis is proposed as future work rather than performed in this report.",pending
doi:10.5281/zenodo.20257527,10.5281/zenodo.20257527,"ITU and Genomics: A Single-Axiom View of DNA, Human Genome Project, CRISPR Gene Editing, AlphaFold, AI Drug Discovery, Population Genetics, Coalescent Theory, and Ancient DNA — Block B 5/?, Pass-1 Final Tier 1",AI_assisted_draft,exclude,EC1,chunk:0001;chunk:0008;chunk:0009,"Theoretical framework and future predictions rather than a primary empirical biological study.",pending
doi:10.69750/dmls.02.010.0160,10.69750/dmls.02.010.0160,Harnessing CRISPR Technology for Next-Generation Therapeutics in Genetic Disorders,AI_assisted_draft,exclude,EC1,chunk:0001;chunk:0004,"Narrative CRISPR therapeutics overview rather than a current primary empirical analysis.",pending
