record_id,doi,title,year,source,design_anchor,pmid,pmcid,is_preprint
doi:10.4103/1673-5374.228719,10.4103/1673-5374.228719,"Metabolism, neurodegeneration and epigenetics: Emerging role of Sirtuins",2018,openalex,not_assessed,,,false
doi:10.4103/1673-5374.230283,10.4103/1673-5374.230283,Epigenetic interventions for brain rejuvenation: anchoring age-related transposons,2018,openalex,not_assessed,,,false
doi:10.4103/1673-5374.249223,10.4103/1673-5374.249223,Induced pluripotent stem cells from Huntington’s disease patients: a promising approach to define and correct disease-related alterations,2019,openalex,not_assessed,,,false
doi:10.4103/1673-5374.335807,10.4103/1673-5374.335807,Non-canonical role of the ATR pathway in axon regeneration as a mechanosensitive brake,2022,openalex,not_assessed,,,false
doi:10.4103/nrr.nrr-d-24-00646,10.4103/nrr.nrr-d-24-00646,Complementary roles of glial cells in generating region-specific neuroinflammatory responses and phagocytosis in Parkinson’s disease,2024,openalex,not_assessed,,,false
doi:10.4103/nrr.nrr-d-25-00422,10.4103/nrr.nrr-d-25-00422,Shuttle and stabilize: H1.2-FUS complex in amyotrophic lateral sclerosis pathogenesis,2025,openalex,not_assessed,,,false
doi:10.5281/zenodo.18644752,10.5281/zenodo.18644752,Proactive Healthcare - Fighting the affects of aging (Closed-Loop Biological Restoration & Multi-Omics Optimization Platform),2026,openalex,not_assessed,,,false
doi:10.5281/zenodo.20257527,10.5281/zenodo.20257527,"ITU and Genomics: A Single-Axiom View of DNA, Human Genome Project, CRISPR Gene Editing, AlphaFold, AI Drug Discovery, Population Genetics, Coalescent Theory, and Ancient DNA — Block B 5/?, Pass-1 Final Tier 1",2026,openalex,not_assessed,,,false
doi:10.6092/unina/fedoa/10084,10.6092/unina/fedoa/10084,A proteomic approach for the identification of novel direct targets of microRNA-494 and of novel mediators of cellular senescence,2015,openalex,not_assessed,,,false
doi:10.69750/dmls.02.010.0160,10.69750/dmls.02.010.0160,Harnessing CRISPR Technology for Next-Generation Therapeutics in Genetic Disorders,2025,semantic_scholar,not_assessed,,,false
doi:10.69750/dmls.03.04.0200,10.69750/dmls.03.04.0200,The Failure of Translational Neuroscience: Why Promising Mechanisms Rarely Become Therapies,2026,semantic_scholar,not_assessed,,,false
doi:10.7326/m16-0271,10.7326/m16-0271,Effect of Fecal Microbiota Transplantation on Recurrence in Multiply Recurrent Clostridium difficile Infection,2016,semantic_scholar,not_assessed,27547925,5909820,false
doi:10.7936/zw5q-8j61,10.7936/zw5q-8j61,Investigating Biological Mechanisms of Radiation Resistance in Advanced Stage Cervical Cancer,2020,openalex,direct_perturbation,,,false
no-doi:40bd6d05bb59fa3d752ad2f2,,Mechanisms of Heart Failure in Type 2 Diabetes Mellitus,2014,semantic_scholar,not_assessed,25531007,4270344,false
