candidate_id,doi,title,year,sources,proposed_design_family,omics_layers,explicit_multiomics_match,layer_pair_match,formal_method_evidence,aging_evidence,algorithmic_score,candidate_status,expert_1_empirical_primary,expert_1_aging_eligible,expert_1_multiomics_eligible,expert_1_causal_method_eligible,expert_1_overall,expert_2_empirical_primary,expert_2_aging_eligible,expert_2_multiomics_eligible,expert_2_causal_method_eligible,expert_2_overall,adjudicated_empirical_primary,adjudicated_aging_eligible,adjudicated_multiomics_eligible,adjudicated_causal_method_eligible,adjudicated_status,adjudicated_design_family,adjudication_notes
doi:10.1016/j.intimp.2026.116802,10.1016/j.intimp.2026.116802,FBXO7 protects against osteoarthritis by promoting IL-6 ubiquitination and inhibiting JAK1/STAT3 signaling.,2026,europepmc;pubmed,direct_perturbation,proteomics;transcriptomics,False,True,"In vivo therapeutic efficacy was evaluated using DMM-induced OA mice treated with lenti-FBXO7, and loss-of-function studies were conducted using Fbxo7 conditional knockout mice.","In vivo studies confirmed that FBXO7 overexpression effectively attenuated OA progression, while Fbxo7 conditional knockout mice exhibited accelerated cartilage degradation, enhanced synovial inflammation, and increased cellular senescence.",5,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.1371/journal.pgen.1009083,10.1371/journal.pgen.1009083,Fine-tuning autophagy maximises lifespan and is associated with changes in mitochondrial gene expression in Drosophila,2020,semantic_scholar,direct_perturbation,metabolomics;transcriptomics,False,True,Increased proteasomal activity and reduced triacylglycerol levels were features shared by both moderate and high Atg1 overexpression conditions.,"Interestingly, strong Atg1 up-regulation was detrimental to lifespan.",8,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.1016/j.jhazmat.2026.142949,10.1016/j.jhazmat.2026.142949,Gestational exposure to PP-NPs promotes premature placental ageing through global reprogramming of the trophoblast phosphoproteome.,2026,europepmc;pubmed,direct_perturbation,proteomics,True,False,"Pharmacological inhibition of CDK1 with Ro-3306 attenuated trophoblast senescence, restored trophoblast function, alleviated placental injury, and improved fetal outcomes in vivo, while siRNA-mediated CDK1 knockdown similarly suppressed CDK1-linked phosphorylation and rescued senescence-associated functional defects in trophoblasts.","These multi-omics landscapes revealed that cellular senescence is the dominant pathogenic program triggered by PP-NPs, accompanied by extensive phosphorylation remodeling.",6,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.1186/s11658-026-00879-y,10.1186/s11658-026-00879-y,HK2-driven histone H3K18 lactylation promotes stromal cell senescence and decidualization deficiency in URSA via CUX1-mediated SASP factor transcription.,2026,pubmed,direct_perturbation,metabolomics;transcriptomics,True,True,"Furthermore, CUX1 knockdown in the URSA murine model reduced stromal senescence and improved decidualization.","Unexplained recurrent spontaneous abortion (URSA) is characterized by defective endometrial stromal cell decidualization, with cellular senescence emerging as a key contributor.",7,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.1111/acel.70418,10.1111/acel.70418,Host Oxidative Response Capacity Determines Longevity Outcomes of Microbial Interventions.,2026,europepmc;pubmed,direct_perturbation,genomics;microbiomics,False,True,"Combining classical genetic analysis, quantitative trait locus (QTL) mapping and CRISPR-Cas9 allelic recapitulation, we identify skn-1 (Nrf2) and gsy-1 (glycogen synthase) as key host determinants.","Conversely, robust hosts utilize the same microbial signals to promote longevity.",8,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.1002/imt2.70150,10.1002/imt2.70150,Hyperoside alleviates endometrial stromal cell senescence in unexplained recurrent spontaneous abortion via DHX9-mediated R-loop resolution.,2026,europepmc;pubmed,direct_perturbation,genomics,True,False,Functional validation revealed that DHX9 knockdown or introduction of the T419A point mutation markedly attenuated the anti-senescence and pro-decidualization effects of hyperoside.,"Mechanistically, hyperoside effectively alleviated aberrant intracellular R-loop accumulation, thereby suppressing excessive activation of the cyclic GMP-AMP synthase-stimulator of interferon genes (cGAS-STING) pathway which contributes to the initiation of the cellular senescence program.",6,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.1093/jmcb/mjag001,10.1093/jmcb/mjag001,Integrated single-nucleus transcriptomic and chromatin accessibility analysis reveals key molecular basis of human testicular aging.,2026,europepmc;pubmed,direct_perturbation,epigenomics;transcriptomics,True,True,"Overexpression of WLS in Sertoli cells significantly accelerated senescence in vitro, implying a potential role for WLS in testicular aging.","Furthermore, the expression of Wntless (WLS), a Wnt transporter, was substantially upregulated in Sertoli cells of aged testes, which was correlated with cellular senescence and the disruption of tight junctions.",7,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.1101/2025.10.11.681821,10.1101/2025.10.11.681821,Machine learning-based definition of cellular senescence reveals pro-senescence potential implication in lung adenocarcinoma,2025,europepmc,direct_perturbation,genomics;transcriptomics,True,True,"Transcriptional and epigenetic profiling of HDACi-treated cells pinpointed FOSB as a core transcription factor driving CS, and FOSB knockdown blocked HDACi-induced senescence.",Machine learning-based definition of cellular senescence reveals pro-senescence potential implication in lung adenocarcinoma.,10,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.3389/fimmu.2026.1762222,10.3389/fimmu.2026.1762222,Machine learning-driven multi-omics integration uncovers a senescence associated molecular axis in HCC.,2026,europepmc;pubmed,direct_perturbation,metabolomics;proteomics;transcriptomics,True,True,"In vitro , MCM7 knockdown significantly inhibited HepG2 cell proliferation and upregulated senescence enforcers p16 and p21, whereas overexpression facilitated evasion.",Background Hepatocellular carcinoma (HCC) exhibits profound molecular heterogeneity and aberrant cellular senescence.,8,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.1111/acel.70498,10.1111/acel.70498,Multi-Omics Reveals Mechanisms of Metabolic Rejuvenation in Aged Mice and Pre-Frail Older Men by Losartan.,2026,europepmc;pubmed,direct_perturbation,metabolomics;proteomics,True,True,"This rejuvenation effect appears to be contingent on the presence of functional angiotensin II receptors, with receptor knockout mice showing no rejuvenation effect with treatment.",Multi-Omics Reveals Mechanisms of Metabolic Rejuvenation in Aged Mice and Pre-Frail Older Men by Losartan..,10,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.1038/s41593-025-01889-3,10.1038/s41593-025-01889-3,Neuronal polyunsaturated fatty acids are protective in ALS/FTD,2025,semantic_scholar,direct_perturbation,metabolomics;transcriptomics,False,True,Neuronal overexpression of fatty acid desaturases also suppressed stressor-induced neuronal death in iPS cell neurons of patients with both C9 and TDP-43 ALS/FTD.,"However, increasing PUFA levels specifically in neurons of C9 ALS/FTD flies, by overexpressing fatty acid desaturase enzymes, led to a substantial extension of lifespan.",5,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
title:oxr1 stabilizes the retromer to extend lifespan and neuronal health by dietary restriction,,OXR1 STABILIZES THE RETROMER TO EXTEND LIFESPAN AND NEURONAL HEALTH BY DIETARY RESTRICTION,2022,europepmc,direct_perturbation,genomics;transcriptomics,True,True,Overexpression of OXR1 and retromer proteins rescued AD-associated phenotypes in a fly model of AD.,We demonstrate that mtd/OXR1 in neurons is necessary for DR-mediated lifespan extension.,10,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.64898/2026.07.13.738356,10.64898/2026.07.13.738356,PLCγ2 deficiency compromises systemic immune tolerance and erodes myelin homeostasis while enhancing oxidative metabolism in the mouse brain,2026,europepmc;pubmed,direct_perturbation,metabolomics;proteomics;transcriptomics,True,True,"Methods We analyzed the brains of three-month-old Plcg2 wild-type (WT), heterozygous (Het KO) and homozygous knockout (Homo KO) littermate mice modeling human PLCG2 loss-of-function risk alleles linked to AD risk using a multiomic approach that included lipidomics, metabolomics, proteomics, and transcriptomics, together with immunofluorescence, as well as flow-cytometric profiling of peripheral and brain-draining immune compartments.","PLCG2 polymorphisms have been associated with reduced and/or increased risk of Alzheimer’s disease (AD) and related dementias, longevity, autoinflammation, and immune disorders.",8,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.34172/aim.34456,10.34172/aim.34456,Prognostic Significance of HMGA1 in Hepatocellular Carcinoma: Implications for Tumor Progression and Targeted Therapy.,2025,pubmed,direct_perturbation,proteomics;transcriptomics,True,True,"Functionally, HMGA1 knockdown suppressed LIHC cell proliferation (38.9% reduction in HepG2 and 46.0% in Huh-7 at 48h), migration (44-59% inhibition at 24h), and colony formation (41.8-44.2% reduction), while significantly inducing cellular senescence (3.4-3.5-fold increase in β-gal+cells, P <0.001).","Functionally, HMGA1 knockdown suppressed LIHC cell proliferation (38.9% reduction in HepG2 and 46.0% in Huh-7 at 48h), migration (44-59% inhibition at 24h), and colony formation (41.8-44.2% reduction), while significantly inducing cellular senescence (3.4-3.5-fold increase in β-gal+cells, P <0.001).",7,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.21203/rs.3.rs-8394751/v1,10.21203/rs.3.rs-8394751/v1,Rasal1: A candidate exercise mimetic to increase adult hippocampal neurogenesis in middle age,2026,europepmc,direct_perturbation,proteomics,True,False,Lentiviral knockdown of Rasal1 in the DG promoted AHN and neurite growth in middle-aged rats that were otherwise reluctant to run.,"Middle age is recognised as a period of the lifespan prognostic of cognitive health in older age, and amenable to intervention.",6,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.21203/rs.3.rs-7771199/v1,10.21203/rs.3.rs-7771199/v1,Reproductive aging causes precocious ZGA and morula gene expression and chromatin hyper-activation in rhesus monkey embryos via maternal SETDB1 insufficiency,2026,europepmc,direct_perturbation,epigenomics;genomics;transcriptomics,False,True,Knockdown of SETDB1 in young monkey zygotes recapitulates aging-associated phenotypes.,Reproductive aging causes precocious ZGA and morula gene expression and chromatin hyper-activation in rhesus monkey embryos via maternal SETDB1 insufficiency.,9,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.1038/s41467-021-23545-7,10.1038/s41467-021-23545-7,Restoration of energy homeostasis by SIRT6 extends healthy lifespan,2021,scopus;semantic_scholar,direct_perturbation,transcriptomics,True,False,"Here, we show that SIRT6 overexpression leads to a reduction in frailty and lifespan extension in both male and female B6 mice.",Restoration of energy homeostasis by SIRT6 extends healthy lifespan.,9,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.1016/j.cell.2026.01.016,10.1016/j.cell.2026.01.016,Restoring circadian rhythms in the hypothalamic paraventricular nucleus reverses aging biomarkers and extends lifespan in male mice.,2026,pubmed,direct_perturbation,epigenomics;transcriptomics,False,True,"Transcriptomic, hormonal, and epigenetic profiling reveal robust increases in PVN circadian amplitude following timed 3dA administration, and the PVN-specific knockout of RuvB-like ATPase 2 (Ruvbl2) establishes its genetic necessity by abolishing 3dA's benefits.",Age-related circadian disruptions accelerate physiological decline and shorten lifespan.,8,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.18632/aging.100011,10.18632/aging.100011,SIRT6 stabilizes DNA-dependent Protein Kinase at chromatin for DNA double-strand break repair,2009,openalex,direct_perturbation,epigenomics;genomics,False,True,"The mammalian Sir2 family member SIRT6 has been proposed to have analogous functions, because SIRT6-deficiency leads to shortened life span and an aging-like degenerative phenotype in mice, and SIRT6 knockout cells exhibit genomic instability and DNA damage hypersensitivity.",The Sir2 chromatin regulatory factor links maintenance of genomic stability to life span extension in yeast.,5,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.1016/j.mad.2026.112209,10.1016/j.mad.2026.112209,Senolytics ameliorate cognitive decline in D-galactose-induced aging mice by inhibiting astrocytic cholesterol accumulation.,2026,europepmc;pubmed,direct_perturbation,,True,False,"Critically, pharmacological activation of cholesterol synthesis and genetic overexpression of Hsd17b7, a key enzyme in the cholesterol synthesis pathway, in astrocytes reversed the anti-senescence benefits of senolytics in vitro, establishing a causal link between cholesterol pathway inhibition and the therapeutic effects.",Cellular senescence plays a crucial role in brain aging and the decline of cognitive abilities.,5,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.1111/acel.70564,10.1111/acel.70564,Sex-Specific Regulation of the Turandot Gene Family Modulates Temperature-Dependent Lifespan in Drosophila melanogaster.,2026,europepmc;pubmed,direct_perturbation,metabolomics;transcriptomics,True,True,"We demonstrate that RNAi-mediated knockdown of tot expression is sufficient to extend longevity across a range of temperatures, uncoupling the survival benefit from the thermal environment.","Intriguingly, tot genes are not merely passive responders to temperature; rather, they actively regulate lifespan.",10,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.1073/pnas.1720673115,10.1073/pnas.1720673115,Sirt4 is a mitochondrial regulator of metabolism and lifespan in Drosophila melanogaster,2018,scopus;semantic_scholar,direct_perturbation,genomics;metabolomics,False,True,"Sirt4 knockout flies have a short lifespan, with increased sensitivity to starvation and decreased fertility and activity.",Sirt4 is a mitochondrial regulator of metabolism and lifespan in Drosophila melanogaster.,8,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.3390/toxics14020170,10.3390/toxics14020170,Size-Dependent Disruption of Lipid Metabolism by Polystyrene Micro- and Nanoplastics in <i>Caenorhabditis elegans</i> Revealed Through Multi-Omics and Functional Genetic Validation.,2026,europepmc;pubmed,direct_perturbation,metabolomics;transcriptomics,True,True,"Integration of multi-omics (transcriptomics and metabolomics) highlighted acdh-1 , ech-6 , hach-1 , and sur-5 as core lipid-metabolism genes; RNA interference confirmed that knockdown of these target genes abolished the size-dependent differences in fat accumulation induced by MPs.","We evaluated multiple phenotypic endpoints, including lifespan, growth (body length and width), locomotion (head thrashes and body bends), reproduction, and intestinal lipofuscin.",7,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.1016/j.drup.2026.101415,10.1016/j.drup.2026.101415,The RELA-FTH1 axis in senescent cancer-associated fibroblasts creates a stromal iron sink that drives ferroptosis resistance and therapy failure across solid malignant tumors.,2026,pubmed,direct_perturbation,transcriptomics,True,False,"Functional studies employed conditioned medium assays, transwell co-culture systems with ferroptosis induction and chemosensitivity testing, FerroOrange-based intracellular Fe²⁺ quantification, genetic perturbation (shRNA/siRNA), pharmacological NF-κB inhibition, and subcutaneous xenograft models.","Cellular senescence accumulates across diverse solid tumor types and reshapes the stromal landscape, yet which population dominates this senescent compartment and how senescent cancer-associated fibroblasts (senCAFs) drive resistance remain unresolved.",6,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.1016/j.molcel.2018.11.034,10.1016/j.molcel.2018.11.034,The RNA-binding protein PUM2 impairs mitochondrial dynamics and mitophagy during aging,2019,scopus;semantic_scholar,direct_perturbation,,True,False,"puf-8 knock-down in old nematodes and Pum2 CRISPR/Cas9-mediated knockout in the muscles of elderly mice enhances mitochondrial fission and mitophagy in both models, hence improving mitochondrial quality control and tissue homeostasis.","Here, we show that the RNA-binding protein Pumilio2 (PUM2), which is a translation repressor, is induced upon aging and acts as a negative regulator of lifespan and mitochondrial homeostasis.",5,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.1016/j.celrep.2024.115099,10.1016/j.celrep.2024.115099,The glial UDP-glycosyltransferase Ugt35b regulates longevity by maintaining lipid homeostasis in Drosophila.,2025,europepmc,direct_perturbation,,True,False,"Knockdown of Ugt35b significantly reduced LD formation by downregulating Lsd-2 expression, while overexpression of Lsd-2 partially rescued the shortened lifespan in glial Ugt35b RNAi flies.",The glial UDP-glycosyltransferase Ugt35b regulates longevity by maintaining lipid homeostasis in Drosophila..,8,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.1016/j.gene.2026.150162,10.1016/j.gene.2026.150162,Time-resolved transcriptomics of FEN1 knockdown HEK293T cells identifies altered rhythmic gene expression.,2026,europepmc;pubmed,direct_perturbation,genomics;transcriptomics,False,True,Time-resolved transcriptomics of FEN1 knockdown HEK293T cells identifies altered rhythmic gene expression..,"Genes showing altered rhythmic properties were enriched in pathways related to cell cycle regulation, DNA damage response, and cellular senescence.",8,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.1186/1471-2164-15-927,10.1186/1471-2164-15-927,Transcriptional and epigenetic responses to mating and aging in Drosophila melanogaster,2014,semantic_scholar,direct_perturbation,epigenomics;genomics;transcriptomics,False,True,"Overexpression resulted in altered expression of ~70% of candidate target genes, and in all cases affected oviposition.","Female Drosophila melanogaster undergo dramatic physiological changes mediated by seminal fluid components transferred upon mating, including decreased longevity.",6,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.1186/s12864-026-12546-9,10.1186/s12864-026-12546-9,Transcriptome analysis reveals KRAS as a crucial regulator of ovarian follicle development in Wuding chickens.,2026,pubmed,direct_perturbation,genomics;transcriptomics,False,True,"Overexpression of KRAS significantly enhanced the production of progesterone (P4) and estradiol (E2) and upregulated the expression of steroidogenic genes (e.g., STAR, CYP19A1, HSD3B1, PTGS2).","Finally, KRAS delayed cellular senescence by reducing SA-β-gal activity and reciprocally regulating P21 (downregulation) and SIRT1 (upregulation).",5,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.7554/elife.30952,10.7554/elife.30952,Transcriptomic and proteomic landscape of mitochondrial dysfunction reveals secondary coenzyme Q deficiency in mammals,2017,openalex;scopus;semantic_scholar,direct_perturbation,metabolomics;proteomics;transcriptomics,False,True,"Moreover, we describe sequential protein changes during post-natal development and progressive OXPHOS dysfunction in time course analyses in control mice and a middle lifespan knockout, respectively.","Moreover, we describe sequential protein changes during post-natal development and progressive OXPHOS dysfunction in time course analyses in control mice and a middle lifespan knockout, respectively.",6,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.1242/dmm.052935,10.1242/dmm.052935,UBA1 knockdown dysregulates the levels of UBA1-sensitive proteins and impairs muscle function in Drosophila and mice.,2026,europepmc;pubmed,direct_perturbation,proteomics;transcriptomics,False,True,UBA1 knockdown dysregulates the levels of UBA1-sensitive proteins and impairs muscle function in Drosophila and mice..,"Here, we examined Drosophila and mice with muscle-targeted UBA1 knockdown and found that this intervention reduces protein ubiquitination, muscle function, and lifespan.",8,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.7150/ijbs.128631,10.7150/ijbs.128631,VDR-Spermidine Axis Protects Against Age-Related Granulosa Cell Dysfunction and Follicular Decline via DNMTs-Mediated p53 Methylation.,2026,pubmed,direct_perturbation,epigenomics;metabolomics;transcriptomics,False,True,"Using GCs-specific Vdr knockout (cVKO) mice and a Vdr -knockout (VKO) human granulosa-like cell line, we demonstrate that loss of Vdr triggers GCs aging and disrupts ovarian function.","Furthermore, both supplements effectively delayed ovarian aging and improved fertility in naturally aged mice.",6,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.1016/j.cell.2026.01.022,10.1016/j.cell.2026.01.022,Vitamin B2 and B3 nutrigenomics reveals a therapy for NAXD disease.,2026,europepmc;pubmed,direct_perturbation,genomics;metabolomics;transcriptomics,False,True,"In our Naxd knockout (KO) mouse, we observed NADHX accumulation, NAD + depletion, and impaired serine biosynthesis in neonatal KO brains.","Low-vitamin B3 diets accelerated pathology, whereas vitamin B3 supplementation extended lifespan by more than 40-fold.",6,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
