record_id,title,primary_manual_review_reason,primary_failure_role,primary_failure_errors
doi:10.1016/j.jalz.2019.06.3154,P3‐126: FUNCTIONAL DISSECTION OF AN ALZHEIMER'S DISEASE SUSCEPTIBILITY GENE NETWORK,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'IP-MS analysis was also performed'"", ""Evidence quote is not an exact substring of abstract: 'IP-MS analysis was also performed to define a protein-protein interaction network in fly brains'""]"
doi:10.1016/j.kint.2024.04.017,DNA methyltransferase 1 (DNMT1) promotes cyst growth and epigenetic age acceleration in autosomal dominant polycystic kidney disease.,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'MBD protein-enriched genome sequencing (MBD-seq), DNMT1 chromatin immunoprecipitation (ChIP)-sequencing and RNA-sequencing analysis'"", ""Evidence quote is not an exact substring of abstract: 'whole-genome bisulfite sequencing in kidneys of patients with ADPKD versus normal individuals'""]"
doi:10.1016/j.phymed.2026.158183,Astragaloside IV delays vascular aging by enhancing mitochondrial fatty acid β-oxidation via the MLXIPL-PPARα/PGC-1α axis.,role_execution_failed,causal_method_reviewer,"[""Evidence quote is not an exact substring of abstract: 'MLXIPL knockdown and overexpression techniques.'"", ""Evidence quote is not an exact substring of abstract: 'MLXIPL knockdown and overexpression techniques.'""]"
doi:10.1017/cts.2024.375,"434 Investigating the metabolic-inflammatory mechanisms of cachexia symptoms in head and neck cancer patient plasma via multiomics integration of the metabolome, lipidome, and inflammation cytokines",role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'We analyzed 186 metabolites, 54 lipids'"", ""Evidence quote is not an exact substring of abstract: 'a multiomics network algorithm'""]"
doi:10.1038/s41420-026-03036-8,NFATC2-mediated CST1 upregulation drives cholangiocarcinoma growth and metastasis.,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'CST1 overexpression suppressed cellular senescence markers'"", ""Evidence quote is not an exact substring of abstract: 'CST1 overexpression suppressed cellular senescence markers, as evidenced by decreased senescence-associated β-galactosidase activity'""]"
doi:10.1038/s41588-021-00898-9,Variably methylated retrotransposons are refractory to a range of environmental perturbations.,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of title: 'mouse genome'"", ""Evidence quote is not an exact substring of abstract: 'We assessed the epigenetic effects of different environmental contexts.'""]"
doi:10.1038/s41598-023-27903-x,Investigation of genetic variants and causal biomarkers associated with brain aging.,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'MR for all metabolomic biomarkers'"", ""Evidence quote is not an exact substring of abstract: 'MR for all metabolomic biomarkers'""]"
doi:10.1038/s41598-025-98038-4,Construction of a prognostic model and identification of key genes in liver hepatocellular carcinoma based on multi-omics data.,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of title: 'Liver hepatocellular carcinoma'"", ""Evidence quote is not an exact substring of title: 'Liver hepatocellular carcinoma'""]"
doi:10.1038/s41598-026-48556-6,Oxidative stress promotes the progression of age-related macular degeneration by up-regulating Spp1 to activate the JAK/STAT signaling pathway,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'This study demonstrates that oxidative stress may promote AMD progression'"", ""Evidence quote is not an exact substring of abstract: 'NaIO3 was used to induce AMD in mice'""]"
doi:10.1080/19490976.2022.2070392,Integrative multiomics analysis reveals host-microbe-metabolite interplays associated with the aging process in Singaporeans,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'analysis based on multiomics datasets revealed potential host-microbe-metabolite interactions'"", ""Evidence quote is not an exact substring of abstract: 'revealed potential host-microbe-metabolite interactions'""]"
doi:10.1093/bjd/ljaf041,Comprehensive Single-Cell Chromatin and Transcriptomic Profiling of Peripheral Immune Cells in Non-Segmental Vitiligo.,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'NSV is an autoimmune condition'"", ""Evidence quote is not an exact substring of abstract: 'NSV is an autoimmune condition'""]"
doi:10.1093/ecco-jcc/jjac190.0070,DOP30 Identifying dietary factors and metabolites that may promote healthier Crohn Disease microbiome and mucosal transcriptomics signals as future targets using Diet-Omics,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'fetal metabolomics, mucosal terminal ileum (TI) transcriptomics, and microbiome'"", ""Evidence quote is not an exact substring of abstract: 'identified 237 significant associations'""]"
doi:10.1093/gerona/glaf234,From Mitochondrial Dysfunction to Frailty and Sarcopenia: Genetic Evidence from Multi-Omics Data via Mendelian Randomization and Colocalization.,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'QTL data for DNA methylation, gene expression, and plasma protein abundance were analyzed'"", ""Evidence quote is not an exact substring of abstract: 'QTL data for DNA methylation, gene expression, and plasma protein abundance'""]"
doi:10.1093/hmg/ddae189,Integrated multi-omics analysis revealed the molecular networks and potential targets of cellular senescence in Alzheimer's disease.,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'blood and brain tissue'"", ""Evidence quote is not an exact substring of abstract: 'eQTL and DNA methylation quantitative trait loci (mQTL) data'""]"
doi:10.1093/jimmun/vkaf283.2039,NFATc1 transcription factor regulates human B-cell development in early life 4341,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'human B-cell development'"", ""Evidence quote is not an exact substring of abstract: 'human B cells'""]"
doi:10.1093/jmcb/mjag005,Sarm1-containing extrachromosomal circular DNA promotes aging-associated cardiac fibrosis via TGF-β/Smad activation.,role_execution_failed,causal_method_reviewer,"[""Evidence quote is not an exact substring of abstract: 'In this study, circular DNA sequencing and RNA seqensing were performed to analyze eccDNA profiles in young and aged cardiac tissues.'"", ""Evidence quote is not an exact substring of abstract: 'In this study, circular DNA sequencing and RNA seqensing were performed to analyze eccDNA profiles in young and aged cardiac tissues.'""]"
doi:10.1093/neuped/wuaf001.003,ATRT-03. Targeting nuclear export as a potent therapeutic strategy in atypical teratoid/rhabdoid tumors,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'AT/RT is an aggressive brain cancer'"", ""Evidence quote is not an exact substring of abstract: 'AT/RT is an aggressive brain cancer'""]"
doi:10.1093/schbul/sbae044,Shared Genetic Determinants of Schizophrenia and Autism Spectrum Disorder Implicate Opposite Risk Patterns: A Genome-Wide Analysis of Common Variants.,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'SNP data of European descent from SCZ'"", ""Evidence quote is not an exact substring of abstract: 'SNP data of European descent from SCZ (N cases = 53 386, N controls = 77 258) and ASD (N cases = 18 381, N controls = 27 969) were analyzed.'""]"
doi:10.1097/aog.0000000000006265.01,JSOG Presenter: Multi-omics Analysis of Stem Cells Established From Aged Individuals to Seek Aging Regulatory Factors [ID 3398],role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'suggesting increased genomic instability.'"", ""Evidence quote is not an exact substring of title: 'aging regulatory factors'""]"
doi:10.1097/hep.0000000000001304,"CAD manipulates tumor intrinsic DHO/UBE4B/NF-κB pathway and fuels macrophage cross-talk, promoting hepatocellular carcinoma metastasis.",role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: \""HCC patients' lifespan\"""", ""Evidence quote is not an exact substring of abstract: 'PVTT, an indicator of clinical metastasis'""]"
doi:10.1097/ju.0000000000002591.09,MP37-09 PROSTATE BIOPSY TISSUE CORES OBTAINED FROM THE TRANSPERINEAL APPROACH HARBOR FEWER MICROBIAL SPECIES AND LOWER MICROBIAL RESEMBLANCE TO THE RECTAL FLORA RELATIVE TO THOSE OBTAINED TRANSRECTALLY,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'Our results suggest there is less introduction of pathogenic flora into prostatic tissue'"", ""Evidence quote is not an exact substring of abstract: 'These ﬁndings likely account for the substantially lower risk of sepsis in TP biopsy'""]"
doi:10.1097/md.0000000000043388,Unraveling the causal nexus between serum lactate levels and cancer risk: A Mendelian randomization study,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'cancer risk'"", ""Evidence quote is not an exact substring of abstract: 'GWAS data on metabolite levels'""]"
doi:10.1098/rstb.2023.0054,"On epigenetic stochasticity, entropy and cancer risk.",role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'I describe the mounting evidence'"", ""Evidence quote is not an exact substring of abstract: 'DNAm changes in ageing cells'""]"
doi:10.1101/2022.01.18.22269350,"Single-nuclei paired multiomic analysis of young, aged, and Parkinson's disease human midbrain reveals age-associated glial changes and their contribution to Parkinson's disease",role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'human midbrain samples'"", ""Evidence quote is not an exact substring of abstract: 'human midbrain samples'""]"
doi:10.1101/2022.07.11.22277435,Systems-level patterns in biological processes are changed under prolongevity interventions and across biological age,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'across biological age'"", ""Evidence quote is not an exact substring of abstract: 'DIRAC analyses of liver proteomics and transcriptomics'""]"
doi:10.1101/2024.05.06.592653,Functional and multi-omic aging rejuvenation with GLP-1R agonism,role_execution_failed,causal_method_reviewer,"[""Evidence quote is not an exact substring of abstract: 'GLP-1RA treatment attenuates body-wide age-related changes'"", ""Evidence quote is not an exact substring of abstract: 'GLP-1RA treatment'""]"
doi:10.1101/2025.02.28.640792,"Integrating genomic, transcriptomic and epigenetic data to identify phenotypically impactful driver pathways in glioblastoma",role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'Our analysis uncovered pivotal GBM driver pathways'"", ""Evidence quote is not an exact substring of abstract: 'GBM, a highly aggressive brain tumor'""]"
doi:10.1111/acel.13492,Many chronological aging clocks can be found throughout the epigenome: Implications for quantifying biological aging.,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: '“accelerated” epigenetic aging'"", ""Evidence quote is not an exact substring of abstract: 'We examined over 450,000 methylation sites from 9,699 samples.'""]"
doi:10.1126/science.adi5199,Single-cell genomics and regulatory networks for 388 human brains,role_execution_failed,causal_method_reviewer,"[""Evidence quote is not an exact substring of abstract: 'identified >1.4 million single-cell expression quantitative trait loci'"", ""Evidence quote is not an exact substring of abstract: 'Single-cell genomics and regulatory networks for 388 human brains'""]"
doi:10.1126/scitranslmed.aaa5843,Vinculin network–mediated cytoskeletal remodeling regulates contractile function in the aging heart,role_execution_failed,causal_method_reviewer,"[""Evidence quote is not an exact substring of abstract: 'Cardiac-specific vinculin overexpression increased median life span by more than 150% in flies.'"", ""Evidence quote is not an exact substring of abstract: 'Cardiac-specific vinculin overexpression increased median life span by more than 150%'""]"
doi:10.1136/lupus-2020-eurolupus.147,P103 Aberrant DNA damage response of B cell populations in systemic lupus erythematosus,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'GSEA was performed'"", ""Evidence quote is not an exact substring of abstract: 'GSEA was performed in a published B cell populations transcriptomic dataset1'""]"
doi:10.1158/1538-7445.am2023-909,Abstract 909: Single-cell multi-omics reveals type-2 function and metabolic fitness in maintaining CAR T cell longevity associated with 8-year leukemia remission,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'We sequenced one million pre-infusion CAR T cells'"", ""Evidence quote is not an exact substring of abstract: 'CAR T therapy'""]"
doi:10.1158/1557-3265.sabcs24-ps13-04,Abstract PS13-04: DREAM complex assembly and stable cell cycle control underlies long-term clinical response to CDK4/6 inhibition,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of title: 'breast cancer'"", ""Evidence quote is not an exact substring of title: 'breast cancer'""]"
doi:10.1161/circresaha.124.325685,Biophysical and Biochemical Roles of Shear Stress on Endothelium: A Revisit and New Insights.,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'This review addresses emerging perspectives in hemodynamic research, including single-cell sequencing, spatial omics, metabolomics, and multiomics technologies.'"", ""Evidence quote is not an exact substring of abstract: 'This review addresses emerging perspectives'""]"
doi:10.1161/str.55.suppl_1.69,Abstract 69: Epigenetic Age and Brain Health Events: Findings From the Health and Retirement Study,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'epigenetic age acceleration was associated with higher odds of BHe'"", ""Evidence quote is not an exact substring of abstract: 'epigenetic age acceleration was associated with higher odds of BHe'""]"
doi:10.1177/00220345251332885,The Role of Gut Microbiome in Temporomandibular Joint Disorder Pathogenesis,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'MR analysis of GM, metabolomics, and TMD data, as well as transcriptomic analysis.'"", ""Evidence quote is not an exact substring of abstract: 'MR analysis of GM, metabolomics, and TMD data'""]"
doi:10.1182/blood-2022-159124,A Circulating Microbial Metabolite Drives the Clonal Expansion of Pre-Leukemic Cells,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'in the IBD mouse model'"", ""Evidence quote is not an exact substring of abstract: 'we generated a model of IBD by inducing gut epithelial injury using dextran sulfate sodium (DSS).】【”】【},{'""]"
doi:10.1182/blood-2024-202567,The Mechanism of Cell Autonomous Inflammation in VEXAS Syndrome Is Mediated By Proteotoxic Stress,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'we performed unbiased proteomics'"", ""Evidence quote is not an exact substring of abstract: 'VEXAS syndrome is a severe, multi-system disease'""]"
doi:10.1182/blood-2025-1693,Multi-omics unveils ER stress-driven pDC-like leukemia stem cells in pDC-AML,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'DIA proteomics, 10X Genomics single-cell RNA sequencing (scRNA-seq), and immune repertoire sequencing were performed'"", ""Evidence quote is not an exact substring of abstract: 'DIA proteomics, 10X Genomics single-cell RNA sequencing (scRNA-seq), and immune repertoire sequencing were performed on bone marrow'""]"
doi:10.1182/blood-2025-4980,Imputing causality from single-cell transcriptomics in paroxysmal nocturnal hemoglobinuria,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'PNH is a rare life-threatening acquired disease'"", ""Evidence quote is not an exact substring of abstract: 'PNH is a rare life-threatening acquired disease'""]"
doi:10.1182/blood-2025-978,Perturbation of iNKT differentiation during clonal hematopoiesis from rewiring of inflammation and lipid presentation,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'iNKT cells are a rare, non-conventional T cell subset'"", ""Evidence quote is not an exact substring of abstract: 'iNKT cells are a rare, non-conventional T cell subset'""]"
doi:10.1186/s12866-026-04987-9,Integrated analysis of the gut mycobiota and plasma metabolome reveals mortality and age-specific characteristics in sepsis,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'ITS1 sequencing and untargeted plasma metabolomics'"", ""Evidence quote is not an exact substring of abstract: 'ITS1 sequencing and untargeted plasma metabolomics at admission'""]"
doi:10.1186/s12951-025-03764-6,Chinese leek-derived extracellular vesicles ameliorate sarcopenia by regulating mitochondrial biogenesis and autophagy via AMPK and maintaining myosin homeostasis,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'DEX-induced C2C12 myotube atrophy model'"", ""Evidence quote is not an exact substring of abstract: 'an age-related degenerative disorder'""]"
doi:10.1186/s12974-026-03851-x,Plasma proteome in LGI-1 autoimmune encephalitis,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'We performed a proteomic analysis of plasma'"", ""Evidence quote is not an exact substring of abstract: 'We performed a proteomic analysis of plasma'""]"
doi:10.1186/s13059-017-1185-3,Diverse interventions that extend mouse lifespan suppress shared age-associated epigenetic changes at critical gene regulatory regions.,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'age-associated DNA methylation changes are suppressed'"", ""Evidence quote is not an exact substring of abstract: 'age-associated methylation changes are suppressed'""]"
doi:10.1186/s13148-026-02184-z_reference.pdf,"Genetic and epigenetic underpinnings of biological aging: a multi-omics study integrating Mendelian randomization, spatial transcriptomics, and drug target …",role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'epigenetic aging'"", ""Evidence quote is not an exact substring of abstract: 'epigenetic aging'""]"
doi:10.1186/s40001-025-03211-0,The Sirt3–CD38 axis induces mitochondrial dysfunction in hypertrophied heart by regulating mitochondrial calcium overload,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'multi-omics profiling implicated CD38'"", ""Evidence quote is not an exact substring of abstract: 'multi-omics profiling implicated CD38 as a major NAD consumer'""]"
doi:10.1186/scrt138,From cytogenomic to epigenomic profiles: monitoring the biologic behavior of in vitro cultured human bone marrow mesenchymal stem cells,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'human bone marrow mesenchymal stem cells'"", ""Evidence quote is not an exact substring of abstract: 'BM-MSCs are multipotent cells'""]"
doi:10.1210/jendso/bvab048.1334,An Epigenomic Signature in Children Born Small for Gestational Age (SGA) With “Catch-up” Growth Is Present From Birth and Predicts Early Adulthood Pre-Hypertension,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'blood transcriptome at age 9 and blood epigenome at age 0, 7, and 17 years'"", ""Evidence quote is not an exact substring of abstract: 'blood transcriptome at age 9 and blood epigenome at age 0, 7, and 17 years and were available from 980 and 947 children, respectively.'""]"
doi:10.1371/journal.pone.0298172,Investigating the association between blood metabolites and telomere length: A mendelian randomization study,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'GWAS data for blood metabolites'"", ""Evidence quote is not an exact substring of abstract: 'GWAS data for blood metabolites'""]"
doi:10.2174/0115734099401120251101190026,"Integrating Multi-omics, Mendelian Randomization, and Experimental Validation to Unveil the Role of Traditional Chinese Medicine in Postmenopausal Osteoporosis.",role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'PMOP is an age-related disease prevalent among elderly women'"", ""Evidence quote is not an exact substring of abstract: 'PMOP is an age-related disease prevalent among elderly women'""]"
doi:10.2337/db24-332-or,332-OR: Multiomic Profiling of Extended Honeymoon Unveils New Therapeutic Targets,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of title: 'Type 1 Diabetes'"", ""Evidence quote is not an exact substring of title: 'Type 1 Diabetes'""]"
doi:10.29219/fnr.v69.11923,Aged garlic attenuates neuroinflammation via modulating the NF-κB pathway: Insights from multi-omics analyses,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'LPS-induced BV2 microglial cells and LPS-treated C57BL/6 mice were used'"", ""Evidence quote is not an exact substring of abstract: 'LPS-induced BV2 microglial cells'""]"
doi:10.3389/fpsyt.2025.1730143,Brain imaging data and summary data-based Mendelian randomization analysis reveal the impact of multiorgan aging on schizophrenia.,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'SNP sets, aging gene data, and tissue-specific cis-expression quantitative trait locus (cis-eQTL) data'"", ""Evidence quote is not an exact substring of abstract: 'SNP sets'""]"
doi:10.3389/fragi.2026.1794192,The microbiome-gerogene axis: a new frontier in precision geromedicine.,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'biological aging trajectories'"", ""Evidence quote is not an exact substring of abstract: 'biological aging trajectories'""]"
doi:10.3390/metabo12060472,Characterizing the Flavor Precursors and Liberation Mechanisms of Various Dry-Aging Methods in Cull Beef Loins Using Metabolomics and Microbiome Approaches,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'metabolomics and microbiome analyses'"", ""Evidence quote is not an exact substring of abstract: 'metabolomics and microbiome analyses'""]"
doi:10.3390/nu17223607,Luteolin Alleviates Vascular Senescence Through Retinoic Acid-Peroxisome Proliferator-Activated Receptor Signaling and Lipid Metabolism Remodeling Combined with Multi-Omics Analysis.,role_execution_failed,causal_method_reviewer,"[""Evidence quote is not an exact substring of abstract: 'SAMP8 received an 8-week dietary supplementation with Lut.'"", ""Evidence quote is not an exact substring of abstract: 'cVECs and fVECs were subjected to doxorubicin-induced senescence'""]"
doi:10.3760/cma.j.cn501225-20240830-00320,[Multi-omics Mendelian randomization study on the causality between non-ionizing radiation and facial aging].,role_execution_failed,causal_method_reviewer,"[""Evidence quote is not an exact substring of abstract: 'SNPs were used as instrumental variables'"", ""Evidence quote is not an exact substring of abstract: 'SNPs were used as instrumental variables, with a significance threshold'""]"
doi:10.4137/grsb.s13204,Pathway Analysis of ChIP-Seq-Based NRF1 Target Genes Suggests a Logical Hypothesis of their Involvement in the Pathogenesis of Neurodegenerative Diseases.,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'ChIP-Seq dataset'"", ""Evidence quote is not an exact substring of abstract: 'ChIP-Seq dataset'""]"
doi:10.7150/thno.105299,Serine supplementation suppresses hypoxia-induced pathological retinal angiogenesis,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'OIR mouse model'"", ""Evidence quote is not an exact substring of abstract: 'OIR mouse model'""]"
doi:10.7754/clin.lab.2024.240701,METTL7A as a New Candidate Biomarker in Gastric Cancer by Genomics and Data-Independent Acquisition Proteomic Analysis.,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'DIA proteomics was employed'"", ""Evidence quote is not an exact substring of abstract: 'DIA proteomics was employed to identify differentially expressed proteins'""]"
no-doi:f92c9780591c0a8ae3ac0c97,375 Decoding cardiovascular biological ageing using an AI-derived ECG age clock with multi-omic integration,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'metabolomic, lipoprotein and proteomic correlates'"", ""Evidence quote is not an exact substring of abstract: 'correlates were evaluated'""]"
