record_id,title,primary_manual_review_reason,primary_failure_role,primary_failure_errors
doi:10.1101/2025.02.28.640792,"Integrating genomic, transcriptomic and epigenetic data to identify phenotypically impactful driver pathways in glioblastoma",role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'Our analysis uncovered pivotal GBM driver pathways'"", ""Evidence quote is not an exact substring of abstract: 'Our analysis uncovered pivotal GBM driver pathways'""]"
doi:10.1136/lupus-2020-eurolupus.147,P103 Aberrant DNA damage response of B cell populations in systemic lupus erythematosus,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'GSEA was performed'"", ""Evidence quote is not an exact substring of abstract: 'GSEA was performed in a published B cell populations transcriptomic dataset1'""]"
doi:10.1161/circresaha.124.325685,Biophysical and Biochemical Roles of Shear Stress on Endothelium: A Revisit and New Insights.,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'this review addresses emerging perspectives'"", ""Evidence quote is not an exact substring of abstract: 'This review addresses emerging perspectives'""]"
doi:10.1182/blood-2025-4980,Imputing causality from single-cell transcriptomics in paroxysmal nocturnal hemoglobinuria,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'PNH is a rare life-threatening acquired disease'"", ""Evidence quote is not an exact substring of abstract: 'PNH is a rare life-threatening acquired disease,'""]"
doi:10.1182/blood-2025-978,Perturbation of iNKT differentiation during clonal hematopoiesis from rewiring of inflammation and lipid presentation,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'CHIP is a common, age-associated premalignant condition'"", ""Evidence quote is not an exact substring of abstract: 'iNKT cells are a rare, non-conventional T cell subset'""]"
doi:10.1186/s12866-026-04987-9,Integrated analysis of the gut mycobiota and plasma metabolome reveals mortality and age-specific characteristics in sepsis,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'ITS1 sequencing and untargeted plasma metabolomics'"", ""Evidence quote is not an exact substring of abstract: 'ITS1 sequencing'""]"
doi:10.1186/s13059-017-1185-3,Diverse interventions that extend mouse lifespan suppress shared age-associated epigenetic changes at critical gene regulatory regions.,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'Age-associated methylation changes are suppressed in Ames dwarf and calorie restricted mice.'"", ""Evidence quote is not an exact substring of abstract: 'Age-associated DNA methylation changes'""]"
doi:10.1186/scrt138,From cytogenomic to epigenomic profiles: monitoring the biologic behavior of in vitro cultured human bone marrow mesenchymal stem cells,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'human bone marrow mesenchymal stem cells'"", ""Evidence quote is not an exact substring of abstract: 'BM-MSCs are multipotent cells'""]"
doi:10.29219/fnr.v69.11923,Aged garlic attenuates neuroinflammation via modulating the NF-κB pathway: Insights from multi-omics analyses,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'LPS-induced BV2 microglial cells and LPS-treated C57BL/6 mice were used'"", ""Evidence quote is not an exact substring of abstract: 'LPS-induced BV2 microglial cells'""]"
doi:10.3389/fpsyt.2025.1730143,Brain imaging data and summary data-based Mendelian randomization analysis reveal the impact of multiorgan aging on schizophrenia.,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'SNP sets, aging gene data, and tissue-specific cis-expression quantitative trait locus (cis-eQTL) data'"", ""Evidence quote is not an exact substring of abstract: 'tissue-specific cis-eQTL data'""]"
doi:10.3390/nu17223607,Luteolin Alleviates Vascular Senescence Through Retinoic Acid-Peroxisome Proliferator-Activated Receptor Signaling and Lipid Metabolism Remodeling Combined with Multi-Omics Analysis.,role_execution_failed,causal_method_reviewer,"[""Evidence quote is not an exact substring of abstract: 'SAMP8 received an 8-week dietary supplementation with Lut.'"", ""Evidence quote is not an exact substring of abstract: 'cVECs and fVECs were subjected to doxorubicin-induced senescence'""]"
doi:10.3760/cma.j.cn501225-20240830-00320,[Multi-omics Mendelian randomization study on the causality between non-ionizing radiation and facial aging].,role_execution_failed,causal_method_reviewer,"[""Evidence quote is not an exact substring of abstract: 'SNPs were used as instrumental variables'"", ""Evidence quote is not an exact substring of abstract: 'SNPs were used as instrumental variables, with a significance threshold'""]"
doi:10.4137/grsb.s13204,Pathway Analysis of ChIP-Seq-Based NRF1 Target Genes Suggests a Logical Hypothesis of their Involvement in the Pathogenesis of Neurodegenerative Diseases.,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'ChIP-Seq dataset'"", ""Evidence quote is not an exact substring of abstract: 'ChIP-Seq dataset'""]"
doi:10.7754/clin.lab.2024.240701,METTL7A as a New Candidate Biomarker in Gastric Cancer by Genomics and Data-Independent Acquisition Proteomic Analysis.,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'DIA proteomics was employed'"", ""Evidence quote is not an exact substring of abstract: 'DIA proteomics was employed'""]"
