record_id,doi,title,assistant_final_status,assistant_primary_design_family,openalex_indexed,openalex_has_abstract,query_match,matched_branches,local_multiomics_match,local_aging_match,local_causal_anchor_match,local_three_block_match
doi:10.1007/s40520-025-02971-3,10.1007/s40520-025-02971-3,The association between gut microbiota and accelerated aging and frailty: a Mendelian randomization study.,include,genetic_instrument,True,True,True,genomics_plus_other,True,True,True,True
doi:10.1016/j.archger.2025.105765,10.1016/j.archger.2025.105765,Causal relationship between gut microbiota and ageing: A multi-omics Mendelian randomization study.,include,genetic_instrument,True,False,False,,True,True,True,True
doi:10.1016/j.cell.2026.01.016,10.1016/j.cell.2026.01.016,Restoring circadian rhythms in the hypothalamic paraventricular nucleus reverses aging biomarkers and extends lifespan in male mice.,include,nonrandomized_intervention,True,False,False,,False,True,False,False
doi:10.1016/j.cell.2026.01.022,10.1016/j.cell.2026.01.022,Vitamin B2 and B3 nutrigenomics reveals a therapy for NAXD disease.,include,nonrandomized_intervention,True,True,True,genomics_plus_other,True,True,True,True
doi:10.1016/j.celrep.2024.115099,10.1016/j.celrep.2024.115099,The glial UDP-glycosyltransferase Ugt35b regulates longevity by maintaining lipid homeostasis in Drosophila.,include,direct_perturbation,True,True,True,explicit_multiomics,True,True,True,True
doi:10.1016/j.drup.2026.101415,10.1016/j.drup.2026.101415,The RELA-FTH1 axis in senescent cancer-associated fibroblasts creates a stromal iron sink that drives ferroptosis resistance and therapy failure across solid malignant tumors.,include,direct_perturbation,True,False,False,,False,False,False,False
doi:10.1016/j.intimp.2026.116802,10.1016/j.intimp.2026.116802,FBXO7 protects against osteoarthritis by promoting IL-6 ubiquitination and inhibiting JAK1/STAT3 signaling.,include,direct_perturbation,True,False,False,,False,False,False,False
doi:10.1016/j.jad.2025.119471,10.1016/j.jad.2025.119471,Systematic Mendelian randomization of the human plasma proteome to identify therapeutic targets linking aging and frailty to perioperative delirium.,include,genetic_instrument,True,False,False,,False,True,True,False
doi:10.1016/j.jhazmat.2025.140429,10.1016/j.jhazmat.2025.140429,Integrative epidemiological and spatial multi-omics analyses reveal SPP1⁺ macrophages with senescence-like features as key mediators linking NO₂ exposure to coronary heart disease.,include,genetic_instrument,True,False,False,,True,False,False,False
doi:10.1016/j.jhazmat.2026.142949,10.1016/j.jhazmat.2026.142949,Gestational exposure to PP-NPs promotes premature placental ageing through global reprogramming of the trophoblast phosphoproteome.,include,nonrandomized_intervention,True,True,True,explicit_multiomics,True,True,True,True
doi:10.1016/j.mad.2026.112209,10.1016/j.mad.2026.112209,Senolytics ameliorate cognitive decline in D-galactose-induced aging mice by inhibiting astrocytic cholesterol accumulation.,include,nonrandomized_intervention,True,False,False,,False,True,False,False
doi:10.1016/j.molcel.2018.11.034,10.1016/j.molcel.2018.11.034,The RNA-binding protein PUM2 impairs mitochondrial dynamics and mitophagy during aging,include,direct_perturbation,True,False,False,,False,True,False,False
doi:10.1016/j.redox.2026.104065,10.1016/j.redox.2026.104065,ERRα-NOS2-mediated citrulline metabolism attenuates tubular epithelial cell senescence in diabetic kidney disease.,include,direct_perturbation,True,True,True,epigenomics_plus_downstream,True,True,True,True
doi:10.1016/j.xgen.2026.101218,10.1016/j.xgen.2026.101218,Interferon-related inflammaging links epigenetic age acceleration to multimorbidity.,include,genetic_instrument,True,True,True,epigenomics_plus_downstream,True,True,True,True
doi:10.1038/s41380-026-03703-3,10.1038/s41380-026-03703-3,Metabolomic signatures of brain aging: A multimodal and genetic study,include,genetic_instrument,True,False,False,,False,True,False,False
doi:10.1038/s41467-021-23545-7,10.1038/s41467-021-23545-7,Restoration of energy homeostasis by SIRT6 extends healthy lifespan,include,direct_perturbation,True,True,True,explicit_multiomics,True,True,True,True
doi:10.1038/s41467-023-37729-w,10.1038/s41467-023-37729-w,Multi-omic underpinnings of epigenetic aging and human longevity,include,genetic_instrument,True,True,True,explicit_multiomics;genomics_plus_other;transcriptomics_plus_downstream,True,True,True,True
doi:10.1038/s41467-024-52310-9,10.1038/s41467-024-52310-9,"A metabolomic profile of biological aging in 250,341 individuals from the UK Biobank.",include,genetic_instrument,True,True,True,genomics_plus_other,True,True,True,True
doi:10.1038/s41467-024-52909-y,10.1038/s41467-024-52909-y,Systems biology approaches identify metabolic signatures of dietary lifespan and healthspan across species.,include,nonrandomized_intervention,True,True,False,,True,True,True,True
doi:10.1038/s41467-024-52967-2,10.1038/s41467-024-52967-2,Depletion of loss-of-function germline mutations in centenarians reveals longevity genes.,include,genetic_instrument,True,True,True,explicit_multiomics,True,True,True,True
doi:10.1038/s41467-025-59964-z,10.1038/s41467-025-59964-z,Multi-organ metabolome biological age implicates cardiometabolic conditions and mortality risk.,include,genetic_instrument,True,True,True,explicit_multiomics;genomics_plus_other,True,True,True,True
doi:10.1038/s41467-026-69412-1,10.1038/s41467-026-69412-1,Opposite effects of chronic HIV infection and antiretroviral medication on organismal and organ-specific biological aging.,include,genetic_instrument,True,True,True,epigenomics_plus_downstream,True,True,True,True
doi:10.1038/s41514-025-00205-4,10.1038/s41514-025-00205-4,Genetic determinants of proteomic aging.,include,genetic_instrument,True,True,True,genomics_plus_other,True,True,True,True
doi:10.1038/s41586-026-10524-5,10.1038/s41586-026-10524-5,Sleep chart of biological ageing clocks in middle and late life.,include,genetic_instrument,True,True,True,explicit_multiomics,True,True,True,True
doi:10.1038/s41591-025-03999-8,10.1038/s41591-025-03999-8,MRI-based multi-organ clocks for healthy aging and disease assessment,include,genetic_instrument,True,True,True,explicit_multiomics;genomics_plus_other;proteomics_plus_downstream,True,True,True,True
doi:10.1038/s41593-025-01889-3,10.1038/s41593-025-01889-3,Neuronal polyunsaturated fatty acids are protective in ALS/FTD,include,direct_perturbation,True,True,True,transcriptomics_plus_downstream,True,True,True,True
doi:10.1038/s41598-023-31115-8,10.1038/s41598-023-31115-8,Mendelian randomization analyses reveal causal relationships between the human microbiome and longevity.,include,genetic_instrument,True,True,True,genomics_plus_other,True,True,True,True
doi:10.1038/s41598-024-72281-7,10.1038/s41598-024-72281-7,Proteomic Mendelian randomization to identify protein biomarkers of telomere length.,include,genetic_instrument,True,True,True,genomics_plus_other,True,True,True,True
doi:10.1038/s43587-021-00159-8,10.1038/s43587-021-00159-8,Mendelian randomization of genetically independent aging phenotypes identifies LPA and VCAM1 as biological targets for human aging.,include,genetic_instrument,True,True,True,genomics_plus_other,True,True,True,True
doi:10.1038/s43587-026-01069-3,10.1038/s43587-026-01069-3,Estropausal gut microbiota transplant improves measures of ovarian function in adult mice.,include,nonrandomized_intervention,True,True,True,metabolomics_plus_microbiomics;transcriptomics_plus_downstream,True,True,True,True
doi:10.1038/s44319-026-00791-8,10.1038/s44319-026-00791-8,roX1 and roX2 lncRNAs promote heterochromatinization in intestinal stem cells and impair longevity.,seek_full_text,unclear,True,True,False,,True,True,True,True
doi:10.1093/ehjcvp/pvae038,10.1093/ehjcvp/pvae038,Utilizing genetics and proteomics to assess the role of antihypertensive drugs in human longevity and the underlying pathways: a Mendelian randomization study.,include,genetic_instrument,True,True,True,genomics_plus_other,True,True,True,True
doi:10.1093/hmg/ddae189,10.1093/hmg/ddae189,Integrated multi-omics analysis revealed the molecular networks and potential targets of cellular senescence in Alzheimer's disease.,include,genetic_instrument,True,True,True,epigenomics_plus_downstream;explicit_multiomics;genomics_plus_other,True,True,True,True
doi:10.1093/jmcb/mjag001,10.1093/jmcb/mjag001,Integrated single-nucleus transcriptomic and chromatin accessibility analysis reveals key molecular basis of human testicular aging.,include,direct_perturbation,True,True,True,epigenomics_plus_downstream;explicit_multiomics,True,True,True,True
doi:10.1097/md.0000000000047376,10.1097/md.0000000000047376,Multi-omics data reveal causal associations of cellular senescence-related genes in rheumatoid arthritis: A summary-data-based Mendelian randomization and co-localization analysis.,include,genetic_instrument,True,True,True,explicit_multiomics,True,True,True,True
doi:10.1097/md.0000000000047852,10.1097/md.0000000000047852,The causal relationship and metabolic mediation between telomere length and intervertebral disc degeneration: A two-stage network Mendelian randomization study.,include,genetic_instrument,True,True,True,genomics_plus_other,True,True,True,True
doi:10.1097/md.0000000000049310,10.1097/md.0000000000049310,Genetic evidence that advanced COVID-19 accelerates longitudinal brain atrophy: A Mendelian randomization study.,include,genetic_instrument,True,True,True,explicit_multiomics;genomics_plus_other;proteomics_plus_downstream,True,True,True,True
doi:10.1101/2020.07.06.20147520,10.1101/2020.07.06.20147520,A Trans-Omic Mendelian Randomization Study of Parental Lifespan Uncovers Novel Aging Biology and Drug Candidates for Human Healthspan Extension,include,genetic_instrument,True,True,True,genomics_plus_other;transcriptomics_plus_downstream,True,True,True,True
doi:10.1101/2024.07.13.24310153,10.1101/2024.07.13.24310153,"Proteome-wide Mendelian randomization study implicates inflammaging biomarkers in retinal vasculature, cardiometabolic diseases and longevity",include,genetic_instrument,True,True,True,genomics_plus_other,True,True,True,True
doi:10.1101/2025.02.08.25321911,10.1101/2025.02.08.25321911,Non-causal association between α-klotho and human lifespan: evidence from multi-omics insights,include,genetic_instrument,True,True,True,explicit_multiomics,True,True,True,True
doi:10.1101/2025.07.10.25331263,10.1101/2025.07.10.25331263,"Multi-organ MRI digitizes biological aging clocks across proteomics, metabolomics, and genetics",include,genetic_instrument,True,True,True,genomics_plus_other;proteomics_plus_downstream,True,True,True,True
doi:10.1101/2025.08.08.25333313,10.1101/2025.08.08.25333313,Sleep chart of biological aging clocks across organs and omics,include,genetic_instrument,True,True,True,proteomics_plus_downstream,True,True,True,True
doi:10.1101/2025.10.11.681821,10.1101/2025.10.11.681821,Machine learning-based definition of cellular senescence reveals pro-senescence potential implication in lung adenocarcinoma,include,direct_perturbation,True,True,True,explicit_multiomics;genomics_plus_other,True,True,True,True
doi:10.1101/2025.11.15.25340310,10.1101/2025.11.15.25340310,A photoplethysmography-based aging clock reveals genetic determinants of arterial aging,include,genetic_instrument,True,True,True,genomics_plus_other,True,True,True,True
doi:10.1111/acel.70310,10.1111/acel.70310,Biological Aging Acceleration in Major Depressive Disorder: A Multi-Omics Analysis.,include,genetic_instrument,True,True,True,explicit_multiomics,True,True,True,True
doi:10.1111/acel.70498,10.1111/acel.70498,Multi-Omics Reveals Mechanisms of Metabolic Rejuvenation in Aged Mice and Pre-Frail Older Men by Losartan.,include,randomized_intervention,True,True,True,explicit_multiomics;proteomics_plus_downstream,True,True,True,True
doi:10.1111/acel.70564,10.1111/acel.70564,Sex-Specific Regulation of the Turandot Gene Family Modulates Temperature-Dependent Lifespan in Drosophila melanogaster.,include,direct_perturbation,True,True,True,explicit_multiomics;transcriptomics_plus_downstream,True,True,True,True
doi:10.1111/acel.70581,10.1111/acel.70581,Urate-Related Genetic Risk Modulates the Anti-Aging Effects of Exogenous Nucleotides: Multi-Omics Evidence From Older Adults.,include,randomized_intervention,True,True,True,explicit_multiomics,True,True,True,True
doi:10.1111/jcpe.14040,10.1111/jcpe.14040,Association between biological ageing and periodontitis: Evidence from a cross-sectional survey and multi-omics Mendelian randomization analysis.,include,genetic_instrument,True,True,True,explicit_multiomics,True,True,True,True
doi:10.1136/heartjnl-2026-327950,10.1136/heartjnl-2026-327950,Abdominal adiposity and accelerated biological ageing in relation to general and cardiovascular ageing in Chinese adults.,include,genetic_instrument,True,True,True,epigenomics_plus_downstream,True,True,True,True
doi:10.1161/jaha.125.047447,10.1161/jaha.125.047447,Cardiomyocyte-Specific Plakophilin-2 Loss Is Sufficient to Induce Aging and Senescence of Nonmyocytes: Relevance to Arrhythmogenic Cardiomyopathy.,include,direct_perturbation,True,True,True,transcriptomics_plus_downstream,True,True,True,True
doi:10.1186/1471-2164-15-927,10.1186/1471-2164-15-927,Transcriptional and epigenetic responses to mating and aging in Drosophila melanogaster,include,direct_perturbation,True,True,True,genomics_plus_other,True,True,True,True
doi:10.1186/s11658-026-00879-y,10.1186/s11658-026-00879-y,HK2-driven histone H3K18 lactylation promotes stromal cell senescence and decidualization deficiency in URSA via CUX1-mediated SASP factor transcription.,include,direct_perturbation,True,True,True,explicit_multiomics;transcriptomics_plus_downstream,True,True,True,True
doi:10.1186/s12864-025-12016-8,10.1186/s12864-025-12016-8,Decoding the genetic architecture of women reproductive aging: multi-omic integration identifies novel loci and mechanistic pathways for precision intervention.,include,sem,True,True,True,explicit_multiomics;genomics_plus_other,True,True,True,True
doi:10.1186/s12964-026-02985-y,10.1186/s12964-026-02985-y,"Multi-omics and experimental evidence in human chondrocytes identify caspase-8 as a non-apoptotic regulator of inflammatory, senescent, and fibrotic signaling in osteoarthritis.",include,direct_perturbation,True,True,True,epigenomics_plus_downstream;explicit_multiomics;transcriptomics_plus_downstream,True,True,True,True
doi:10.1186/s12967-024-05823-2,10.1186/s12967-024-05823-2,Mendelian randomization analyses support causal relationships between gut microbiome and longevity.,include,genetic_instrument,True,True,True,genomics_plus_other,True,True,True,True
doi:10.1186/s12967-026-07766-2,10.1186/s12967-026-07766-2,Multiomics analysis reveals that senescent CXCL16<sup>+</sup> macrophages promote lung adenocarcinoma progression through TGF-β signalling.,include,direct_perturbation,True,True,True,explicit_multiomics;genomics_plus_other,True,True,True,True
doi:10.1186/s12986-025-00955-8,10.1186/s12986-025-00955-8,"Causal relationships between metabolic syndrome, plasma metabolites, and female reproductive diseases: insights from a two-step mendelian randomization approach.",include,genetic_instrument,True,True,True,genomics_plus_other,True,True,True,True
doi:10.1186/s13059-026-04118-7,10.1186/s13059-026-04118-7,Multi-omics pleiotropic association analyses reveal functionally relevant genes and druggable pathways for ovarian aging.,include,genetic_instrument,True,True,True,explicit_multiomics;genomics_plus_other,True,True,True,True
doi:10.1186/s13073-024-01322-7,10.1186/s13073-024-01322-7,Metabolome-wide Mendelian randomization for age at menarche and age at natural menopause.,include,genetic_instrument,True,True,True,genomics_plus_other,True,True,True,True
doi:10.1186/s13073-025-01558-x,10.1186/s13073-025-01558-x,Proteomic landscape of multidimensional aging phenotypes.,include,genetic_instrument,True,True,True,explicit_multiomics;proteomics_plus_downstream,True,True,True,True
doi:10.1186/s13148-026-02184-z,10.1186/s13148-026-02184-z,"Genetic and epigenetic underpinnings of biological aging: a multi-omics study integrating Mendelian randomization, spatial transcriptomics, and drug target discovery.",include,genetic_instrument,True,True,True,explicit_multiomics;genomics_plus_other,True,True,True,True
doi:10.1186/s42523-026-00590-5,10.1186/s42523-026-00590-5,Multi-omics insights into the role of microencapsulated sodium butyrate on production performance in aged quails,include,nonrandomized_intervention,True,True,True,explicit_multiomics,True,True,True,True
doi:10.1242/dmm.052935,10.1242/dmm.052935,UBA1 knockdown dysregulates the levels of UBA1-sensitive proteins and impairs muscle function in Drosophila and mice.,include,direct_perturbation,True,True,True,transcriptomics_plus_downstream,True,True,True,True
doi:10.1371/journal.pgen.1009083,10.1371/journal.pgen.1009083,Fine-tuning autophagy maximises lifespan and is associated with changes in mitochondrial gene expression in Drosophila,include,direct_perturbation,True,True,True,transcriptomics_plus_downstream,True,True,True,True
doi:10.14336/ad.2026.0356,10.14336/ad.2026.0356,Integrating AI and Causal Genetics to Prioritize Therapeutic Targets for Aging and Age-Related Diseases.,include,genetic_instrument,True,True,True,explicit_multiomics,True,True,True,True
doi:10.18632/aging.205711,10.18632/aging.205711,"Using genetics and proteomics data to identify proteins causally related to COVID-19, healthspan and lifespan: a Mendelian randomization study.",include,genetic_instrument,True,True,True,genomics_plus_other,True,True,True,True
doi:10.18632/aging.206306,10.18632/aging.206306,"Evaluating the nonlinear effects of sleep duration on biological aging across phenotypic, genomic, and epigenomic data.",include,genetic_instrument,True,True,True,genomics_plus_other,True,True,True,True
doi:10.21203/rs.3.rs-5926137/v1,10.21203/rs.3.rs-5926137/v1,"Genomics of diffusion-imaging integrating GWAS, exome data and single-cell sequencing unravels lifespan determinants of cerebral small vessel disease",include,genetic_instrument,True,False,False,,False,True,False,False
doi:10.21203/rs.3.rs-6768173/v1,10.21203/rs.3.rs-6768173/v1,Multivariate genome-wide analyses of insulin resistance phenotypes unravel novel loci and therapeutic targets for cardiometabolic health and longevity,include,genetic_instrument,True,False,False,,False,True,False,False
doi:10.21203/rs.3.rs-6850329/v1,10.21203/rs.3.rs-6850329/v1,Multiomics analyses reveal key circadian rhythm genes implicated in Premature ovarian insufficiency,include,genetic_instrument,True,False,False,,True,False,False,False
doi:10.21203/rs.3.rs-7771199/v1,10.21203/rs.3.rs-7771199/v1,Reproductive aging causes precocious ZGA and morula gene expression and chromatin hyper-activation in rhesus monkey embryos via maternal SETDB1 insufficiency,include,direct_perturbation,True,False,False,,True,True,False,False
doi:10.21203/rs.3.rs-9586760/v1,10.21203/rs.3.rs-9586760/v1,Pleiotropic genetic links between high-grade serous ovarian cancer and female reproductive timing traits,include,genetic_instrument,True,False,False,,False,False,False,False
doi:10.2147/ccid.s598554,10.2147/ccid.s598554,"Deciphering the Causal Links Among Metabolomics, Ageing Phenotypes, and Pathological Scars: A Two-Sample Mendelian Randomization Study.",include,genetic_instrument,True,True,True,genomics_plus_other,True,True,True,True
doi:10.3389/fendo.2025.1661666,10.3389/fendo.2025.1661666,Investigating the causal role of cellular senescence-related genes in preeclampsia: a multi-omics Mendelian randomization study with differential expression analysis.,include,genetic_instrument,True,True,True,explicit_multiomics;genomics_plus_other,True,True,True,True
doi:10.3389/fimmu.2024.1426474,10.3389/fimmu.2024.1426474,Multi-omics analysis and experimental validation of the value of monocyte-associated features in prostate cancer prognosis and immunotherapy,include,genetic_instrument,True,True,True,explicit_multiomics,True,True,True,True
doi:10.3389/fimmu.2026.1762222,10.3389/fimmu.2026.1762222,Machine learning-driven multi-omics integration uncovers a senescence associated molecular axis in HCC.,include,direct_perturbation,True,True,True,explicit_multiomics;proteomics_plus_downstream;transcriptomics_plus_downstream,True,True,True,True
doi:10.3389/fnagi.2024.1423725,10.3389/fnagi.2024.1423725,Senescence-related genes and proteins in the development of Alzheimer's disease: evidence from transcriptomic and Mendelian randomization analysis.,include,genetic_instrument,True,True,True,genomics_plus_other;transcriptomics_plus_downstream,True,True,True,True
doi:10.3390/biology15050441,10.3390/biology15050441,Age-Dependent Alterations in Intestinal Barrier Function: Involvement of Microbiota and TLR4 Signaling.,include,direct_perturbation,True,True,True,transcriptomics_plus_downstream,True,True,True,True
doi:10.3390/toxics14020170,10.3390/toxics14020170,Size-Dependent Disruption of Lipid Metabolism by Polystyrene Micro- and Nanoplastics in <i>Caenorhabditis elegans</i> Revealed Through Multi-Omics and Functional Genetic Validation.,include,nonrandomized_intervention,True,True,True,explicit_multiomics;transcriptomics_plus_downstream,True,True,True,True
doi:10.34172/aim.34456,10.34172/aim.34456,Prognostic Significance of HMGA1 in Hepatocellular Carcinoma: Implications for Tumor Progression and Targeted Therapy.,include,direct_perturbation,True,True,True,explicit_multiomics;transcriptomics_plus_downstream,True,True,True,True
doi:10.64898/2025.12.26.25343061,10.64898/2025.12.26.25343061,Causally-anchored multi-omic deep learning recovers exercise-responsive and ageing-causal genes from human physical activity,include,genetic_instrument,True,True,True,explicit_multiomics,True,True,True,True
doi:10.64898/2026.01.20.700435,10.64898/2026.01.20.700435,"Acetyl-CoA availability regulates neuronal metabolism, growth, and synaptic activity.",include,direct_perturbation,True,True,True,proteomics_plus_downstream;transcriptomics_plus_downstream,True,True,True,True
doi:10.64898/2026.02.01.26345311,10.64898/2026.02.01.26345311,In Silico Network Perturbation Reveals Hierarchical Roles of DNA Repair and Glycosylation Linking Exercise to Human Ageing Clocks,include,genetic_instrument,True,True,True,epigenomics_plus_downstream;explicit_multiomics;transcriptomics_plus_downstream,True,True,True,True
doi:10.64898/2026.02.02.703301,10.64898/2026.02.02.703301,Transcriptome-wide association study and fly experiments uncover the role of CoA synthase in ageing across species,include,direct_perturbation,True,True,True,genomics_plus_other,True,True,True,True
doi:10.7150/ijbs.128631,10.7150/ijbs.128631,VDR-Spermidine Axis Protects Against Age-Related Granulosa Cell Dysfunction and Follicular Decline via DNMTs-Mediated p53 Methylation.,include,direct_perturbation,True,True,False,,False,True,True,False
