record_id,doi,title,graph_root,graph_path,docling_markdown_path,source_path,graph_candidate_count,aging_construct_nodes,omics_layer_nodes,causal_analysis_nodes
doi:10.1016/j.devcel.2023.05.015,10.1016/j.devcel.2023.05.015,Genetic perturbation of AMP biosynthesis extends lifespan and restores metabolic health in a naturally short-lived vertebrate.,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_07a342ceebdda1f4/doi_07a342ceebdda1f4_docling_json_20260809_031150/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_07a342ceebdda1f4/doi_07a342ceebdda1f4_docling_json_20260809_031150/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/07a342ceebdda1f4.pdf,1,9,5,5
doi:10.1016/j.exger.2025.112815,10.1016/j.exger.2025.112815,Acupuncture modulates ovarian senescence through metabolic reprogramming: A multi-omics investigation in chemotherapy - induced POF model.,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_7dc2770675d5f172/doi_7dc2770675d5f172_docling_json_20260809_031306/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_7dc2770675d5f172/doi_7dc2770675d5f172_docling_json_20260809_031306/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/7dc2770675d5f172.pdf,1,4,2,1
doi:10.1016/j.jare.2026.07.047,10.1016/j.jare.2026.07.047,Bioorthogonal epigenetic anchoring of heterochromatin to the nuclear lamina reverses senescence and osteoarthritis.,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_edc5e71c0bdda748/doi_edc5e71c0bdda748_docling_json_20260809_031116/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_edc5e71c0bdda748/doi_edc5e71c0bdda748_docling_json_20260809_031116/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/edc5e71c0bdda748.pdf,1,8,3,5
doi:10.1016/j.jhazmat.2026.142949,10.1016/j.jhazmat.2026.142949,Gestational exposure to PP-NPs promotes premature placental ageing through global reprogramming of the trophoblast phosphoproteome,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_882aca60005956c9/doi_882aca60005956c9_docling_json_20260809_031220/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_882aca60005956c9/doi_882aca60005956c9_docling_json_20260809_031220/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/882aca60005956c9.pdf,1,7,2,3
doi:10.1016/j.jnutbio.2023.109498,10.1016/j.jnutbio.2023.109498,L-Isoleucine reverses hyperammonemia-induced myotube mitochondrial dysfunction and post-mitotic senescence,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_274d16bcef60fa06/doi_274d16bcef60fa06_docling_json_20260809_031024/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_274d16bcef60fa06/doi_274d16bcef60fa06_docling_json_20260809_031024/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/274d16bcef60fa06.html,1,4,5,3
doi:10.1016/j.jot.2025.05.010,10.1016/j.jot.2025.05.010,Activation of LAMP1-mediated lipophagy by sulforaphane inhibits cellular senescence and intervertebral disc degeneration,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_884c15a783634c31/doi_884c15a783634c31_docling_json_20260809_031122/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_884c15a783634c31/doi_884c15a783634c31_docling_json_20260809_031122/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/884c15a783634c31.pdf,1,5,2,4
doi:10.1016/j.mcpro.2024.100882,10.1016/j.mcpro.2024.100882,Single-Cell Multi-Omics Analysis of In Vitro Post-Ovulatory–Aged Oocytes Revealed Aging-Dependent Protein Degradation,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_fbbf04a8a499f7a7/doi_fbbf04a8a499f7a7_docling_json_20260809_031340/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_fbbf04a8a499f7a7/doi_fbbf04a8a499f7a7_docling_json_20260809_031340/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/fbbf04a8a499f7a7.pdf,1,4,3,2
doi:10.1016/j.phymed.2025.156697,10.1016/j.phymed.2025.156697,Vaccarin ameliorates osteoarthritis by suppressing the c-Jun N-terminal kinase (JNK)-serum amyloid A2 (SAA2) pathway mediating chondrocyte senescence.,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_7624588d3676bfc5/doi_7624588d3676bfc5_docling_json_20260809_031427/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_7624588d3676bfc5/doi_7624588d3676bfc5_docling_json_20260809_031427/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/7624588d3676bfc5.pdf,1,7,2,5
doi:10.1016/j.psj.2026.107043,10.1016/j.psj.2026.107043,Dietary supplementation with Cuscuta chinensis improves ovarian function and production performance in aged laying hens via modulation of steroid hormone biosynthesis and gut microbiota,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_2269b478af24b875/doi_2269b478af24b875_docling_json_20260809_031312/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_2269b478af24b875/doi_2269b478af24b875_docling_json_20260809_031312/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/2269b478af24b875.pdf,1,4,3,1
doi:10.1016/j.ymthe.2025.12.035,10.1016/j.ymthe.2025.12.035,Targeting KAT8 Alleviates Vascular Senescence by Modulating the INHBA/TGF-β Pathway.,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_a5ca885d7050ff94/doi_a5ca885d7050ff94_docling_json_20260809_031347/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_a5ca885d7050ff94/doi_a5ca885d7050ff94_docling_json_20260809_031347/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/a5ca885d7050ff94.html,1,11,6,5
doi:10.1038/s41392-026-02799-x,10.1038/s41392-026-02799-x,Multiomic profiling of responses to clinical and novel bisphosphonates reveals extraskeletal effects on ageing related signatures,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_a4bbea2e07b0c1db/doi_a4bbea2e07b0c1db_docling_json_20260809_031217/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_a4bbea2e07b0c1db/doi_a4bbea2e07b0c1db_docling_json_20260809_031217/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/a4bbea2e07b0c1db.pdf,1,11,5,4
doi:10.1038/s41413-025-00422-3,10.1038/s41413-025-00422-3,Sirt6 deficiency promotes senescence and age-associated intervertebral disc degeneration in mice,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_af10f681ac31970c/doi_af10f681ac31970c_docling_json_20260809_031312/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_af10f681ac31970c/doi_af10f681ac31970c_docling_json_20260809_031312/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/af10f681ac31970c.pdf,1,9,4,2
doi:10.1038/s41421-025-00860-7,10.1038/s41421-025-00860-7,IGF2BP3-dependent glutamine/BCAA metabolic rewiring rejuvenates aged human adipose-derived stem cells for enhanced tissue regeneration,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_c3af69f51ad80964/doi_c3af69f51ad80964_docling_json_20260809_031627/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_c3af69f51ad80964/doi_c3af69f51ad80964_docling_json_20260809_031627/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/c3af69f51ad80964.pdf,1,8,4,6
doi:10.1038/s41438-020-00420-y,10.1038/s41438-020-00420-y,Multiomics analyses unveil the involvement of microRNAs in pear fruit senescence under high- or low-temperature conditions,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_6b523b6e6aa043ca/doi_6b523b6e6aa043ca_docling_json_20260809_031358/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_6b523b6e6aa043ca/doi_6b523b6e6aa043ca_docling_json_20260809_031358/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/6b523b6e6aa043ca.pdf,1,3,3,2
doi:10.1038/s41467-021-23545-7,10.1038/s41467-021-23545-7,Restoration of energy homeostasis by SIRT6 extends healthy lifespan,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_52429b4b853a6782/doi_52429b4b853a6782_docling_json_20260809_031631/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_52429b4b853a6782/doi_52429b4b853a6782_docling_json_20260809_031631/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/52429b4b853a6782.pdf,1,9,5,2
doi:10.1038/s41467-023-37729-w,10.1038/s41467-023-37729-w,Multi-omic underpinnings of epigenetic aging and human longevity,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_c1b7e582e69cfca7/doi_c1b7e582e69cfca7_docling_json_20260809_031627/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_c1b7e582e69cfca7/doi_c1b7e582e69cfca7_docling_json_20260809_031627/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/c1b7e582e69cfca7.pdf,1,11,5,5
doi:10.1038/s41467-024-46037-w,10.1038/s41467-024-46037-w,Reducing the metabolic burden of rRNA synthesis promotes healthy longevity in Caenorhabditis elegans,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_5b5f58258cf21217/doi_5b5f58258cf21217_docling_json_20260809_031439/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_5b5f58258cf21217/doi_5b5f58258cf21217_docling_json_20260809_031439/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/5b5f58258cf21217.pdf,1,14,3,6
doi:10.1038/s41467-024-52967-2,10.1038/s41467-024-52967-2,Depletion of loss-of-function germline mutations in centenarians reveals longevity genes,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_cb894aff77cd5c89/doi_cb894aff77cd5c89_docling_json_20260809_031750/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_cb894aff77cd5c89/doi_cb894aff77cd5c89_docling_json_20260809_031750/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/cb894aff77cd5c89.pdf,1,12,5,1
doi:10.1038/s41467-025-59964-z,10.1038/s41467-025-59964-z,Multi-organ metabolome biological age implicates cardiometabolic conditions and mortality risk,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_011661015dd72124/doi_011661015dd72124_docling_json_20260809_031800/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_011661015dd72124/doi_011661015dd72124_docling_json_20260809_031800/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/011661015dd72124.pdf,1,5,4,1
doi:10.1038/s41467-025-61433-6,10.1038/s41467-025-61433-6,Immuno-metabolic stress responses control longevity from mitochondrial translation inhibition in C. elegans,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_4bb8968ff82f5bea/doi_4bb8968ff82f5bea_docling_json_20260809_031628/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_4bb8968ff82f5bea/doi_4bb8968ff82f5bea_docling_json_20260809_031628/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/4bb8968ff82f5bea.pdf,1,9,4,6
doi:10.1038/s41467-026-69424-x,10.1038/s41467-026-69424-x,Lack of MDA5 delays hematopoietic aging by modulating inflammaging and proteostasis in mice,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_82ae64a35463b16f/doi_82ae64a35463b16f_docling_json_20260809_031630/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_82ae64a35463b16f/doi_82ae64a35463b16f_docling_json_20260809_031630/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/82ae64a35463b16f.pdf,1,7,4,2
doi:10.1038/s41536-026-00490-x,10.1038/s41536-026-00490-x,Multi-omics profiling reveals systemic rejuvenation of the aged kidney through senolytic therapy.,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_8ba1a47eb43c7c7a/doi_8ba1a47eb43c7c7a_docling_json_20260809_031751/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_8ba1a47eb43c7c7a/doi_8ba1a47eb43c7c7a_docling_json_20260809_031751/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/8ba1a47eb43c7c7a.pdf,1,6,3,1
doi:10.1038/s41586-025-09873-4,10.1038/s41586-025-09873-4,Transient hepatic reconstitution of trophic factors enhances aged immunity,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_1acf58ac7ae612c6/doi_1acf58ac7ae612c6_docling_json_20260809_031827/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_1acf58ac7ae612c6/doi_1acf58ac7ae612c6_docling_json_20260809_031827/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/1acf58ac7ae612c6.pdf,1,5,6,4
doi:10.1038/s41586-026-10524-5,10.1038/s41586-026-10524-5,Sleep chart of biological ageing clocks in middle and late life,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_24417aa331840447/doi_24417aa331840447_docling_json_20260809_031719/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_24417aa331840447/doi_24417aa331840447_docling_json_20260809_031719/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/24417aa331840447.pdf,1,10,3,3
doi:10.1038/s41598-025-17390-7,10.1038/s41598-025-17390-7,Aqueous extract of Acer truncatum leaves retards Drosophila melanogaster senescence by regulating amino acid metabolism and gut microbiota,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_3e243ea8ca375133/doi_3e243ea8ca375133_docling_json_20260809_031816/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_3e243ea8ca375133/doi_3e243ea8ca375133_docling_json_20260809_031816/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/3e243ea8ca375133.pdf,1,8,4,2
doi:10.1038/s42003-025-08296-1,10.1038/s42003-025-08296-1,NHE7 drives endometrial cancer progression by delaying senescence through cAMP/CREB/GRIN2B axis-mediated Ca²⁺ influx,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_e0a51b9445e1bff7/doi_e0a51b9445e1bff7_docling_json_20260809_031854/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_e0a51b9445e1bff7/doi_e0a51b9445e1bff7_docling_json_20260809_031854/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/e0a51b9445e1bff7.pdf,1,4,2,4
doi:10.1038/s42255-020-0200-2,10.1038/s42255-020-0200-2,NFYB-1 regulates mitochondrial function and longevity via lysosomal prosaposin.,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_02c224052043b27f/doi_02c224052043b27f_docling_json_20260809_031632/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_02c224052043b27f/doi_02c224052043b27f_docling_json_20260809_031632/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/02c224052043b27f.html,1,5,3,3
doi:10.1038/s42255-026-01515-x,10.1038/s42255-026-01515-x,Redox rhythms promote fitness by modulating ageing-dependent reprogramming.,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_8b762107e7ec22eb/doi_8b762107e7ec22eb_docling_json_20260809_031836/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_8b762107e7ec22eb/doi_8b762107e7ec22eb_docling_json_20260809_031836/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/8b762107e7ec22eb.html,1,8,6,4
