record_id,title,primary_decision,primary_reason,retry_decision,retry_exclusion_code,retry_reason,retry_manual_review_reason,retry_scope_runs,retry_causal_runs
doi:10.1093/jimmun/vkaf283.2039,NFATc1 transcription factor regulates human B-cell development in early life 4341,manual_review,role_execution_failed,exclude,EC3,five_of_five_same_scope_exclusion,,5,0
doi:10.1093/jmcb/mjag005,Sarm1-containing extrachromosomal circular DNA promotes aging-associated cardiac fibrosis via TGF-β/Smad activation.,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.1093/neuped/wuaf001.003,ATRT-03. Targeting nuclear export as a potent therapeutic strategy in atypical teratoid/rhabdoid tumors,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.1093/schbul/sbae044,Shared Genetic Determinants of Schizophrenia and Autism Spectrum Disorder Implicate Opposite Risk Patterns: A Genome-Wide Analysis of Common Variants.,manual_review,role_execution_failed,exclude,EC3,five_of_five_same_scope_exclusion,,5,0
doi:10.1097/aog.0000000000006265.01,JSOG Presenter: Multi-omics Analysis of Stem Cells Established From Aged Individuals to Seek Aging Regulatory Factors [ID 3398],manual_review,role_execution_failed,seek_full_text,none,scope_unresolved_or_nonunanimous_exclusion,,5,0
doi:10.1097/hep.0000000000001304,"CAD manipulates tumor intrinsic DHO/UBE4B/NF-κB pathway and fuels macrophage cross-talk, promoting hepatocellular carcinoma metastasis.",manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.1097/ju.0000000000002591.09,MP37-09 PROSTATE BIOPSY TISSUE CORES OBTAINED FROM THE TRANSPERINEAL APPROACH HARBOR FEWER MICROBIAL SPECIES AND LOWER MICROBIAL RESEMBLANCE TO THE RECTAL FLORA RELATIVE TO THOSE OBTAINED TRANSRECTALLY,manual_review,role_execution_failed,seek_full_text,none,scope_unresolved_or_nonunanimous_exclusion,,5,0
doi:10.1097/md.0000000000043388,Unraveling the causal nexus between serum lactate levels and cancer risk: A Mendelian randomization study,manual_review,role_execution_failed,exclude,EC3,five_of_five_same_scope_exclusion,,5,0
doi:10.1098/rstb.2023.0054,"On epigenetic stochasticity, entropy and cancer risk.",manual_review,role_execution_failed,exclude,EC1,five_of_five_same_scope_exclusion,,5,0
doi:10.1101/2022.01.18.22269350,"Single-nuclei paired multiomic analysis of young, aged, and Parkinson's disease human midbrain reveals age-associated glial changes and their contribution to Parkinson's disease",manual_review,role_execution_failed,exclude,EC5,five_of_five_same_sufficient_causal_exclusion,,5,5
doi:10.1101/2022.07.11.22277435,Systems-level patterns in biological processes are changed under prolongevity interventions and across biological age,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.1101/2024.05.06.592653,Functional and multi-omic aging rejuvenation with GLP-1R agonism,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.1101/2025.02.28.640792,"Integrating genomic, transcriptomic and epigenetic data to identify phenotypically impactful driver pathways in glioblastoma",manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.1111/acel.13492,Many chronological aging clocks can be found throughout the epigenome: Implications for quantifying biological aging.,manual_review,role_execution_failed,exclude,EC4,five_of_five_same_scope_exclusion,,5,0
doi:10.1126/science.adi5199,Single-cell genomics and regulatory networks for 388 human brains,manual_review,role_execution_failed,exclude,EC5,five_of_five_same_sufficient_causal_exclusion,,5,5
doi:10.1126/scitranslmed.aaa5843,Vinculin network–mediated cytoskeletal remodeling regulates contractile function in the aging heart,manual_review,role_execution_failed,seek_full_text,none,positive_causal_basis,,5,5
doi:10.1136/lupus-2020-eurolupus.147,P103 Aberrant DNA damage response of B cell populations in systemic lupus erythematosus,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.1158/1538-7445.am2023-909,Abstract 909: Single-cell multi-omics reveals type-2 function and metabolic fitness in maintaining CAR T cell longevity associated with 8-year leukemia remission,manual_review,role_execution_failed,seek_full_text,none,scope_unresolved_or_nonunanimous_exclusion,,5,0
doi:10.1158/1557-3265.sabcs24-ps13-04,Abstract PS13-04: DREAM complex assembly and stable cell cycle control underlies long-term clinical response to CDK4/6 inhibition,manual_review,role_execution_failed,seek_full_text,none,positive_causal_basis,,5,5
doi:10.1161/circresaha.124.325685,Biophysical and Biochemical Roles of Shear Stress on Endothelium: A Revisit and New Insights.,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.1161/str.55.suppl_1.69,Abstract 69: Epigenetic Age and Brain Health Events: Findings From the Health and Retirement Study,manual_review,role_execution_failed,seek_full_text,none,scope_unresolved_or_nonunanimous_exclusion,,5,0
doi:10.1177/00220345251332885,The Role of Gut Microbiome in Temporomandibular Joint Disorder Pathogenesis,manual_review,role_execution_failed,exclude,EC3,five_of_five_same_scope_exclusion,,5,0
doi:10.1182/blood-2022-159124,A Circulating Microbial Metabolite Drives the Clonal Expansion of Pre-Leukemic Cells,manual_review,role_execution_failed,exclude,EC3,five_of_five_same_scope_exclusion,,5,0
doi:10.1182/blood-2024-202567,The Mechanism of Cell Autonomous Inflammation in VEXAS Syndrome Is Mediated By Proteotoxic Stress,manual_review,role_execution_failed,exclude,EC3,five_of_five_same_scope_exclusion,,5,0
doi:10.1182/blood-2025-1693,Multi-omics unveils ER stress-driven pDC-like leukemia stem cells in pDC-AML,manual_review,role_execution_failed,exclude,EC3,five_of_five_same_scope_exclusion,,5,0
doi:10.1182/blood-2025-4980,Imputing causality from single-cell transcriptomics in paroxysmal nocturnal hemoglobinuria,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.1182/blood-2025-978,Perturbation of iNKT differentiation during clonal hematopoiesis from rewiring of inflammation and lipid presentation,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.1186/s12866-026-04987-9,Integrated analysis of the gut mycobiota and plasma metabolome reveals mortality and age-specific characteristics in sepsis,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.1186/s12951-025-03764-6,Chinese leek-derived extracellular vesicles ameliorate sarcopenia by regulating mitochondrial biogenesis and autophagy via AMPK and maintaining myosin homeostasis,manual_review,role_execution_failed,exclude,EC3,five_of_five_same_scope_exclusion,,5,0
doi:10.1186/s12974-026-03851-x,Plasma proteome in LGI-1 autoimmune encephalitis,manual_review,role_execution_failed,exclude,EC3,five_of_five_same_scope_exclusion,,5,0
doi:10.1186/s13059-017-1185-3,Diverse interventions that extend mouse lifespan suppress shared age-associated epigenetic changes at critical gene regulatory regions.,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.1186/s13148-026-02184-z_reference.pdf,"Genetic and epigenetic underpinnings of biological aging: a multi-omics study integrating Mendelian randomization, spatial transcriptomics, and drug target …",manual_review,role_execution_failed,seek_full_text,none,positive_causal_basis,,5,5
doi:10.1186/s40001-025-03211-0,The Sirt3–CD38 axis induces mitochondrial dysfunction in hypertrophied heart by regulating mitochondrial calcium overload,manual_review,role_execution_failed,exclude,EC3,five_of_five_same_scope_exclusion,,5,0
doi:10.1186/scrt138,From cytogenomic to epigenomic profiles: monitoring the biologic behavior of in vitro cultured human bone marrow mesenchymal stem cells,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.1210/jendso/bvab048.1334,An Epigenomic Signature in Children Born Small for Gestational Age (SGA) With “Catch-up” Growth Is Present From Birth and Predicts Early Adulthood Pre-Hypertension,manual_review,role_execution_failed,exclude,EC3,five_of_five_same_scope_exclusion,,5,0
doi:10.1371/journal.pone.0298172,Investigating the association between blood metabolites and telomere length: A mendelian randomization study,manual_review,role_execution_failed,exclude,EC3,five_of_five_same_scope_exclusion,,5,0
doi:10.2174/0115734099401120251101190026,"Integrating Multi-omics, Mendelian Randomization, and Experimental Validation to Unveil the Role of Traditional Chinese Medicine in Postmenopausal Osteoporosis.",manual_review,role_execution_failed,exclude,EC3,five_of_five_same_scope_exclusion,,5,0
doi:10.2337/db24-332-or,332-OR: Multiomic Profiling of Extended Honeymoon Unveils New Therapeutic Targets,manual_review,role_execution_failed,exclude,EC3,five_of_five_same_scope_exclusion,,5,0
doi:10.29219/fnr.v69.11923,Aged garlic attenuates neuroinflammation via modulating the NF-κB pathway: Insights from multi-omics analyses,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.3389/fpsyt.2025.1730143,Brain imaging data and summary data-based Mendelian randomization analysis reveal the impact of multiorgan aging on schizophrenia.,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.3389/fragi.2026.1794192,The microbiome-gerogene axis: a new frontier in precision geromedicine.,manual_review,role_execution_failed,exclude,EC1,five_of_five_same_scope_exclusion,,5,0
doi:10.3390/metabo12060472,Characterizing the Flavor Precursors and Liberation Mechanisms of Various Dry-Aging Methods in Cull Beef Loins Using Metabolomics and Microbiome Approaches,manual_review,role_execution_failed,exclude,EC3,five_of_five_same_scope_exclusion,,5,0
doi:10.3390/nu17223607,Luteolin Alleviates Vascular Senescence Through Retinoic Acid-Peroxisome Proliferator-Activated Receptor Signaling and Lipid Metabolism Remodeling Combined with Multi-Omics Analysis.,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.3760/cma.j.cn501225-20240830-00320,[Multi-omics Mendelian randomization study on the causality between non-ionizing radiation and facial aging].,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.4137/grsb.s13204,Pathway Analysis of ChIP-Seq-Based NRF1 Target Genes Suggests a Logical Hypothesis of their Involvement in the Pathogenesis of Neurodegenerative Diseases.,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.7150/thno.105299,Serine supplementation suppresses hypoxia-induced pathological retinal angiogenesis,manual_review,role_execution_failed,exclude,EC3,five_of_five_same_scope_exclusion,,5,0
doi:10.7754/clin.lab.2024.240701,METTL7A as a New Candidate Biomarker in Gastric Cancer by Genomics and Data-Independent Acquisition Proteomic Analysis.,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
no-doi:f92c9780591c0a8ae3ac0c97,375 Decoding cardiovascular biological ageing using an AI-derived ECG age clock with multi-omic integration,manual_review,role_execution_failed,seek_full_text,none,positive_causal_basis,,5,5
