document_id,doi,title,record_id,source_format,source_path,source_bytes,source_sha256,retrieval_status
doi_24094b90a58a9e3c,10.1007/s13238-021-00894-z,"Unveiling E2F4, TEAD1 and AP-1 as regulatory transcription factors of the replicative senescence program by multi-omics analysis.",doi:10.1007/s13238-021-00894-z,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/24094b90a58a9e3c.pdf,5893115,a0376708bf57d839aa942942e4c3fd5dd9fe3554f759762dd5611f0c0e8bf427,downloaded_pdf
doi_d6b8a2976255b1df,10.1016/j.ccell.2024.09.002,Midkine as a driver of age-related changes and increase in mammary tumorigenesis,doi:10.1016/j.ccell.2024.09.002,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/d6b8a2976255b1df.pdf,4732269,522ea426b6f8406da17045649c105df21bccbf24829604eabf32bbd16daeb902,downloaded_pdf
doi_32772415017189df,10.1016/j.celrep.2024.115099,The glial UDP-glycosyltransferase Ugt35b regulates longevity by maintaining lipid homeostasis in Drosophila.,doi:10.1016/j.celrep.2024.115099,html,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/32772415017189df.html,551611,6b1ef6eea674891a4bab2b58861e84aa62eacf0fe922e6b2b90560ffd874c26b,downloaded_html
doi_d31ae414f9d4401c,10.1016/j.celrep.2025.116795,Age-independent and targetable transcription factor networks regulating CD8+ T cell senescence in aging humans,doi:10.1016/j.celrep.2025.116795,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/d31ae414f9d4401c.pdf,4295829,1530638e05047b4a431d97026546d5397d3f8f3f3c926baf5baf2717c1f22500,downloaded_pdf
doi_d83dc5cb41628ad5,10.1016/j.cels.2021.09.005,Multiomic profiling of the liver across diets and age in a diverse mouse population.,doi:10.1016/j.cels.2021.09.005,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/d83dc5cb41628ad5.pdf,38941616,e93b17db8edfcee0f54e1026a811899911157bd939d6a3f81798dd41acdcddf0,downloaded_pdf
doi_07a342ceebdda1f4,10.1016/j.devcel.2023.05.015,Genetic perturbation of AMP biosynthesis extends lifespan and restores metabolic health in a naturally short-lived vertebrate.,doi:10.1016/j.devcel.2023.05.015,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/07a342ceebdda1f4.pdf,16241050,8291cdfd989f49f9a4cf5a6dc5e0f4dc524c201d8c26a509b6ebcb483bea8335,downloaded_pdf
doi_7dc2770675d5f172,10.1016/j.exger.2025.112815,Acupuncture modulates ovarian senescence through metabolic reprogramming: A multi-omics investigation in chemotherapy - induced POF model.,doi:10.1016/j.exger.2025.112815,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/7dc2770675d5f172.pdf,8034790,2af4f8c3704747b94ab537de53f9dd6ff65500465b4cd17ae00f13fac8110f91,downloaded_pdf
doi_edc5e71c0bdda748,10.1016/j.jare.2026.07.047,Bioorthogonal epigenetic anchoring of heterochromatin to the nuclear lamina reverses senescence and osteoarthritis.,doi:10.1016/j.jare.2026.07.047,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/edc5e71c0bdda748.pdf,6977796,7009a546beab350a82c2d88b7b95c1f416b0e6bf9ba00099425524a689d2d9e5,downloaded_pdf
doi_882aca60005956c9,10.1016/j.jhazmat.2026.142949,Gestational exposure to PP-NPs promotes premature placental ageing through global reprogramming of the trophoblast phosphoproteome,doi:10.1016/j.jhazmat.2026.142949,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/882aca60005956c9.pdf,25770831,03aa7ddc7e59b9db3970d5cf80d9a3193641cdcbb8d4e6ba702dc66cd068ba05,downloaded_pdf
doi_274d16bcef60fa06,10.1016/j.jnutbio.2023.109498,L-Isoleucine reverses hyperammonemia-induced myotube mitochondrial dysfunction and post-mitotic senescence,doi:10.1016/j.jnutbio.2023.109498,html,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/274d16bcef60fa06.html,248659,75793afcfe79e2ce100eeb29574d15cb162e796e5f6e340de5c359a66e341cee,downloaded_html
doi_884c15a783634c31,10.1016/j.jot.2025.05.010,Activation of LAMP1-mediated lipophagy by sulforaphane inhibits cellular senescence and intervertebral disc degeneration,doi:10.1016/j.jot.2025.05.010,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/884c15a783634c31.pdf,17817055,afd4e5543832b1cc92db267c386e4b83b6b4e33399331ce1a9a18b028c499c91,downloaded_pdf
doi_fbbf04a8a499f7a7,10.1016/j.mcpro.2024.100882,Single-Cell Multi-Omics Analysis of In Vitro Post-Ovulatory–Aged Oocytes Revealed Aging-Dependent Protein Degradation,doi:10.1016/j.mcpro.2024.100882,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/fbbf04a8a499f7a7.pdf,5484288,76b5e8261d59dfe7a25b7449bb4c6d83e09e65d4a966eb19ccfaf5d9d3040188,downloaded_pdf
doi_7624588d3676bfc5,10.1016/j.phymed.2025.156697,Vaccarin ameliorates osteoarthritis by suppressing the c-Jun N-terminal kinase (JNK)-serum amyloid A2 (SAA2) pathway mediating chondrocyte senescence.,doi:10.1016/j.phymed.2025.156697,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/7624588d3676bfc5.pdf,16858835,71684d8325da4b7cd27d7eb09b6a1fd51fbc6101e694cd25921234f22c459487,downloaded_pdf
doi_2269b478af24b875,10.1016/j.psj.2026.107043,Dietary supplementation with Cuscuta chinensis improves ovarian function and production performance in aged laying hens via modulation of steroid hormone biosynthesis and gut microbiota,doi:10.1016/j.psj.2026.107043,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/2269b478af24b875.pdf,10391959,cd6cb73c7947831f9d1e951e098a97f0dddd06bba19cc0a42d0eab73feaf89bc,downloaded_pdf
doi_a5ca885d7050ff94,10.1016/j.ymthe.2025.12.035,Targeting KAT8 Alleviates Vascular Senescence by Modulating the INHBA/TGF-β Pathway.,doi:10.1016/j.ymthe.2025.12.035,html,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/a5ca885d7050ff94.html,328965,4c901c77daeb4f53b82b8c7d574ec4542112d0bc54ba4a28fdabbb8939e3f620,downloaded_html
doi_a4bbea2e07b0c1db,10.1038/s41392-026-02799-x,Multiomic profiling of responses to clinical and novel bisphosphonates reveals extraskeletal effects on ageing related signatures,doi:10.1038/s41392-026-02799-x,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/a4bbea2e07b0c1db.pdf,18642753,b879da51067545e7300fdd3b0d688f27fd7637ce997a9dedc16500e2e034fbdc,downloaded_pdf
doi_af10f681ac31970c,10.1038/s41413-025-00422-3,Sirt6 deficiency promotes senescence and age-associated intervertebral disc degeneration in mice,doi:10.1038/s41413-025-00422-3,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/af10f681ac31970c.pdf,9364673,cb3635f84feb04ca4209398e4523b52bdcd2c4eee35d03602eed288c15d90ac4,downloaded_pdf
doi_c3af69f51ad80964,10.1038/s41421-025-00860-7,IGF2BP3-dependent glutamine/BCAA metabolic rewiring rejuvenates aged human adipose-derived stem cells for enhanced tissue regeneration,doi:10.1038/s41421-025-00860-7,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/c3af69f51ad80964.pdf,11783049,4813ab055f3b96381d9627ddb5599bfcb63d5152339112e26d9525cccf61e273,downloaded_pdf
doi_6b523b6e6aa043ca,10.1038/s41438-020-00420-y,Multiomics analyses unveil the involvement of microRNAs in pear fruit senescence under high- or low-temperature conditions,doi:10.1038/s41438-020-00420-y,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/6b523b6e6aa043ca.pdf,1293369,7db0d8e705f7c27bff3fa2fbb93cd0bc872f29659e42cb3a90822b94220acc81,downloaded_pdf
doi_52429b4b853a6782,10.1038/s41467-021-23545-7,Restoration of energy homeostasis by SIRT6 extends healthy lifespan,doi:10.1038/s41467-021-23545-7,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/52429b4b853a6782.pdf,2011229,ebfdf17455716b6c7b19e5c132f2329bd2c66a0910b00f937d1bf50f656407a8,downloaded_pdf
doi_c1b7e582e69cfca7,10.1038/s41467-023-37729-w,Multi-omic underpinnings of epigenetic aging and human longevity,doi:10.1038/s41467-023-37729-w,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/c1b7e582e69cfca7.pdf,2278963,198beddf50407ef1a977b4302a99a5d102c73f063576acff3924eb30978a5836,downloaded_pdf
doi_5b5f58258cf21217,10.1038/s41467-024-46037-w,Reducing the metabolic burden of rRNA synthesis promotes healthy longevity in Caenorhabditis elegans,doi:10.1038/s41467-024-46037-w,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/5b5f58258cf21217.pdf,2003400,b8838be9fb843744456657152601e77e529bd04d35381acf6ca4b2cfe398d32e,downloaded_pdf
doi_cb894aff77cd5c89,10.1038/s41467-024-52967-2,Depletion of loss-of-function germline mutations in centenarians reveals longevity genes,doi:10.1038/s41467-024-52967-2,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/cb894aff77cd5c89.pdf,12972469,d61237f3ff4b58f1b7cb1e22675ef572dd0266bc7c9fd1751aff9ffb2c50861f,downloaded_pdf
doi_011661015dd72124,10.1038/s41467-025-59964-z,Multi-organ metabolome biological age implicates cardiometabolic conditions and mortality risk,doi:10.1038/s41467-025-59964-z,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/011661015dd72124.pdf,3390045,ace25a7fa40da4633afbc38bcc9c38e22961d79e7014798145836abc66565d4c,downloaded_pdf
doi_4bb8968ff82f5bea,10.1038/s41467-025-61433-6,Immuno-metabolic stress responses control longevity from mitochondrial translation inhibition in C. elegans,doi:10.1038/s41467-025-61433-6,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/4bb8968ff82f5bea.pdf,3628928,dc09528be2d3bddc5f7eb4f1413634cb438f36f64e5d197f1585396876ba648e,downloaded_pdf
doi_82ae64a35463b16f,10.1038/s41467-026-69424-x,Lack of MDA5 delays hematopoietic aging by modulating inflammaging and proteostasis in mice,doi:10.1038/s41467-026-69424-x,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/82ae64a35463b16f.pdf,6138039,57dac909dc32212e6c3a988b48a13e18cf292625332bb49a80d22916232d571d,downloaded_pdf
doi_8ba1a47eb43c7c7a,10.1038/s41536-026-00490-x,Multi-omics profiling reveals systemic rejuvenation of the aged kidney through senolytic therapy.,doi:10.1038/s41536-026-00490-x,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/8ba1a47eb43c7c7a.pdf,7882673,a7a3bff18671874eca0c0a5642653d2c53b1b0f85b35552f82244f9a9817a85e,downloaded_pdf
doi_1acf58ac7ae612c6,10.1038/s41586-025-09873-4,Transient hepatic reconstitution of trophic factors enhances aged immunity,doi:10.1038/s41586-025-09873-4,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/1acf58ac7ae612c6.pdf,14293514,7509e643dfa91c061ada74dadac9c707fe08247d43fe3104261b46c2d573c3cf,downloaded_pdf
doi_24417aa331840447,10.1038/s41586-026-10524-5,Sleep chart of biological ageing clocks in middle and late life,doi:10.1038/s41586-026-10524-5,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/24417aa331840447.pdf,46279542,02c6c6424332b4a96078bd690dc2a8e0fba6c06f5b90f440e9e178d9ec31eadb,downloaded_pdf
doi_3e243ea8ca375133,10.1038/s41598-025-17390-7,Aqueous extract of Acer truncatum leaves retards Drosophila melanogaster senescence by regulating amino acid metabolism and gut microbiota,doi:10.1038/s41598-025-17390-7,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/3e243ea8ca375133.pdf,5385424,fe88e48b53c6bfdc133f85fffa1277b4dd4a5ffdaa092a80491d10b9fa899bff,downloaded_pdf
doi_e0a51b9445e1bff7,10.1038/s42003-025-08296-1,NHE7 drives endometrial cancer progression by delaying senescence through cAMP/CREB/GRIN2B axis-mediated Ca²⁺ influx,doi:10.1038/s42003-025-08296-1,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/e0a51b9445e1bff7.pdf,12601416,e6f5744d7a9dc6414ad940b66b89db91fb11aa85e5cce9eea1e51dcb37031aca,downloaded_pdf
doi_02c224052043b27f,10.1038/s42255-020-0200-2,NFYB-1 regulates mitochondrial function and longevity via lysosomal prosaposin.,doi:10.1038/s42255-020-0200-2,html,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/02c224052043b27f.html,232155,9d855edad0516e9d1d3949494ecc53620a45446c8bd1eb78f2ad17b3b7fa8bd6,downloaded_html
doi_8b762107e7ec22eb,10.1038/s42255-026-01515-x,Redox rhythms promote fitness by modulating ageing-dependent reprogramming.,doi:10.1038/s42255-026-01515-x,html,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/8b762107e7ec22eb.html,322680,5bc5a03a584e9a4cf143a47c32f94c89fcde91102d21406e9a53bae5a12d80b7,downloaded_html
doi_48e3a065d7269ec5,10.1038/s43587-023-00451-9,Multi-omic rejuvenation and lifespan extension upon exposure to youthful circulation,doi:10.1038/s43587-023-00451-9,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/48e3a065d7269ec5.pdf,16274460,9625be44f897245bda3b79cc820aba26d745f59cdbcd3e8d97cf33cec4395566,downloaded_pdf
doi_f488107ae51ecd57,10.1038/s43587-023-00460-8,Impaired BCAA catabolism in adipose tissues promotes age-associated metabolic derangement.,doi:10.1038/s43587-023-00460-8,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/f488107ae51ecd57.pdf,3843766,550ec1c54790c661985f823fe3066e63df1dc4e1c09030c8056608976cb0b314,downloaded_pdf
doi_ed7083b490beff1d,10.1038/s43587-026-01100-7,Multiomic single-cell perturbation screens reveal critical lncRNA regulators of senescence.,doi:10.1038/s43587-026-01100-7,html,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/ed7083b490beff1d.html,345774,690dbdb76923e5cea121e40a97b24bd69ade23ba35ec4935a47490cefabace73,downloaded_html
doi_9bd21f903f00005b,10.1080/15548627.2025.2561073,Urolithin Α modulates inter-organellar communication via calcium-dependent mitophagy to promote healthy ageing,doi:10.1080/15548627.2025.2561073,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/9bd21f903f00005b.pdf,5081362,ec0873780127981c89c675eb7a0879cf734cec9bea077008f5bc997649c5b2d8,downloaded_pdf
doi_3095090048b86d78,10.1093/bib/bbag271,StackAge: an ensemble-based clock for precise quantification of biological age using multi-omics data,doi:10.1093/bib/bbag271,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/3095090048b86d78.pdf,2136331,cbd6d743950759ff665f2018cbd372989777abe1466f99eec580053fb0bb7426,downloaded_pdf
doi_90f90bb445a6eae7,10.1093/brain/awaf282,Compensatory roles of STT3A and ALG5 in glucose metabolism of aged macaque hippocampus.,doi:10.1093/brain/awaf282,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/90f90bb445a6eae7.pdf,2931107,189054e7b9f6dbb79a19ec6ee111b14cb07ff7b908836abeff02f89a892c0636,downloaded_pdf
doi_4d8760b707f819ef,10.1093/eurheartj/ehad361,Subclinical atherosclerosis and accelerated epigenetic age mediated by inflammation: a multi-omics study,doi:10.1093/eurheartj/ehad361,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/4d8760b707f819ef.pdf,1355073,22759bb58e39a4e8d72af86c88dde2383fd683a010eafb715930244383611723,downloaded_pdf
doi_f3d339a73c7aa4dd,10.1093/geroni/igaa057.414,Metabolic Regulation of Longevity by One-Carbon Metabolism and Flavin-Containing Monooxygenase,doi:10.1093/geroni/igaa057.414,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/f3d339a73c7aa4dd.pdf,48509,de2ee264450c620bde7db004aa45228d920885c0d5b71b6c7e2eeebd662b9571,downloaded_pdf
doi_ce9a3dd301976d15,10.1093/geroni/igac059.2661,OXR1 STABILIZES THE RETROMER TO EXTEND LIFESPAN AND NEURONAL HEALTH BY DIETARY RESTRICTION,doi:10.1093/geroni/igac059.2661,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/ce9a3dd301976d15.pdf,48542,7cfb87aa33e744741523302d30edf4d88c36285d260762daaf2f5aee31c6458d,downloaded_pdf
doi_31256d2cb54f929e,10.1093/geroni/igad104.1942,BIOLOGICAL AGE REDUCTION AND LIFESPAN EXTENSION UPON YOUTHFUL CIRCULATION EXPOSURE,doi:10.1093/geroni/igad104.1942,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/31256d2cb54f929e.pdf,50391,dcf3ca44d96a0e8f3383b747292daf47f68d0143a60942c092b359854a8d4c6c,downloaded_pdf
doi_5cbb907c49d1a9a4,10.1093/geroni/igae098.2630,MULTIMODEL APPROACHES IDENTIFY CONSERVED ROLE OF TRP CATABOLIC PATHWAY IN THE REGULATION OF LIFE- AND HEALTHSPAN,doi:10.1093/geroni/igae098.2630,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/5cbb907c49d1a9a4.pdf,1119521,ca10bdce6b4f793fa5cd4383ef05c9261f3c67e38006ce6968af58ce4eb8043b,downloaded_pdf
doi_4a012b9c4a8fd193,10.1093/geroni/igaf122.3850,Targeting Vascular Aging in Progeria by mTOR Inhibitors from Multi-Omics Screening,doi:10.1093/geroni/igaf122.3850,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/4a012b9c4a8fd193.pdf,1018051,d75122e4fc77809b4982d517091304919c74007b26b6033964d006dc0eaff86b,downloaded_pdf
doi_02d3a54d640a3ffc,10.1093/plphys/kiaa034,Multi-omics approach reveals the contribution of KLU to leaf longevity and drought tolerance.,doi:10.1093/plphys/kiaa034,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/02d3a54d640a3ffc.pdf,1622925,4b0193f4e553e0bdb73c746e969255399bcd04ff42a0c54ba9ef26e007bf841b,downloaded_pdf
doi_7aff681a45fab3b3,10.1097/md.0000000000047376,Multi-omics data reveal causal associations of cellular senescence-related genes in rheumatoid arthritis: A summary-data-based Mendelian randomization and co-localization analysis.,doi:10.1097/md.0000000000047376,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/7aff681a45fab3b3.pdf,2682273,4a5bc9fcec3e462a55d9e1ff6cf194c12bf349de44db78cdb343a7eea5276fc7,downloaded_pdf
doi_dbb18a29ffa90eda,10.1101/2025.10.29.685384,The Age-Dependent Resident Myonuclear Multi-Omic Response to a Skeletal Muscle Hypertrophic Stimulus,doi:10.1101/2025.10.29.685384,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/dbb18a29ffa90eda.pdf,6796676,f66959d3cd2ecc9d22af29190f6a5c4af4f07871da6d5bb898d41aff6a272ee8,downloaded_pdf
doi_3235f5ac26693f37,10.1111/acel.13497,A trans-omic Mendelian randomization study of parental lifespan uncovers novel aging biology and therapeutic candidates for chronic diseases.,doi:10.1111/acel.13497,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/3235f5ac26693f37.pdf,2460908,1c8938662e1bad1bbd0a0d2d4162b6b1aea5f9f91808dcb8ca8c2ceceed79540,downloaded_pdf
doi_f0e85b815134bf55,10.1111/acel.13852,Dysregulated cellular redox status during hyperammonemia causes mitochondrial dysfunction and senescence by inhibiting sirtuin‐mediated deacetylation,doi:10.1111/acel.13852,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/f0e85b815134bf55.pdf,6250858,e1ff7b365b6039c10805ea61e1aeadc68e40ec884308db22d713092a0c53eeac,downloaded_pdf
doi_682a64714ac9f395,10.1111/acel.70064,Aged Gut Microbiota Contributes to Cognitive Impairment and Hippocampal Synapse Loss in Mice,doi:10.1111/acel.70064,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/682a64714ac9f395.pdf,11389269,f8851764b247308bf203dcb0708b5ea8aa243e942e812b191e88a52a337f9590,downloaded_pdf
doi_23b791406911bbd7,10.1111/acel.70103,Multi-Omics Analysis Reveals Biomarkers That Contribute to Biological Age Rejuvenation in Response to Single-Blinded Randomized Placebo-Controlled Therapeutic Plasma Exchange.,doi:10.1111/acel.70103,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/23b791406911bbd7.pdf,5322048,6e9fbf03cb053bf02fee3f507954da54edc8b5c084a7d99d44657058cf6098ea,downloaded_pdf
doi_6a6e108f4e0bb76a,10.1111/acel.70328,Multi-Omics Analysis Reveals Photodynamic Therapy Ameliorating Skin Photoaging by Improving Cellular Senescence Through Mitohormesis-Mediated Reduction of Citrate Content.,doi:10.1111/acel.70328,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/6a6e108f4e0bb76a.pdf,3748812,f927adddcd178226d49cfbbfcd2b7d66b645740f7a0da71d75f379af07160046,downloaded_pdf
doi_c94b578c4f19a44d,10.1111/acel.70498,Multi-Omics Reveals Mechanisms of Metabolic Rejuvenation in Aged Mice and Pre-Frail Older Men by Losartan.,doi:10.1111/acel.70498,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/c94b578c4f19a44d.pdf,5266332,c37c6d568c3667d74ab17fba3e4f1d9ebe284c9522ed52376983322457b0e2b6,downloaded_pdf
doi_7dcaf0c9d1fcc1f3,10.1111/acel.70564,Sex-Specific Regulation of the Turandot Gene Family Modulates Temperature-Dependent Lifespan in Drosophila melanogaster.,doi:10.1111/acel.70564,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/7dcaf0c9d1fcc1f3.pdf,1105949,b30a339d5720b00a021927632252b8586e9c59f9fff675a0e80c7b36a9f499ca,downloaded_pdf
doi_3a71e49045b4f0b5,10.1126/sciadv.adu2294,Multiomic identification of senescent stem cell populations critical for osteoarthritis progression and therapy in subchondral bones.,doi:10.1126/sciadv.adu2294,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/3a71e49045b4f0b5.pdf,19692478,7036db3cd9ffb55e670a39cd7ca32ed7099786a62acc5922691cf5642c4b3d15,downloaded_pdf
doi_c3e25e42195e076b,10.1128/msystems.01665-24,Microbiota-derived indole acetic acid extends lifespan through the AhR-Sirt2 pathway in Drosophila,doi:10.1128/msystems.01665-24,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/c3e25e42195e076b.pdf,3278077,5f122dbdfbc3ec61a775bbc79b98bc9282b587b1be57ee69b895bc0552112468,downloaded_pdf
doi_bdba62868d595869,10.1161/circresaha.125.327427,LATS1/2-CD38 Metabolic Rewiring Links Senescence to Intraplaque Thrombosis.,doi:10.1161/circresaha.125.327427,html,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/bdba62868d595869.html,346717,a521db60104ecbfcaadfb669c485ed7858704c04c4b1d47ea433b612eb5468b2,downloaded_html
