record_id,title,provenance,final_decision,final_exclusion_code,decision_reason,five_request_route_exact,five_request_route_sequence,all_tracked_fields_exact,disagreement_fields
doi:10.1007/s11306-023-02022-w,The metabolic contribution of SKN-1/Nrf2 to the lifespan of Caenorhabditis elegans.,grounding_retry,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1007/s13238-021-00894-z,"Unveiling E2F4, TEAD1 and AP-1 as regulatory transcription factors of the replicative senescence program by multi-omics analysis.",primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1016/j.ccell.2024.09.002,Midkine as a driver of age-related changes and increase in mammary tumorigenesis,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1016/j.celrep.2024.115099,The glial UDP-glycosyltransferase Ugt35b regulates longevity by maintaining lipid homeostasis in Drosophila.,grounding_retry,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1016/j.celrep.2025.116795,Age-independent and targetable transcription factor networks regulating CD8+ T cell senescence in aging humans,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1016/j.cels.2021.09.005,Multiomic profiling of the liver across diets and age in a diverse mouse population.,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1016/j.devcel.2023.05.015,Genetic perturbation of AMP biosynthesis extends lifespan and restores metabolic health in a naturally short-lived vertebrate.,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1016/j.exger.2025.112815,Acupuncture modulates ovarian senescence through metabolic reprogramming: A multi-omics investigation in chemotherapy - induced POF model.,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1016/j.jare.2026.07.047,Bioorthogonal epigenetic anchoring of heterochromatin to the nuclear lamina reverses senescence and osteoarthritis.,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",False,causal_method_reviewer.design_families
doi:10.1016/j.jhazmat.2026.142949,Gestational exposure to PP-NPs promotes premature placental ageing through global reprogramming of the trophoblast phosphoproteome,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",False,causal_method_reviewer.design_families
doi:10.1016/j.jnutbio.2023.109498,L-Isoleucine reverses hyperammonemia-induced myotube mitochondrial dysfunction and post-mitotic senescence,primary_scope_plus_causal_recovery,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",False,scope_reviewer.layer_candidates
doi:10.1016/j.jot.2025.05.010,Activation of LAMP1-mediated lipophagy by sulforaphane inhibits cellular senescence and intervertebral disc degeneration,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",False,causal_method_reviewer.design_families
doi:10.1016/j.mcpro.2024.100882,Single-Cell Multi-Omics Analysis of In Vitro Post-Ovulatory–Aged Oocytes Revealed Aging-Dependent Protein Degradation,primary_scope_plus_causal_recovery,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",False,scope_reviewer.layer_candidates
doi:10.1016/j.phymed.2025.156697,Vaccarin ameliorates osteoarthritis by suppressing the c-Jun N-terminal kinase (JNK)-serum amyloid A2 (SAA2) pathway mediating chondrocyte senescence.,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",False,causal_method_reviewer.design_families
doi:10.1016/j.psj.2026.107043,Dietary supplementation with Cuscuta chinensis improves ovarian function and production performance in aged laying hens via modulation of steroid hormone biosynthesis and gut microbiota,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1016/j.ymthe.2025.12.035,Targeting KAT8 Alleviates Vascular Senescence by Modulating the INHBA/TGF-β Pathway.,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1038/s41392-026-02799-x,Multiomic profiling of responses to clinical and novel bisphosphonates reveals extraskeletal effects on ageing related signatures,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",False,causal_method_reviewer.design_families
doi:10.1038/s41413-025-00422-3,Sirt6 deficiency promotes senescence and age-associated intervertebral disc degeneration in mice,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1038/s41421-025-00860-7,IGF2BP3-dependent glutamine/BCAA metabolic rewiring rejuvenates aged human adipose-derived stem cells for enhanced tissue regeneration,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1038/s41438-020-00420-y,Multiomics analyses unveil the involvement of microRNAs in pear fruit senescence under high- or low-temperature conditions,primary_scope_plus_causal_recovery,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",False,scope_reviewer.layer_candidates
doi:10.1038/s41467-021-23545-7,Restoration of energy homeostasis by SIRT6 extends healthy lifespan,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1038/s41467-023-37729-w,Multi-omic underpinnings of epigenetic aging and human longevity,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1038/s41467-024-46037-w,Reducing the metabolic burden of rRNA synthesis promotes healthy longevity in Caenorhabditis elegans,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1038/s41467-024-52967-2,Depletion of loss-of-function germline mutations in centenarians reveals longevity genes,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1038/s41467-025-59964-z,Multi-organ metabolome biological age implicates cardiometabolic conditions and mortality risk,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1038/s41467-025-61433-6,Immuno-metabolic stress responses control longevity from mitochondrial translation inhibition in C. elegans,primary_scope_plus_causal_recovery,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",False,scope_reviewer.layer_candidates
doi:10.1038/s41467-026-69424-x,Lack of MDA5 delays hematopoietic aging by modulating inflammaging and proteostasis in mice,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1038/s41536-026-00490-x,Multi-omics profiling reveals systemic rejuvenation of the aged kidney through senolytic therapy.,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1038/s41586-025-09873-4,Transient hepatic reconstitution of trophic factors enhances aged immunity,primary_scope_plus_causal_recovery,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",False,scope_reviewer.layer_candidates
doi:10.1038/s41586-026-10524-5,Sleep chart of biological ageing clocks in middle and late life,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1038/s41598-025-17390-7,Aqueous extract of Acer truncatum leaves retards Drosophila melanogaster senescence by regulating amino acid metabolism and gut microbiota,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1038/s42003-025-08296-1,NHE7 drives endometrial cancer progression by delaying senescence through cAMP/CREB/GRIN2B axis-mediated Ca²⁺ influx,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1038/s42255-020-0200-2,NFYB-1 regulates mitochondrial function and longevity via lysosomal prosaposin.,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1038/s42255-026-01515-x,Redox rhythms promote fitness by modulating ageing-dependent reprogramming.,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1038/s43587-023-00451-9,Multi-omic rejuvenation and lifespan extension upon exposure to youthful circulation,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1038/s43587-023-00460-8,Impaired BCAA catabolism in adipose tissues promotes age-associated metabolic derangement.,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1038/s43587-026-01100-7,Multiomic single-cell perturbation screens reveal critical lncRNA regulators of senescence.,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1080/15548627.2025.2561073,Urolithin Α modulates inter-organellar communication via calcium-dependent mitophagy to promote healthy ageing,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1093/bib/bbag271,StackAge: an ensemble-based clock for precise quantification of biological age using multi-omics data,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1093/brain/awaf282,Compensatory roles of STT3A and ALG5 in glucose metabolism of aged macaque hippocampus.,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1093/eurheartj/ehad361,Subclinical atherosclerosis and accelerated epigenetic age mediated by inflammation: a multi-omics study,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1093/geroni/igaa057.414,Metabolic Regulation of Longevity by One-Carbon Metabolism and Flavin-Containing Monooxygenase,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1093/geroni/igac059.2661,OXR1 STABILIZES THE RETROMER TO EXTEND LIFESPAN AND NEURONAL HEALTH BY DIETARY RESTRICTION,primary_scope_plus_causal_recovery,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",False,scope_reviewer.layer_candidates
doi:10.1093/geroni/igad104.1942,BIOLOGICAL AGE REDUCTION AND LIFESPAN EXTENSION UPON YOUTHFUL CIRCULATION EXPOSURE,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1093/geroni/igae098.2630,MULTIMODEL APPROACHES IDENTIFY CONSERVED ROLE OF TRP CATABOLIC PATHWAY IN THE REGULATION OF LIFE- AND HEALTHSPAN,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1093/geroni/igaf122.3850,Targeting Vascular Aging in Progeria by mTOR Inhibitors from Multi-Omics Screening,primary_scope_plus_causal_recovery,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",False,scope_reviewer.layer_candidates
doi:10.1093/plphys/kiaa034,Multi-omics approach reveals the contribution of KLU to leaf longevity and drought tolerance.,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1097/md.0000000000047376,Multi-omics data reveal causal associations of cellular senescence-related genes in rheumatoid arthritis: A summary-data-based Mendelian randomization and co-localization analysis.,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1101/2025.10.29.685384,The Age-Dependent Resident Myonuclear Multi-Omic Response to a Skeletal Muscle Hypertrophic Stimulus,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1111/acel.13497,A trans-omic Mendelian randomization study of parental lifespan uncovers novel aging biology and therapeutic candidates for chronic diseases.,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1111/acel.13852,Dysregulated cellular redox status during hyperammonemia causes mitochondrial dysfunction and senescence by inhibiting sirtuin‐mediated deacetylation,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1111/acel.70064,Aged Gut Microbiota Contributes to Cognitive Impairment and Hippocampal Synapse Loss in Mice,primary_scope_plus_causal_recovery,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",False,scope_reviewer.layer_candidates
doi:10.1111/acel.70103,Multi-Omics Analysis Reveals Biomarkers That Contribute to Biological Age Rejuvenation in Response to Single-Blinded Randomized Placebo-Controlled Therapeutic Plasma Exchange.,primary_scope_plus_causal_recovery,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",False,scope_reviewer.layer_candidates
doi:10.1111/acel.70328,Multi-Omics Analysis Reveals Photodynamic Therapy Ameliorating Skin Photoaging by Improving Cellular Senescence Through Mitohormesis-Mediated Reduction of Citrate Content.,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1111/acel.70498,Multi-Omics Reveals Mechanisms of Metabolic Rejuvenation in Aged Mice and Pre-Frail Older Men by Losartan.,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",False,causal_method_reviewer.design_families
doi:10.1111/acel.70564,Sex-Specific Regulation of the Turandot Gene Family Modulates Temperature-Dependent Lifespan in Drosophila melanogaster.,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",False,causal_method_reviewer.design_families
doi:10.1126/sciadv.adu2294,Multiomic identification of senescent stem cell populations critical for osteoarthritis progression and therapy in subchondral bones.,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1128/msystems.01665-24,Microbiota-derived indole acetic acid extends lifespan through the AhR-Sirt2 pathway in Drosophila,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1161/circresaha.125.327427,LATS1/2-CD38 Metabolic Rewiring Links Senescence to Intraplaque Thrombosis.,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1172/jci.insight.154089,Metabolic reprogramming during hyperammonemia targets mitochondrial function and postmitotic senescence.,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1172/jci.insight.174007,Targeted Bmal1 restoration in muscle prolongs lifespan with systemic health effects in aging model.,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1186/s11658-026-00879-y,HK2-driven histone H3K18 lactylation promotes stromal cell senescence and decidualization deficiency in URSA via CUX1-mediated SASP factor transcription,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1186/s12964-026-02985-y,"Multi-omics and experimental evidence in human chondrocytes identify caspase-8 as a non-apoptotic regulator of inflammatory, senescent, and fibrotic signaling in osteoarthritis",primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1186/s12967-026-07766-2,Multiomics analysis reveals that senescent CXCL16<sup>+</sup> macrophages promote lung adenocarcinoma progression through TGF-β signalling.,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1186/s12974-025-03588-z,Profilin 1 controls a microglial cytoskeleton checkpoint to prevent senescence and premature synaptic decline.,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1186/s13020-025-01154-6,Multi-omics reveals mechanism of Qi-Po-Sheng-Mai granule in reducing atrial fibrillation susceptibility in aged rats.,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1186/s13287-023-03415-3,Anti-aging mechanism of different age donor-matched adipose-derived stem cells,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",False,causal_method_reviewer.design_families
doi:10.1186/s40364-023-00458-9,The essential roles of FXR in diet and age influenced metabolic changes and liver disease development: a multi-omics study,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.14336/ad.2026.0356,Integrating AI and Causal Genetics to Prioritize Therapeutic Targets for Aging and Age-Related Diseases.,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.20892/j.issn.2095-3941.2025.0691,Integrative multi-omic analysis identified ERBB2 mutations and senescence-driven immune suppression as dual therapeutic targets in LAR triple-negative breast cancer,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.21037/tcr-2026-1-0264,A senescence-based machine learning model prognosticates and personalizes therapy in cervical cancer,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.21203/rs.3.rs-1264931/v1,Multi-omics analysis reveals a non-canonical regulatory pattern of UPL3 on carbon metabolism related cell senescence,primary_scope_plus_causal_recovery,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",False,scope_reviewer.layer_candidates
doi:10.2147/jir.s525168,Multi-Omics Analysis and Validation of Cell Senescence-Related Genes Associated with Non-Alcoholic Fatty Liver Disease,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.2147/jir.s545622,Retinoic Acid-Loaded Cartilage Organoids Attenuate Chondrocyte Senescence in Osteoarthritis,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.26508/lsa.202201492,Ubiquitome profiling reveals a regulatory pattern of UPL3 with UBP12 on metabolic-leaf senescence,primary_scope_plus_causal_recovery,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",False,scope_reviewer.layer_candidates
doi:10.26599/fshw.2026.9251125,Unraveling the Key Pathways through Cordycepin Prolongs Lifespan in C. elegans by Integrating Multi-omics Approaches,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.3389/fendo.2025.1661666,Investigating the causal role of cellular senescence-related genes in preeclampsia: a multi-omics Mendelian randomization study with differential expression analysis,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.3389/fimmu.2026.1762222,Machine learning-driven multi-omics integration uncovers a senescence associated molecular axis in HCC.,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.3389/fnmol.2026.1834102,The H3K9me2-FOXG1-microRNA axis reduces cochlear hair cells damage by modulating autophagy in age-related hearing loss,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",False,causal_method_reviewer.design_families
doi:10.3389/fphar.2024.1446300,CDKN1A as a target of senescence in heart failure: insights from a multiomics study,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.3390/microorganisms13061379,Exercise Remodels Akkermansia-Associated Eicosanoid Metabolism to Alleviate Intestinal Senescence: Multi-Omics Insights.,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.3390/plants14152388,Integrated Transcriptomic and Metabolomic Analysis Reveals Nitrogen-Mediated Delay of Premature Leaf Senescence in Red Raspberry Leaves,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.3892/or.2026.9080,NR4A1 mediates chemotherapy‑induced senescence via the PI3K/AKT pathway in gastric cancer cells.,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.64898/2026.07.09.736798,"Senescence-associated loss of intestinal α1,2-fucose disrupts a modifiable host-microbiome homeostasis axis in people with HIV",primary_scope_plus_causal_recovery,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",False,scope_reviewer.layer_candidates
doi:10.7150/ijbs.129636,DHCR24 Deficiency Drives Age-Related Meibomian Gland Dysfunction by Regulating Lipid Metabolic Imbalance and Cytosolic mtDNA-Induced cGAS-STING Activation.,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
