record_id,doi,title,normalized_title,source_cohort,publication_form_initial,eligibility_ledger,eligibility_decision,version_candidate_id,provisional_canonical_report,study_id,report_to_study_status,synthesis_inclusion_status
doi:10.1007/s10753-026-02526-2,10.1007/s10753-026-02526-2,Inhibition of MyD88 in Tubular Epithelial Cells Alleviates the Cellular Senescence in Sepsis-Associated Acute Kidney Injury,inhibition of myd88 in tubular epithelial cells alleviates the cellular senescence in sepsis associated acute kidney injury,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1007/s11306-023-02022-w,10.1007/s11306-023-02022-w,The metabolic contribution of SKN-1/Nrf2 to the lifespan of Caenorhabditis elegans.,the metabolic contribution of skn 1 nrf2 to the lifespan of caenorhabditis elegans,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1007/s13238-021-00894-z,10.1007/s13238-021-00894-z,"Unveiling E2F4, TEAD1 and AP-1 as regulatory transcription factors of the replicative senescence program by multi-omics analysis.",unveiling e2f4 tead1 and ap 1 as regulatory transcription factors of the replicative senescence program by multi omics analysis,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1016/j.ccell.2024.09.002,10.1016/j.ccell.2024.09.002,Midkine as a driver of age-related changes and increase in mammary tumorigenesis,midkine as a driver of age related changes and increase in mammary tumorigenesis,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1016/j.celrep.2024.115099,10.1016/j.celrep.2024.115099,The glial UDP-glycosyltransferase Ugt35b regulates longevity by maintaining lipid homeostasis in Drosophila.,the glial udp glycosyltransferase ugt35b regulates longevity by maintaining lipid homeostasis in drosophila,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1016/j.celrep.2025.116795,10.1016/j.celrep.2025.116795,Age-independent and targetable transcription factor networks regulating CD8+ T cell senescence in aging humans,age independent and targetable transcription factor networks regulating cd8 t cell senescence in aging humans,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1016/j.cels.2021.09.005,10.1016/j.cels.2021.09.005,Multiomic profiling of the liver across diets and age in a diverse mouse population.,multiomic profiling of the liver across diets and age in a diverse mouse population,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1016/j.devcel.2023.05.015,10.1016/j.devcel.2023.05.015,Genetic perturbation of AMP biosynthesis extends lifespan and restores metabolic health in a naturally short-lived vertebrate.,genetic perturbation of amp biosynthesis extends lifespan and restores metabolic health in a naturally short lived vertebrate,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1016/j.exger.2025.112815,10.1016/j.exger.2025.112815,Acupuncture modulates ovarian senescence through metabolic reprogramming: A multi-omics investigation in chemotherapy - induced POF model.,acupuncture modulates ovarian senescence through metabolic reprogramming a multi omics investigation in chemotherapy induced pof model,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1016/j.jare.2026.07.047,10.1016/j.jare.2026.07.047,Bioorthogonal epigenetic anchoring of heterochromatin to the nuclear lamina reverses senescence and osteoarthritis.,bioorthogonal epigenetic anchoring of heterochromatin to the nuclear lamina reverses senescence and osteoarthritis,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1016/j.jhazmat.2026.142949,10.1016/j.jhazmat.2026.142949,Gestational exposure to PP-NPs promotes premature placental ageing through global reprogramming of the trophoblast phosphoproteome,gestational exposure to pp nps promotes premature placental ageing through global reprogramming of the trophoblast phosphoproteome,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1016/j.jnutbio.2023.109498,10.1016/j.jnutbio.2023.109498,L-Isoleucine reverses hyperammonemia-induced myotube mitochondrial dysfunction and post-mitotic senescence,l isoleucine reverses hyperammonemia induced myotube mitochondrial dysfunction and post mitotic senescence,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1016/j.jot.2025.05.010,10.1016/j.jot.2025.05.010,Activation of LAMP1-mediated lipophagy by sulforaphane inhibits cellular senescence and intervertebral disc degeneration,activation of lamp1 mediated lipophagy by sulforaphane inhibits cellular senescence and intervertebral disc degeneration,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1016/j.mcpro.2024.100882,10.1016/j.mcpro.2024.100882,Single-Cell Multi-Omics Analysis of In Vitro Post-Ovulatory–Aged Oocytes Revealed Aging-Dependent Protein Degradation,single cell multi omics analysis of in vitro post ovulatoryaged oocytes revealed aging dependent protein degradation,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1016/j.phymed.2025.156697,10.1016/j.phymed.2025.156697,Vaccarin ameliorates osteoarthritis by suppressing the c-Jun N-terminal kinase (JNK)-serum amyloid A2 (SAA2) pathway mediating chondrocyte senescence.,vaccarin ameliorates osteoarthritis by suppressing the c jun n terminal kinase jnk serum amyloid a2 saa2 pathway mediating chondrocyte senescence,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1016/j.psj.2026.107043,10.1016/j.psj.2026.107043,Dietary supplementation with Cuscuta chinensis improves ovarian function and production performance in aged laying hens via modulation of steroid hormone biosynthesis and gut microbiota,dietary supplementation with cuscuta chinensis improves ovarian function and production performance in aged laying hens via modulation of steroid hormone biosynthesis and gut microbiota,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1016/j.ymthe.2025.12.035,10.1016/j.ymthe.2025.12.035,Targeting KAT8 Alleviates Vascular Senescence by Modulating the INHBA/TGF-β Pathway.,targeting kat8 alleviates vascular senescence by modulating the inhba tgf pathway,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1038/s41392-026-02799-x,10.1038/s41392-026-02799-x,Multiomic profiling of responses to clinical and novel bisphosphonates reveals extraskeletal effects on ageing related signatures,multiomic profiling of responses to clinical and novel bisphosphonates reveals extraskeletal effects on ageing related signatures,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1038/s41413-025-00422-3,10.1038/s41413-025-00422-3,Sirt6 deficiency promotes senescence and age-associated intervertebral disc degeneration in mice,sirt6 deficiency promotes senescence and age associated intervertebral disc degeneration in mice,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1038/s41421-025-00860-7,10.1038/s41421-025-00860-7,IGF2BP3-dependent glutamine/BCAA metabolic rewiring rejuvenates aged human adipose-derived stem cells for enhanced tissue regeneration,igf2bp3 dependent glutamine bcaa metabolic rewiring rejuvenates aged human adipose derived stem cells for enhanced tissue regeneration,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1038/s41438-020-00420-y,10.1038/s41438-020-00420-y,Multiomics analyses unveil the involvement of microRNAs in pear fruit senescence under high- or low-temperature conditions,multiomics analyses unveil the involvement of micrornas in pear fruit senescence under high or low temperature conditions,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1038/s41467-021-23545-7,10.1038/s41467-021-23545-7,Restoration of energy homeostasis by SIRT6 extends healthy lifespan,restoration of energy homeostasis by sirt6 extends healthy lifespan,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1038/s41467-023-37729-w,10.1038/s41467-023-37729-w,Multi-omic underpinnings of epigenetic aging and human longevity,multi omic underpinnings of epigenetic aging and human longevity,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1038/s41467-024-46037-w,10.1038/s41467-024-46037-w,Reducing the metabolic burden of rRNA synthesis promotes healthy longevity in Caenorhabditis elegans,reducing the metabolic burden of rrna synthesis promotes healthy longevity in caenorhabditis elegans,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1038/s41467-024-52967-2,10.1038/s41467-024-52967-2,Depletion of loss-of-function germline mutations in centenarians reveals longevity genes,depletion of loss of function germline mutations in centenarians reveals longevity genes,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1038/s41467-025-59964-z,10.1038/s41467-025-59964-z,Multi-organ metabolome biological age implicates cardiometabolic conditions and mortality risk,multi organ metabolome biological age implicates cardiometabolic conditions and mortality risk,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1038/s41467-025-61433-6,10.1038/s41467-025-61433-6,Immuno-metabolic stress responses control longevity from mitochondrial translation inhibition in C. elegans,immuno metabolic stress responses control longevity from mitochondrial translation inhibition in c elegans,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1038/s41467-026-69424-x,10.1038/s41467-026-69424-x,Lack of MDA5 delays hematopoietic aging by modulating inflammaging and proteostasis in mice,lack of mda5 delays hematopoietic aging by modulating inflammaging and proteostasis in mice,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1038/s41536-026-00490-x,10.1038/s41536-026-00490-x,Multi-omics profiling reveals systemic rejuvenation of the aged kidney through senolytic therapy.,multi omics profiling reveals systemic rejuvenation of the aged kidney through senolytic therapy,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1038/s41586-025-09873-4,10.1038/s41586-025-09873-4,Transient hepatic reconstitution of trophic factors enhances aged immunity,transient hepatic reconstitution of trophic factors enhances aged immunity,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1038/s41586-026-10524-5,10.1038/s41586-026-10524-5,Sleep chart of biological ageing clocks in middle and late life,sleep chart of biological ageing clocks in middle and late life,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1038/s41598-025-17390-7,10.1038/s41598-025-17390-7,Aqueous extract of Acer truncatum leaves retards Drosophila melanogaster senescence by regulating amino acid metabolism and gut microbiota,aqueous extract of acer truncatum leaves retards drosophila melanogaster senescence by regulating amino acid metabolism and gut microbiota,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1038/s42003-025-08296-1,10.1038/s42003-025-08296-1,NHE7 drives endometrial cancer progression by delaying senescence through cAMP/CREB/GRIN2B axis-mediated Ca²⁺ influx,nhe7 drives endometrial cancer progression by delaying senescence through camp creb grin2b axis mediated ca2 influx,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1038/s42255-020-0200-2,10.1038/s42255-020-0200-2,NFYB-1 regulates mitochondrial function and longevity via lysosomal prosaposin.,nfyb 1 regulates mitochondrial function and longevity via lysosomal prosaposin,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1038/s42255-026-01515-x,10.1038/s42255-026-01515-x,Redox rhythms promote fitness by modulating ageing-dependent reprogramming.,redox rhythms promote fitness by modulating ageing dependent reprogramming,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1038/s43587-023-00451-9,10.1038/s43587-023-00451-9,Multi-omic rejuvenation and lifespan extension upon exposure to youthful circulation,multi omic rejuvenation and lifespan extension upon exposure to youthful circulation,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1038/s43587-023-00460-8,10.1038/s43587-023-00460-8,Impaired BCAA catabolism in adipose tissues promotes age-associated metabolic derangement.,impaired bcaa catabolism in adipose tissues promotes age associated metabolic derangement,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1038/s43587-026-01100-7,10.1038/s43587-026-01100-7,Multiomic single-cell perturbation screens reveal critical lncRNA regulators of senescence.,multiomic single cell perturbation screens reveal critical lncrna regulators of senescence,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1080/15548627.2025.2561073,10.1080/15548627.2025.2561073,Urolithin Α modulates inter-organellar communication via calcium-dependent mitophagy to promote healthy ageing,urolithin modulates inter organellar communication via calcium dependent mitophagy to promote healthy ageing,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1093/bib/bbag271,10.1093/bib/bbag271,StackAge: an ensemble-based clock for precise quantification of biological age using multi-omics data,stackage an ensemble based clock for precise quantification of biological age using multi omics data,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1093/brain/awaf282,10.1093/brain/awaf282,Compensatory roles of STT3A and ALG5 in glucose metabolism of aged macaque hippocampus.,compensatory roles of stt3a and alg5 in glucose metabolism of aged macaque hippocampus,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1093/eurheartj/ehad361,10.1093/eurheartj/ehad361,Subclinical atherosclerosis and accelerated epigenetic age mediated by inflammation: a multi-omics study,subclinical atherosclerosis and accelerated epigenetic age mediated by inflammation a multi omics study,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1093/geroni/igaa057.414,10.1093/geroni/igaa057.414,Metabolic Regulation of Longevity by One-Carbon Metabolism and Flavin-Containing Monooxygenase,metabolic regulation of longevity by one carbon metabolism and flavin containing monooxygenase,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1093/geroni/igac059.2661,10.1093/geroni/igac059.2661,OXR1 STABILIZES THE RETROMER TO EXTEND LIFESPAN AND NEURONAL HEALTH BY DIETARY RESTRICTION,oxr1 stabilizes the retromer to extend lifespan and neuronal health by dietary restriction,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1093/geroni/igad104.1942,10.1093/geroni/igad104.1942,BIOLOGICAL AGE REDUCTION AND LIFESPAN EXTENSION UPON YOUTHFUL CIRCULATION EXPOSURE,biological age reduction and lifespan extension upon youthful circulation exposure,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1093/geroni/igae098.2630,10.1093/geroni/igae098.2630,MULTIMODEL APPROACHES IDENTIFY CONSERVED ROLE OF TRP CATABOLIC PATHWAY IN THE REGULATION OF LIFE- AND HEALTHSPAN,multimodel approaches identify conserved role of trp catabolic pathway in the regulation of life and healthspan,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1093/geroni/igaf122.3850,10.1093/geroni/igaf122.3850,Targeting Vascular Aging in Progeria by mTOR Inhibitors from Multi-Omics Screening,targeting vascular aging in progeria by mtor inhibitors from multi omics screening,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1093/plphys/kiaa034,10.1093/plphys/kiaa034,Multi-omics approach reveals the contribution of KLU to leaf longevity and drought tolerance.,multi omics approach reveals the contribution of klu to leaf longevity and drought tolerance,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1097/md.0000000000047376,10.1097/md.0000000000047376,Multi-omics data reveal causal associations of cellular senescence-related genes in rheumatoid arthritis: A summary-data-based Mendelian randomization and co-localization analysis.,multi omics data reveal causal associations of cellular senescence related genes in rheumatoid arthritis a summary data based mendelian randomization and co localization analysis,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1101/2025.06.19.660635,10.1101/2025.06.19.660635,Downregulation of LATS1/2 Drives Endothelial Senescence-Associated Stemness (SAS) and Atherothrombotic Lesion Formation,downregulation of lats1 2 drives endothelial senescence associated stemness sas and atherothrombotic lesion formation,prior_162_report_flow,repository_preprint,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,version_candidate_016,false,,confirmed_version_group,pending_causal_evidence_extraction
doi:10.1101/2025.10.29.685384,10.1101/2025.10.29.685384,The Age-Dependent Resident Myonuclear Multi-Omic Response to a Skeletal Muscle Hypertrophic Stimulus,the age dependent resident myonuclear multi omic response to a skeletal muscle hypertrophic stimulus,prior_162_report_flow,repository_preprint,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,version_candidate_001,false,,confirmed_version_group,pending_causal_evidence_extraction
doi:10.1111/acel.13497,10.1111/acel.13497,A trans-omic Mendelian randomization study of parental lifespan uncovers novel aging biology and therapeutic candidates for chronic diseases.,a trans omic mendelian randomization study of parental lifespan uncovers novel aging biology and therapeutic candidates for chronic diseases,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1111/acel.13852,10.1111/acel.13852,Dysregulated cellular redox status during hyperammonemia causes mitochondrial dysfunction and senescence by inhibiting sirtuin‐mediated deacetylation,dysregulated cellular redox status during hyperammonemia causes mitochondrial dysfunction and senescence by inhibiting sirtuinmediated deacetylation,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1111/acel.70064,10.1111/acel.70064,Aged Gut Microbiota Contributes to Cognitive Impairment and Hippocampal Synapse Loss in Mice,aged gut microbiota contributes to cognitive impairment and hippocampal synapse loss in mice,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
