group_id,representative_index,duplicate_index,match_reason,representative_title,duplicate_title
19,18,3077,doi,Glyoxalase in ageing.,Glyoxalase in ageing.
19,18,5232,doi,Glyoxalase in ageing.,Glyoxalase in ageing
20,19,3079,doi,Manifestations and mechanisms of stem cell aging.,Manifestations and mechanisms of stem cell aging.
20,19,5241,doi,Manifestations and mechanisms of stem cell aging.,Manifestations and mechanisms of stem cell aging
20,19,9352,doi,Manifestations and mechanisms of stem cell aging.,Manifestations and mechanisms of stem cell aging
21,9353,20,doi,Absence of Ataxin-3 Leads to Enhanced Stress Response in C. elegans,Absence of ataxin-3 leads to enhanced stress response in C. elegans.
21,9353,1880,transitive_exact_match,Absence of Ataxin-3 Leads to Enhanced Stress Response in C. elegans,Absence of Ataxin-3 Leads to Enhanced Stress Response in C. elegans
21,9353,3080,transitive_exact_match,Absence of Ataxin-3 Leads to Enhanced Stress Response in C. elegans,Absence of ataxin-3 leads to enhanced stress response in C. elegans.
21,9353,5243,transitive_exact_match,Absence of Ataxin-3 Leads to Enhanced Stress Response in C. elegans,Absence of ataxin-3 leads to enhanced stress response in c. elegans
22,21,3082,doi,Life span extension via eIF4G inhibition is mediated by posttranscriptional remodeling of stress response gene expression in C. elegans.,Life span extension via eIF4G inhibition is mediated by posttranscriptional remodeling of stress response gene expression in C. elegans.
22,21,5248,doi,Life span extension via eIF4G inhibition is mediated by posttranscriptional remodeling of stress response gene expression in C. elegans.,Life span extension via eIF4G inhibition is mediated by posttranscriptional remodeling of stress response gene expression in C. elegans
23,22,3085,doi,Impaired vascular contractility and aortic wall degeneration in fibulin-4 deficient mice: effect of angiotensin II type 1 (AT1) receptor blockade.,Impaired vascular contractility and aortic wall degeneration in fibulin-4 deficient mice: effect of angiotensin II type 1 (AT1) receptor blockade.
23,22,5251,doi,Impaired vascular contractility and aortic wall degeneration in fibulin-4 deficient mice: effect of angiotensin II type 1 (AT1) receptor blockade.,Impaired vascular contractility and aortic wall degeneration in fibulin-4 deficient mice: Effect of angiotensin II type 1 (AT 1) receptor blockade
24,23,1884,doi,Lymphomas that recur after MYC suppression continue to exhibit oncogene addiction.,Lymphomas that recur after MYC suppression continue to exhibit oncogene addiction
24,23,3087,doi,Lymphomas that recur after MYC suppression continue to exhibit oncogene addiction.,Lymphomas that recur after MYC suppression continue to exhibit oncogene addiction.
24,23,5258,doi,Lymphomas that recur after MYC suppression continue to exhibit oncogene addiction.,Lymphomas that recur after MYC suppression continue to exhibit oncogene addiction
25,24,3088,doi,Activation of Bmp2-Smad1 signal and its regulation by coordinated alteration of H3K27 trimethylation in Ras-induced senescence.,Activation of Bmp2-Smad1 signal and its regulation by coordinated alteration of H3K27 trimethylation in Ras-induced senescence.
25,24,5259,doi,Activation of Bmp2-Smad1 signal and its regulation by coordinated alteration of H3K27 trimethylation in Ras-induced senescence.,Activation of Bmp2-Smad1 signal and its regulation by coordinated alteration of H3K27 trimethylation in Ras-induced senescence
26,25,3090,doi,Adult stem cells: simply a tool for regenerative medicine or an additional piece in the puzzle of human aging?,Adult stem cells: simply a tool for regenerative medicine or an additional piece in the puzzle of human aging?
26,25,5264,doi,Adult stem cells: simply a tool for regenerative medicine or an additional piece in the puzzle of human aging?,"Adult stem cells: Simply a tool for regenerative medicine, or an additional piece in the puzzle of human aging?"
26,25,9365,doi,Adult stem cells: simply a tool for regenerative medicine or an additional piece in the puzzle of human aging?,Adult stem cells: Simply a tool for regenerative medicine or an additional piece in the puzzle of human aging?
27,32,26,title_year,"Genes involved in the evolution of herbivory by a leaf-mining, Drosophilid fly.","Genes Involved in the Evolution of Herbivory by a Leaf-Mining, Drosophilid Fly"
27,32,3102,doi,"Genes involved in the evolution of herbivory by a leaf-mining, Drosophilid fly.","Genes involved in the evolution of herbivory by a leaf-mining, Drosophilid fly."
27,32,5269,doi,"Genes involved in the evolution of herbivory by a leaf-mining, Drosophilid fly.","Genes involved in the evolution of herbivory by a leaf-mining, drosophilid fly"
28,27,1890,doi,Neurophysiological defects and neuronal gene deregulation in Drosophila mir-124 mutants.,Neurophysiological Defects and Neuronal Gene Deregulation in Drosophila mir-124 Mutants
28,27,3093,doi,Neurophysiological defects and neuronal gene deregulation in Drosophila mir-124 mutants.,Neurophysiological defects and neuronal gene deregulation in Drosophila mir-124 mutants.
28,27,5273,doi,Neurophysiological defects and neuronal gene deregulation in Drosophila mir-124 mutants.,Neurophysiological defects and neuronal gene deregulation in drosophila mir-124 mutants
29,28,3094,doi,"Zinc-finger protein 331, a novel putative tumor suppressor, suppresses growth and invasiveness of gastric cancer.","Zinc-finger protein 331, a novel putative tumor suppressor, suppresses growth and invasiveness of gastric cancer."
29,28,5309,doi,"Zinc-finger protein 331, a novel putative tumor suppressor, suppresses growth and invasiveness of gastric cancer.","Zinc-finger protein 331, a novel putative tumor suppressor, suppresses growth and invasiveness of gastric cancer"
29,28,9398,doi,"Zinc-finger protein 331, a novel putative tumor suppressor, suppresses growth and invasiveness of gastric cancer.","Zinc-finger protein 331, a novel putative tumor suppressor, suppresses growth and invasiveness of gastric cancer"
30,29,3095,doi,Nutritional interventions to prevent and treat osteoarthritis. Part II: focus on micronutrients and supportive nutraceuticals.,Nutritional interventions to prevent and treat osteoarthritis. Part II: focus on micronutrients and supportive nutraceuticals.
30,29,5279,doi,Nutritional interventions to prevent and treat osteoarthritis. Part II: focus on micronutrients and supportive nutraceuticals.,Nutritional Interventions to Prevent and Treat Osteoarthritis. Part II: Focus on Micronutrients and Supportive Nutraceuticals
30,29,9377,doi,Nutritional interventions to prevent and treat osteoarthritis. Part II: focus on micronutrients and supportive nutraceuticals.,Nutritional Interventions to Prevent and Treat Osteoarthritis. Part II: Focus on Micronutrients and Supportive Nutraceuticals
31,30,3096,doi,Leukocyte CCR2 expression is associated with mini-mental state examination score in older adults.,Leukocyte CCR2 expression is associated with mini-mental state examination score in older adults.
31,30,5282,doi,Leukocyte CCR2 expression is associated with mini-mental state examination score in older adults.,Leukocyte CCR2 expression is associated with mini-mental state examination score in older adults
32,31,3098,doi,Recent advances in the study of age-related hearing loss: a mini-review.,Recent advances in the study of age-related hearing loss: a mini-review.
32,31,5290,doi,Recent advances in the study of age-related hearing loss: a mini-review.,Recent advances in the study of age-related hearing loss: A mini-review
32,31,9383,doi,Recent advances in the study of age-related hearing loss: a mini-review.,Recent advances in the study of age-related hearing loss - A Mini-Review
33,33,3105,doi,"The role of DNA methylation in aging, rejuvenation, and age-related disease.","The role of DNA methylation in aging, rejuvenation, and age-related disease."
33,33,5289,doi,"The role of DNA methylation in aging, rejuvenation, and age-related disease.","The role of DNA methylation in aging, rejuvenation, and age-related disease"
34,9389,34,doi,"Genomic and Metabolic Responses to Methionine-Restricted and Methionine-Restricted, Cysteine-Supplemented Diets in Fischer 344 Rat Inguinal Adipose Tissue, Liver and Quadriceps Muscle","Genomic and metabolic responses to methionine-restricted and methionine-restricted, cysteine-supplemented diets in Fischer 344 rat inguinal adipose tissue, liver and quadriceps muscle."
34,9389,3106,transitive_exact_match,"Genomic and Metabolic Responses to Methionine-Restricted and Methionine-Restricted, Cysteine-Supplemented Diets in Fischer 344 Rat Inguinal Adipose Tissue, Liver and Quadriceps Muscle","Genomic and metabolic responses to methionine-restricted and methionine-restricted, cysteine-supplemented diets in Fischer 344 rat inguinal adipose tissue, liver and quadriceps muscle."
34,9389,5270,transitive_exact_match,"Genomic and Metabolic Responses to Methionine-Restricted and Methionine-Restricted, Cysteine-Supplemented Diets in Fischer 344 Rat Inguinal Adipose Tissue, Liver and Quadriceps Muscle","Genomic and metabolic responses to methionine-restricted and methionine-restricted, cysteine-supplemented diets in fischer 344 rat inguinal adipose tissue, liver and quadriceps muscle"
35,35,3107,doi,Genomic and proteomic profiling reveals reduced mitochondrial function and disruption of the neuromuscular junction driving rat sarcopenia.,Genomic and proteomic profiling reveals reduced mitochondrial function and disruption of the neuromuscular junction driving rat sarcopenia.
35,35,5299,doi,Genomic and proteomic profiling reveals reduced mitochondrial function and disruption of the neuromuscular junction driving rat sarcopenia.,Genomic and proteomic profiling reveals reduced mitochondrial function and disruption of the neuromuscular junction driving rat sarcopenia
36,36,3108,doi,Proteomic profile identifies dysregulated pathways in Cornelia de Lange syndrome cells with distinct mutations in SMC1A and SMC3 genes.,Proteomic profile identifies dysregulated pathways in Cornelia de Lange syndrome cells with distinct mutations in SMC1A and SMC3 genes.
36,36,5295,doi,Proteomic profile identifies dysregulated pathways in Cornelia de Lange syndrome cells with distinct mutations in SMC1A and SMC3 genes.,Proteomic profile identifies dysregulated pathways in Cornelia de Lange syndrome cells with distinct mutations in SMC1A and SMC3 genes
37,37,3111,doi,Transcriptional profiling reveals elevated Sox2 in DNA polymerase ß null mouse embryonic fibroblasts.,Transcriptional profiling reveals elevated Sox2 in DNA polymerase ß null mouse embryonic fibroblasts.
38,38,1897,doi,dJun and Vri/dNFIL3 are major regulators of cardiac aging in Drosophila.,dJun and Vri/dNFIL3 Are Major Regulators of Cardiac Aging in Drosophila
38,38,3113,doi,dJun and Vri/dNFIL3 are major regulators of cardiac aging in Drosophila.,dJun and Vri/dNFIL3 are major regulators of cardiac aging in Drosophila.
38,38,5293,doi,dJun and Vri/dNFIL3 are major regulators of cardiac aging in Drosophila.,dJun and Vri/dNFIL3 Are Major Regulators of Cardiac Aging in Drosophila
39,39,3114,doi,Age-dependent modulation of cortical transcriptomes in spinal cord injury and repair.,Age-dependent modulation of cortical transcriptomes in spinal cord injury and repair.
39,39,5296,doi,Age-dependent modulation of cortical transcriptomes in spinal cord injury and repair.,Age-Dependent Modulation of Cortical Transcriptomes in Spinal Cord Injury and Repair
40,40,3118,pmid,[Stem cell aging and the implications for stem cell-based therapies for aging-related diseases and aged tissues].,[Stem cell aging and the implications for stem cell-based therapies for aging-related diseases and aged tissues].
40,40,5307,pmid,[Stem cell aging and the implications for stem cell-based therapies for aging-related diseases and aged tissues].,[Stem cell aging and the implications for stem cell-based therapies for aging-related diseases and aged tissues].
41,41,3119,doi,Genome instability and aging.,Genome instability and aging.
41,41,5313,doi,Genome instability and aging.,Genome instability and aging
42,42,3120,doi,The Adult Netherlands Twin Register: twenty-five years of survey and biological data collection.,The Adult Netherlands Twin Register: twenty-five years of survey and biological data collection.
42,42,5312,doi,The Adult Netherlands Twin Register: twenty-five years of survey and biological data collection.,The Adult Netherlands Twin Register: Twenty-five years of survey and biological data collection
43,9399,43,doi,The 2010 ESPEN Sir David Cuthbertson Lecture: New and old proteins: Clinical implications,The 2010 ESPEN Sir David Cuthbertson Lecture: new and old proteins: clinical implications.
43,9399,3121,transitive_exact_match,The 2010 ESPEN Sir David Cuthbertson Lecture: New and old proteins: Clinical implications,The 2010 ESPEN Sir David Cuthbertson Lecture: new and old proteins: clinical implications.
43,9399,5332,transitive_exact_match,The 2010 ESPEN Sir David Cuthbertson Lecture: New and old proteins: Clinical implications,The 2010 ESPEN Sir David Cuthbertson Lecture: New and old proteins: Clinical implications
44,44,3123,doi,Age-related differences in cardiac ischemia-reperfusion injury: effects of estrogen deficiency.,Age-related differences in cardiac ischemia-reperfusion injury: effects of estrogen deficiency.
44,44,5319,doi,Age-related differences in cardiac ischemia-reperfusion injury: effects of estrogen deficiency.,Age-related differences in cardiac ischemia-reperfusion injury: Effects of estrogen deficiency
45,45,3124,doi,Epigenomics and the regulation of aging.,Epigenomics and the regulation of aging.
45,45,5316,doi,Epigenomics and the regulation of aging.,Epigenomics and the regulation of aging
45,45,9406,doi,Epigenomics and the regulation of aging.,Epigenomics and the regulation of aging.
46,46,3125,doi,Identification of microRNA-mRNA functional interactions in UVB-induced senescence of human diploid fibroblasts.,Identification of microRNA-mRNA functional interactions in UVB-induced senescence of human diploid fibroblasts.
46,46,5317,doi,Identification of microRNA-mRNA functional interactions in UVB-induced senescence of human diploid fibroblasts.,Identification of microRNA-mRNA functional interactions in UVB-induced senescence of human diploid fibroblasts
47,47,3126,doi,"Relaxation response induces temporal transcriptome changes in energy metabolism, insulin secretion and inflammatory pathways.","Relaxation response induces temporal transcriptome changes in energy metabolism, insulin secretion and inflammatory pathways."
47,47,5318,doi,"Relaxation response induces temporal transcriptome changes in energy metabolism, insulin secretion and inflammatory pathways.","Relaxation Response Induces Temporal Transcriptome Changes in Energy Metabolism, Insulin Secretion and Inflammatory Pathways"
48,48,1910,doi,Lamin B1 mediates cell-autonomous neuropathology in a leukodystrophy mouse model.,Lamin B1 mediates cell-autonomous neuropathology in a leukodystrophy mouse model
48,48,3127,doi,Lamin B1 mediates cell-autonomous neuropathology in a leukodystrophy mouse model.,Lamin B1 mediates cell-autonomous neuropathology in a leukodystrophy mouse model.
48,48,5323,doi,Lamin B1 mediates cell-autonomous neuropathology in a leukodystrophy mouse model.,Lamin B1 mediates cell-autonomous neuropathology in a leukodystrophy mouse model
49,49,3128,doi,Inactive or moderately active human promoters are enriched for inter-individual epialleles.,Inactive or moderately active human promoters are enriched for inter-individual epialleles.
49,49,5321,doi,Inactive or moderately active human promoters are enriched for inter-individual epialleles.,Inactive or moderately active human promoters are enriched for inter-individual epialleles
49,49,9411,doi,Inactive or moderately active human promoters are enriched for inter-individual epialleles.,Inactive or moderately active human promoters are enriched for inter-individual epialleles
50,50,3133,doi,Epigenomic enhancer annotation reveals a key role for NFIX in neural stem cell quiescence.,Epigenomic enhancer annotation reveals a key role for NFIX in neural stem cell quiescence.
50,50,5328,doi,Epigenomic enhancer annotation reveals a key role for NFIX in neural stem cell quiescence.,Epigenomic enhancer annotation reveals a key role for NFIX in neural stem cell quiescence
51,51,1911,doi,Epigenetic regulation of COL15A1 in smooth muscle cell replicative aging and atherosclerosis.,Epigenetic regulation of COL15A1 in smooth muscle cell replicative aging and atherosclerosis
51,51,3132,doi,Epigenetic regulation of COL15A1 in smooth muscle cell replicative aging and atherosclerosis.,Epigenetic regulation of COL15A1 in smooth muscle cell replicative aging and atherosclerosis.
51,51,5337,doi,Epigenetic regulation of COL15A1 in smooth muscle cell replicative aging and atherosclerosis.,Epigenetic regulation of COL15A1 in smooth muscle cell replicative aging and atherosclerosis
52,9407,52,title_year,Active transcriptomic and proteomic reprogramming in the C. elegans nucleotide excision repair mutant xpa-1,Active transcriptomic and proteomic reprogramming in the C. elegans nucleotide excision repair mutant xpa-1.
52,9407,3140,transitive_exact_match,Active transcriptomic and proteomic reprogramming in the C. elegans nucleotide excision repair mutant xpa-1,Active transcriptomic and proteomic reprogramming in the C. elegans nucleotide excision repair mutant xpa-1.
52,9407,5320,doi,Active transcriptomic and proteomic reprogramming in the C. elegans nucleotide excision repair mutant xpa-1,Active transcriptomic and proteomic reprogramming in the C. elegans nucleotide excision repair mutant xpa-1
53,53,3141,doi,Combating inflammaging through a Mediterranean whole diet approach: the NU-AGE project's conceptual framework and design.,Combating inflammaging through a Mediterranean whole diet approach: the NU-AGE project's conceptual framework and design.
53,53,5350,doi,Combating inflammaging through a Mediterranean whole diet approach: the NU-AGE project's conceptual framework and design.,Combating inflammaging through a Mediterranean whole diet approach: The NU-AGE project's conceptual framework and design
53,53,9428,doi,Combating inflammaging through a Mediterranean whole diet approach: the NU-AGE project's conceptual framework and design.,Combating inflammaging through a Mediterranean whole diet approach: the NU-AGE project's conceptual framework and design.
54,54,3143,pmid,[Stem cells and senescence].,[Stem cells and senescence].
54,54,5364,pmid,[Stem cells and senescence].,[Stem cells and senescence].
54,54,9149,pmid,[Stem cells and senescence].,[Stem cells and senescence].
55,55,3144,doi,Responses to telomere erosion in plants.,Responses to telomere erosion in plants.
55,55,5371,doi,Responses to telomere erosion in plants.,Responses to telomere erosion in plants
56,56,1920,doi,Rotifers as models for the biology of aging.,Rotifers as models for the biology of aging
56,56,3149,doi,Rotifers as models for the biology of aging.,Rotifers as models for the biology of aging.
56,56,5341,doi,Rotifers as models for the biology of aging.,Rotifers as models for the biology of aging
57,1921,57,doi,Gene expression patterns in the hippocampus during the development and aging of Glud1(Glutamate Dehydrogenase 1) transgenic and wild type mice,Gene expression patterns in the hippocampus during the development and aging of Glud1 (Glutamate Dehydrogenase 1) transgenic and wild type mice.
57,1921,3150,transitive_exact_match,Gene expression patterns in the hippocampus during the development and aging of Glud1(Glutamate Dehydrogenase 1) transgenic and wild type mice,Gene expression patterns in the hippocampus during the development and aging of Glud1 (Glutamate Dehydrogenase 1) transgenic and wild type mice.
57,1921,5374,transitive_exact_match,Gene expression patterns in the hippocampus during the development and aging of Glud1(Glutamate Dehydrogenase 1) transgenic and wild type mice,Gene expression patterns in the hippocampus during the development and aging of Glud1 (Glutamate Dehydrogenase 1) transgenic and wild type mice
58,58,3152,doi,Chemical allergen induced perturbations of the mouse lymph node DNA methylome.,Chemical allergen induced perturbations of the mouse lymph node DNA methylome.
58,58,5352,doi,Chemical allergen induced perturbations of the mouse lymph node DNA methylome.,Chemical allergen induced perturbations of the mouse lymph node DNA methylome
59,59,3154,doi,Crtc1 activates a transcriptional program deregulated at early Alzheimer's disease-related stages.,Crtc1 activates a transcriptional program deregulated at early Alzheimer's disease-related stages.
59,59,5348,doi,Crtc1 activates a transcriptional program deregulated at early Alzheimer's disease-related stages.,Crtc1 activates a transcriptional program deregulated at early Alzheimer's disease-related stages
60,9435,60,doi,Epigenomic profiling of young and aged HSCs reveals concerted changes during aging that reinforce self-renewal,Epigenomic profiling of young and aged HSCs reveals concerted changes during aging that reinforce self-renewal.
60,9435,3155,transitive_exact_match,Epigenomic profiling of young and aged HSCs reveals concerted changes during aging that reinforce self-renewal,Epigenomic profiling of young and aged HSCs reveals concerted changes during aging that reinforce self-renewal.
60,9435,5379,transitive_exact_match,Epigenomic profiling of young and aged HSCs reveals concerted changes during aging that reinforce self-renewal,Epigenomic profiling of young and aged HSCs reveals concerted changes during aging that reinforce self-renewal
61,61,64,title_year,MOSAIC EPIGENETIC DYSREGULATION OF ECTODERMAL CELLS IN AUTISM SPECTRUM DISORDER,Mosaic epigenetic dysregulation of ectodermal cells in autism spectrum disorder.
61,61,3160,title_year,MOSAIC EPIGENETIC DYSREGULATION OF ECTODERMAL CELLS IN AUTISM SPECTRUM DISORDER,Mosaic epigenetic dysregulation of ectodermal cells in autism spectrum disorder.
61,61,5355,title_year,MOSAIC EPIGENETIC DYSREGULATION OF ECTODERMAL CELLS IN AUTISM SPECTRUM DISORDER,Mosaic Epigenetic Dysregulation of Ectodermal Cells in Autism Spectrum Disorder
62,62,3158,doi,A Functional Antagonistic Relationship between Auxin and Mitochondrial Retrograde Signaling Regulates Alternative Oxidase1a Expression in Arabidopsis.,A Functional Antagonistic Relationship between Auxin and Mitochondrial Retrograde Signaling Regulates Alternative Oxidase1a Expression in Arabidopsis.
62,62,5358,doi,A Functional Antagonistic Relationship between Auxin and Mitochondrial Retrograde Signaling Regulates Alternative Oxidase1a Expression in Arabidopsis.,A functional antagonistic relationship between auxin and mitochondrial retrograde signaling regulates alternative oxidase1a expression in arabidopsis
63,63,3159,doi,"Gut microbiota in older subjects: variation, health consequences and dietary intervention prospects.","Gut microbiota in older subjects: variation, health consequences and dietary intervention prospects."
63,63,5402,doi,"Gut microbiota in older subjects: variation, health consequences and dietary intervention prospects.","Gut microbiota in older subjects: Variation, health consequences and dietary intervention prospects"
64,65,3161,doi,Control of mitochondrial integrity in ageing and disease.,Control of mitochondrial integrity in ageing and disease.
64,65,5383,doi,Control of mitochondrial integrity in ageing and disease.,Control of mitochondrial integrity in ageing and disease
64,65,9441,doi,Control of mitochondrial integrity in ageing and disease.,Control of mitochondrial integrity in ageing and disease
65,66,1929,doi,Alterations in energy/redox metabolism induced by mitochondrial and environmental toxins: a specific role for glucose-6-phosphate-dehydrogenase and the pentose phosphate pathway in paraquat toxicity.,Alterations in Energy/Redox Metabolism Induced by Mitochondrial and Environmental Toxins: A Specific Role for Glucose-6-Phosphate-Dehydrogenase and the Pentose Phosphate Pathway in Paraquat Toxicity
65,66,3162,doi,Alterations in energy/redox metabolism induced by mitochondrial and environmental toxins: a specific role for glucose-6-phosphate-dehydrogenase and the pentose phosphate pathway in paraquat toxicity.,Alterations in energy/redox metabolism induced by mitochondrial and environmental toxins: a specific role for glucose-6-phosphate-dehydrogenase and the pentose phosphate pathway in paraquat toxicity.
65,66,5389,doi,Alterations in energy/redox metabolism induced by mitochondrial and environmental toxins: a specific role for glucose-6-phosphate-dehydrogenase and the pentose phosphate pathway in paraquat toxicity.,Alterations in energy/redox metabolism induced by mitochondrial and environmental toxins: A specific role for glucose-6-phosphate-dehydrogenase and the pentose phosphate pathway in paraquat toxicity
66,67,3164,doi,"DNA methylation, ageing and the influence of early life nutrition.","DNA methylation, ageing and the influence of early life nutrition."
66,67,5360,doi,"DNA methylation, ageing and the influence of early life nutrition.","DNA methylation, ageing and the influence of early life nutrition"
68,9444,69,doi,Metabolite signatures of exercise training in human skeletal muscle relate to mitochondrial remodelling and cardiometabolic fitness,Metabolite signatures of exercise training in human skeletal muscle relate to mitochondrial remodelling and cardiometabolic fitness.
68,9444,3165,transitive_exact_match,Metabolite signatures of exercise training in human skeletal muscle relate to mitochondrial remodelling and cardiometabolic fitness,Metabolite signatures of exercise training in human skeletal muscle relate to mitochondrial remodelling and cardiometabolic fitness.
68,9444,5394,transitive_exact_match,Metabolite signatures of exercise training in human skeletal muscle relate to mitochondrial remodelling and cardiometabolic fitness,Metabolite signatures of exercise training in human skeletal muscle relate to mitochondrial remodelling and cardiometabolic fitness
69,70,3172,doi,Impaired metabolism of senescent muscle satellite cells is associated with oxidative modifications of glycolytic enzymes.,Impaired metabolism of senescent muscle satellite cells is associated with oxidative modifications of glycolytic enzymes.
69,70,9448,doi,Impaired metabolism of senescent muscle satellite cells is associated with oxidative modifications of glycolytic enzymes.,Impaired metabolism of senescent muscle satellite cells is associated with oxidative modifications of glycolytic enzymes.
